date,price_level,old_points_estimate,old_high_prediction_interval,old_low_prediction_interval
1/01/1987,63.734,NA,NA,NA
1/02/1987,64.134,NA,NA,NA
1/03/1987,64.469,NA,NA,NA
1/04/1987,64.973,NA,NA,NA
1/05/1987,65.547,NA,NA,NA
1/06/1987,66.218,NA,NA,NA
1/07/1987,66.786,NA,NA,NA
1/08/1987,67.269,NA,NA,NA
1/09/1987,67.623,NA,NA,NA
1/10/1987,67.901,NA,NA,NA
1/11/1987,68.091,NA,NA,NA
1/12/1987,68.342,NA,NA,NA
1/01/1988,68.581,NA,NA,NA
1/02/1988,68.914,NA,NA,NA
1/03/1988,69.323,NA,NA,NA
1/04/1988,69.788,NA,NA,NA
1/05/1988,70.408,NA,NA,NA
1/06/1988,71.067,NA,NA,NA
1/07/1988,71.686,NA,NA,NA
1/08/1988,72.186,NA,NA,NA
1/09/1988,72.574,NA,NA,NA
1/10/1988,72.822,NA,NA,NA
1/11/1988,73.065,NA,NA,NA
1/12/1988,73.278,NA,NA,NA
1/01/1989,73.617,NA,NA,NA
1/02/1989,73.968,NA,NA,NA
1/03/1989,74.41,NA,NA,NA
1/04/1989,74.868,NA,NA,NA
1/05/1989,75.296,NA,NA,NA
1/06/1989,75.696,NA,NA,NA
1/07/1989,76.042,NA,NA,NA
1/08/1989,76.273,NA,NA,NA
1/09/1989,76.421,NA,NA,NA
1/10/1989,76.488,NA,NA,NA
1/11/1989,76.521,NA,NA,NA
1/12/1989,76.497,NA,NA,NA
1/01/1990,76.527,NA,NA,NA
1/02/1990,76.587,NA,NA,NA
1/03/1990,76.79,NA,NA,NA
1/04/1990,77.039,NA,NA,NA
1/05/1990,77.297,NA,NA,NA
1/06/1990,77.505,NA,NA,NA
1/07/1990,77.56,NA,NA,NA
1/08/1990,77.479,NA,NA,NA
1/09/1990,77.228,NA,NA,NA
1/10/1990,76.912,NA,NA,NA
1/11/1990,76.381,NA,NA,NA
1/12/1990,75.972,NA,NA,NA
1/01/1991,75.533,NA,NA,NA
1/02/1991,75.248,NA,NA,NA
1/03/1991,75.136,NA,NA,NA
1/04/1991,75.315,NA,NA,NA
1/05/1991,75.768,NA,NA,NA
1/06/1991,76.253,NA,NA,NA
1/07/1991,76.517,NA,NA,NA
1/08/1991,76.594,NA,NA,NA
1/09/1991,76.575,NA,NA,NA
1/10/1991,76.29,NA,NA,NA
1/11/1991,76.03,NA,NA,NA
1/12/1991,75.843,NA,NA,NA
1/01/1992,75.698,NA,NA,NA
1/02/1992,75.654,NA,NA,NA
1/03/1992,75.812,NA,NA,NA
1/04/1992,76.079,NA,NA,NA
1/05/1992,76.397,NA,NA,NA
1/06/1992,76.601,NA,NA,NA
1/07/1992,76.71,NA,NA,NA
