DATE,CSUSHPISA
1/1/1987,63.734
1/2/1987,64.134
1/3/1987,64.469
1/4/1987,64.973
1/5/1987,65.547
1/6/1987,66.218
1/7/1987,66.786
1/8/1987,67.269
1/9/1987,67.623
1/10/1987,67.901
1/11/1987,68.091
1/12/1987,68.342
1/1/1988,68.581
1/2/1988,68.914
1/3/1988,69.323
1/4/1988,69.788
1/5/1988,70.408
1/6/1988,71.067
1/7/1988,71.686
1/8/1988,72.186
1/9/1988,72.574
1/10/1988,72.822
1/11/1988,73.065
1/12/1988,73.278
1/1/1989,73.617
1/2/1989,73.968
1/3/1989,74.41
1/4/1989,74.868
1/5/1989,75.296
1/6/1989,75.696
1/7/1989,76.042
1/8/1989,76.273
1/9/1989,76.421
1/10/1989,76.488
1/11/1989,76.521
1/12/1989,76.497
1/1/1990,76.527
1/2/1990,76.587
1/3/1990,76.79
1/4/1990,77.039
1/5/1990,77.297
1/6/1990,77.505
1/7/1990,77.56
1/8/1990,77.479
1/9/1990,77.228
1/10/1990,76.912
1/11/1990,76.381
1/12/1990,75.972
1/1/1991,75.533
1/2/1991,75.248
1/3/1991,75.136
1/4/1991,75.315
1/5/1991,75.768
1/6/1991,76.253
1/7/1991,76.517
1/8/1991,76.594
1/9/1991,76.575
1/10/1991,76.29
1/11/1991,76.03
1/12/1991,75.843
1/1/1992,75.698
1/2/1992,75.654
1/3/1992,75.812
1/4/1992,76.079
1/5/1992,76.397
1/6/1992,76.601
1/7/1992,76.71
1/8/1992,76.73
1/9/1992,76.627
1/10/1992,76.597
1/11/1992,76.578
1/12/1992,76.463
1/1/1993,76.394
1/2/1993,76.326
1/3/1993,76.382
1/4/1993,76.66
1/5/1993,77.029
1/6/1993,77.515
1/7/1993,77.884
1/8/1993,78.13
1/9/1993,78.197
1/10/1993,78.171
1/11/1993,78.169
1/12/1993,78.112
1/1/1994,78.197
1/2/1994,78.203
1/3/1994,78.348
1/4/1994,78.7
1/5/1994,79.207
1/6/1994,79.7
1/7/1994,80.062
1/8/1994,80.316
1/9/1994,80.339
1/10/1994,80.303
1/11/1994,80.168
1/12/1994,80.077
1/1/1995,80.026
1/2/1995,79.991
1/3/1995,80.077
1/4/1995,80.369
1/5/1995,80.69
1/6/1995,81.068
1/7/1995,81.411
1/8/1995,81.654
1/9/1995,81.738
1/10/1995,81.726
1/11/1995,81.63
1/12/1995,81.513
1/1/1996,81.426
1/2/1996,81.398
1/3/1996,81.664
1/4/1996,82.124
1/5/1996,82.601
1/6/1996,83.048
1/7/1996,83.418
1/8/1996,83.644
1/9/1996,83.701
1/10/1996,83.628
1/11/1996,83.555
1/12/1996,83.489
1/1/1997,83.529
1/2/1997,83.596
1/3/1997,83.91
1/4/1997,84.32
1/5/1997,84.863
1/6/1997,85.397
1/7/1997,85.84
1/8/1997,86.149
1/9/1997,86.309
1/10/1997,86.407
1/11/1997,86.631
1/12/1997,86.847
1/1/1998,87.162
1/2/1998,87.372
1/3/1998,87.876
1/4/1998,88.557
1/5/1998,89.373
1/6/1998,90.193
1/7/1998,90.858
1/8/1998,91.405
1/9/1998,91.75
1/10/1998,91.998
1/11/1998,92.196
1/12/1998,92.442
1/1/1999,92.713
1/2/1999,92.979
1/3/1999,93.609
1/4/1999,94.434
1/5/1999,95.359
1/6/1999,96.362
1/7/1999,97.191
1/8/1999,97.896
1/9/1999,98.398
1/10/1999,98.831
1/11/1999,99.148
1/12/1999,99.542
1/1/2000,100
1/2/2000,100.571
1/3/2000,101.466
1/4/2000,102.54
1/5/2000,103.701
1/6/2000,104.855
1/7/2000,105.721
1/8/2000,106.521
