Date,AORD
1984-07-30,713
1984-08-06,728.5
1984-08-13,735.700012
1984-08-20,744.5
1984-08-27,733.200012
1984-09-03,724.900024
1984-09-10,726.299988
1984-09-17,725.599976
1984-09-24,733.5
1984-10-01,749.400024
1984-10-08,748.099976
1984-10-15,748.599976
1984-10-22,750.599976
1984-10-29,766.099976
1984-11-05,779.200012
1984-11-12,782.5
1984-11-19,770.099976
1984-11-26,749
1984-12-03,726.099976
1984-12-10,718.700012
1984-12-17,719.700012
1984-12-24,726.099976
1984-12-31,721.400024
1985-01-07,730.700012
1985-01-14,746
1985-01-21,755.5
1985-01-28,772.400024
1985-02-04,772.599976
1985-02-11,786.299988
1985-02-18,785.799988
1985-02-25,790.299988
1985-03-04,788.099976
1985-03-11,794.400024
1985-03-18,810.799988
1985-03-25,829.700012
1985-04-01,842
1985-04-08,864
1985-04-15,848.700012
1985-04-22,871.5
1985-04-29,866.200012
1985-05-06,884.200012
1985-05-13,902.700012
1985-05-20,873.299988
1985-05-27,873.5
1985-06-03,858.299988
1985-06-10,840.099976
1985-06-17,853.799988
1985-06-24,860.799988
1985-07-01,882.200012
1985-07-08,908.599976
1985-07-15,920.200012
1985-07-22,934.599976
1985-07-29,936.700012
1985-08-05,941.700012
1985-08-12,956.099976
1985-08-19,945.200012
1985-08-26,937.799988
1985-09-02,943.400024
1985-09-09,963.299988
1985-09-16,945.700012
1985-09-23,980.5
1985-09-30,1011.900024
1985-10-07,1033.400024
1985-10-14,1035.199951
1985-10-21,1052.099976
1985-10-28,1045.599976
1985-11-04,1012.400024
1985-11-11,1003.5
1985-11-18,991.900024
1985-11-25,990.700012
1985-12-02,984.299988
1985-12-09,976
1985-12-16,986.599976
1985-12-23,997.200012
1985-12-30,1020.400024
1986-01-06,1044.199951
1986-01-13,1066.699951
1986-01-20,1052.900024
1986-01-27,1075.099976
1986-02-03,1069.400024
1986-02-10,1046.699951
1986-02-17,1057
1986-02-24,1041.599976
1986-03-03,1055
1986-03-10,1089.5
1986-03-17,1136.699951
1986-03-24,1136.5
1986-03-31,1153.900024
1986-04-07,1214.599976
1986-04-14,1218.400024
1986-04-21,1210.400024
1986-04-28,1224.699951
1986-05-05,1232.099976
1986-05-12,1194.300049
1986-05-19,1191.699951
1986-05-26,1241
1986-06-02,1230.199951
1986-06-09,1216.300049
1986-06-16,1214.699951
1986-06-23,1183.599976
1986-06-30,1142.699951
1986-07-07,1139.900024
1986-07-14,1130.400024
1986-07-21,1118.800049
1986-07-28,1124.900024
1986-08-04,1153.099976
1986-08-11,1176.5
1986-08-18,1183.800049
1986-08-25,1192.300049
1986-09-01,1238.5
1986-09-08,1235.900024
1986-09-15,1210.5
1986-09-22,1259
1986-09-29,1297.300049
1986-10-06,1329.900024
1986-10-13,1367.300049
1986-10-20,1362.300049
1986-10-27,1377.5
1986-11-03,1403.5
1986-11-10,1362.300049
1986-11-17,1346.099976
1986-11-24,1379.599976
1986-12-01,1420.300049
1986-12-08,1437.699951
1986-12-15,1455.900024
1986-12-22,1462.300049
1986-12-29,1486.900024
1987-01-05,1535.599976
1987-01-12,1531.699951
1987-01-19,1539.599976
1987-01-26,1496.300049
1987-02-02,1539.199951
1987-02-09,1575.800049
1987-02-16,1605.300049
1987-02-23,1614.099976
1987-03-02,1646.599976
1987-03-09,1636.300049
1987-03-16,1652.199951
1987-03-23,1690.900024
1987-03-30,1721.5
1987-04-06,1787.400024
1987-04-13,1763.5
1987-04-20,1776.699951
1987-04-27,1753.300049
1987-05-04,1827.099976
1987-05-11,1848.5
1987-05-18,1826.099976
1987-05-25,1770.800049
1987-06-01,1777.900024
1987-06-08,1827.800049
1987-06-15,1798.099976
1987-06-22,1748.199951
1987-06-29,1833.699951
1987-07-06,1915.199951
1987-07-13,1975.400024
1987-07-20,1998
1987-07-27,2030.199951
1987-08-03,2083.800049
1987-08-10,2114.5
1987-08-17,2087.100098
1987-08-24,2163.100098
1987-08-31,2194.899902
1987-09-07,2206.699951
1987-09-14,2305.399902
1987-09-21,2282.5
1987-09-28,2247.600098
1987-10-05,2220.5
1987-10-12,2144.899902
1987-10-19,1513.900024
1987-10-26,1295.199951
1987-11-02,1238
1987-11-09,1275.900024
1987-11-16,1255.900024
1987-11-23,1321.900024
1987-11-30,1247.199951
1987-12-07,1219.400024
1987-12-14,1239.800049
1987-12-21,1313.099976
1987-12-28,1320
1988-01-04,1309.5
1988-01-11,1277.5
1988-01-18,1277.5
1988-01-25,1257.099976
1988-02-01,1219.699951
1988-02-08,1199.400024
1988-02-15,1243.199951
1988-02-22,1240.900024
1988-02-29,1298.5
1988-03-07,1354.300049
1988-03-14,1414
1988-03-21,1425.099976
1988-03-28,1415.599976
1988-04-04,1424.599976
1988-04-11,1436.900024
1988-04-18,1436.599976
1988-04-25,1457.199951
1988-05-02,1423.400024
1988-05-09,1403.099976
1988-05-16,1456.199951
1988-05-23,1539
1988-05-30,1581.699951
1988-06-06,1586.599976
1988-06-13,1600.5
1988-06-20,1574.400024
1988-06-27,1558.900024
1988-07-04,1612.599976
1988-07-11,1623.599976
1988-07-18,1636.199951
1988-07-25,1611.699951
1988-08-01,1641.400024
1988-08-08,1623.5
1988-08-15,1640.599976
1988-08-22,1595.599976
1988-08-29,1546.199951
1988-09-05,1545.5
1988-09-12,1559.900024
1988-09-19,1551.099976
1988-09-26,1551.599976
1988-10-03,1525.900024
1988-10-10,1551.599976
1988-10-17,1595.300049
1988-10-24,1581.5
1988-10-31,1570.400024
1988-11-07,1558.199951
1988-11-14,1493.300049
1988-11-21,1506
1988-11-28,1451
1988-12-05,1471
1988-12-12,1447.300049
1988-12-19,1484.099976
1988-12-26,1487.400024
1989-01-02,1478.300049
1989-01-09,1517.900024
1989-01-16,1517.900024
1989-01-23,1542.599976
1989-01-30,1511.699951
1989-02-06,1509
1989-02-13,1448.099976
1989-02-20,1486.199951
1989-02-27,1508.699951
1989-03-06,1488
1989-03-13,1496.300049
1989-03-20,1486
1989-03-27,1459.599976
1989-04-03,1412.900024
1989-04-10,1416.300049
1989-04-17,1452.5
1989-04-24,1500.199951
1989-05-01,1510.800049
1989-05-08,1536.699951
1989-05-15,1562.599976
1989-05-22,1530.800049
1989-05-29,1524.900024
1989-06-05,1543.900024
1989-06-12,1528.400024
1989-06-19,1510.599976
1989-06-26,1521.099976
1989-07-03,1527.5
1989-07-10,1558.099976
1989-07-17,1603
1989-07-24,1626.900024
1989-07-31,1670.900024
1989-08-07,1694.900024
1989-08-14,1716.900024
1989-08-21,1765.199951
1989-08-28,1748.699951
1989-09-04,1758.199951
1989-09-11,1733.800049
1989-09-18,1706.800049
1989-09-25,1735.800049
1989-10-02,1773.199951
1989-10-09,1741.900024
1989-10-16,1673.800049
1989-10-23,1621.099976
1989-10-30,1657.099976
1989-11-06,1636.599976
1989-11-13,1634.400024
1989-11-20,1615.900024
1989-11-27,1624.599976
1989-12-04,1626
1989-12-11,1619.099976
1989-12-18,1645.400024
1989-12-25,1649
1990-01-01,1710.800049
1990-01-08,1713.699951
1990-01-15,1673.900024
1990-01-22,1675.300049
1990-01-29,1669.300049
1990-02-05,1630.599976
1990-02-12,1641.400024
1990-02-19,1581
1990-02-26,1568.199951
1990-03-05,1579.199951
1990-03-12,1584.5
1990-03-19,1567.400024
1990-03-26,1535.800049
1990-04-02,1513
1990-04-09,1498.400024
1990-04-16,1492.199951
1990-04-23,1456.5
1990-04-30,1461.199951
1990-05-07,1484.599976
1990-05-14,1478.099976
1990-05-21,1479.900024
1990-05-28,1513.800049
1990-06-04,1504.099976
1990-06-11,1502.5
