Date,sp500
4/5/09,907.24
5/5/09,903.8
6/5/09,919.53
7/5/09,907.39
8/5/09,929.23
11/5/09,909.24
12/5/09,908.35
13/5/09,883.92
14/5/09,893.07
15/5/09,882.88
18/5/09,909.71
19/5/09,908.13
20/5/09,903.47
21/5/09,888.33
22/5/09,887
26/5/09,910.33
27/5/09,893.06
28/5/09,906.83
29/5/09,919.14
1/6/09,942.87
2/6/09,944.74
3/6/09,931.76
4/6/09,942.46
5/6/09,940.09
8/6/09,939.14
9/6/09,942.43
10/6/09,939.15
11/6/09,944.89
12/6/09,946.21
15/6/09,923.72
16/6/09,911.97
17/6/09,910.71
18/6/09,918.37
19/6/09,921.23
22/6/09,893.04
23/6/09,895.1
24/6/09,900.94
25/6/09,920.26
26/6/09,918.9
29/6/09,927.23
30/6/09,919.32
1/7/09,923.33
2/7/09,896.42
6/7/09,898.72
7/7/09,881.03
8/7/09,879.56
9/7/09,882.68
10/7/09,879.13
13/7/09,901.05
14/7/09,905.84
15/7/09,932.68
16/7/09,940.74
17/7/09,940.38
20/7/09,951.13
21/7/09,954.58
22/7/09,954.07
23/7/09,976.29
24/7/09,979.26
27/7/09,982.18
28/7/09,979.62
29/7/09,975.15
30/7/09,986.75
31/7/09,987.48
3/8/09,1002.63
4/8/09,1005.65
5/8/09,1002.72
6/8/09,997.08
7/8/09,1010.48
10/8/09,1007.1
11/8/09,994.35
12/8/09,1005.81
13/8/09,1012.73
14/8/09,1004.09
17/8/09,979.73
18/8/09,989.67
19/8/09,996.46
20/8/09,1007.37
21/8/09,1026.13
24/8/09,1025.57
25/8/09,1028
26/8/09,1028.12
27/8/09,1030.98
28/8/09,1028.93
31/8/09,1020.62
1/9/09,998.04
2/9/09,994.75
3/9/09,1003.24
4/9/09,1016.4
8/9/09,1025.39
9/9/09,1033.37
10/9/09,1044.14
11/9/09,1042.73
14/9/09,1049.34
15/9/09,1052.63
16/9/09,1068.76
17/9/09,1065.49
18/9/09,1068.3
21/9/09,1064.66
22/9/09,1071.66
23/9/09,1060.87
24/9/09,1050.78
25/9/09,1044.38
28/9/09,1062.98
29/9/09,1060.61
30/9/09,1057.08
1/10/09,1029.85
2/10/09,1025.21
5/10/09,1040.46
6/10/09,1054.72
7/10/09,1057.58
8/10/09,1065.48
9/10/09,1071.49
12/10/09,1076.19
13/10/09,1073.19
14/10/09,1092.02
15/10/09,1096.56
