date,btc
8/5/16,460.440002
9/5/16,449.359985
10/5/16,452.5
11/5/16,454.429993
12/5/16,455.410004
13/5/16,456.440002
14/5/16,458.109985
15/5/16,454.869995
16/5/16,453.25
17/5/16,454.220001
18/5/16,442.660004
19/5/16,442.109985
20/5/16,443.640015
21/5/16,439.619995
22/5/16,443.690002
23/5/16,446.109985
24/5/16,449.779999
25/5/16,453.299988
26/5/16,474.049988
27/5/16,524.219971
28/5/16,516.049988
29/5/16,532.26001
30/5/16,528.919983
31/5/16,537.400024
1/6/16,537.099976
2/6/16,567.030029
3/6/16,571.950012
4/6/16,574.909973
5/6/16,583.580017
6/6/16,575.580017
7/6/16,580.51001
8/6/16,574.690002
9/6/16,577.890015
10/6/16,591.599976
11/6/16,666.549988
12/6/16,700.070007
13/6/16,685.140015
14/6/16,690.77002
15/6/16,761.210022
16/6/16,743.900024
17/6/16,753.77002
18/6/16,761.039978
19/6/16,733.969971
20/6/16,667.380005
21/6/16,590.559998
22/6/16,620.840027
23/6/16,656.890015
24/6/16,663.52002
25/6/16,625.409973
26/6/16,644.659973
27/6/16,644.890015
28/6/16,636.539978
29/6/16,670.02002
30/6/16,674.570007
1/7/16,698.059998
2/7/16,661.640015
3/7/16,675.159973
4/7/16,663.669983
5/7/16,672.700012
6/7/16,635.25
7/7/16,662.780029
8/7/16,651.830017
9/7/16,647.109985
10/7/16,646.710022
11/7/16,670.559998
12/7/16,661.150024
13/7/16,657.25
14/7/16,664.200012
15/7/16,660.690002
16/7/16,676.330017
17/7/16,670.380005
18/7/16,671.099976
19/7/16,664.400024
20/7/16,664.619995
21/7/16,651.109985
22/7/16,655.159973
23/7/16,659.289978
24/7/16,654
25/7/16,654.380005
26/7/16,654.539978
27/7/16,654.130005
28/7/16,655.429993
29/7/16,654.73999
30/7/16,621.869995
31/7/16,607
1/8/16,513.429993
2/8/16,566.440002
3/8/16,576.219971
4/8/16,574.659973
5/8/16,586.450012
6/8/16,590.849976
7/8/16,589.23999
8/8/16,585.25
9/8/16,590.940002
10/8/16,587.840027
11/8/16,587.140015
12/8/16,584.590027
13/8/16,569.059998
14/8/16,566.950012
15/8/16,580.190002
16/8/16,572.340027
17/8/16,573.390015
18/8/16,574.559998
19/8/16,582.609985
20/8/16,580.659973
21/8/16,587.469971
22/8/16,583.559998
23/8/16,579.659973
24/8/16,577.960022
25/8/16,579.369995
26/8/16,570.349976
27/8/16,574.97998
28/8/16,574.22998
29/8/16,577.320007
30/8/16,573.880005
31/8/16,571.98999
1/9/16,575.289978
2/9/16,598.840027
3/9/16,609.549988
4/9/16,605.76001
5/9/16,610.440002
6/9/16,613.210022
7/9/16,625.570007
8/9/16,623.159973
9/9/16,624.52002
10/9/16,605.609985
11/9/16,607.97998
12/9/16,608.609985
13/9/16,609.539978
14/9/16,608.109985
15/9/16,607.780029
16/9/16,607.080017
17/9/16,610.700012
18/9/16,609.849976
19/9/16,609.23999
20/9/16,597.159973
21/9/16,595.630005
22/9/16,602.919983
23/9/16,602.590027
24/9/16,601.48999
25/9/16,606.539978
26/9/16,605.469971
27/9/16,604.669983
28/9/16,604.700012
29/9/16,608.140015
30/9/16,613.409973
1/10/16,610.690002
2/10/16,611.599976
3/10/16,608.960022
4/10/16,611.820007
5/10/16,610.969971
6/10/16,616.030029
7/10/16,617.650024
8/10/16,615.77002
9/10/16,617.289978
10/10/16,640.450012
11/10/16,635.98999
12/10/16,635.599976
13/10/16,637.919983
14/10/16,637.030029
15/10/16,640.119995
16/10/16,637.369995
17/10/16,635.340027
18/10/16,629.059998
19/10/16,628.340027
20/10/16,630.450012
21/10/16,655.47998
22/10/16,653.030029
23/10/16,650.48999
24/10/16,651
25/10/16,674.669983
26/10/16,682.299988
27/10/16,686.23999
28/10/16,714.950012
29/10/16,697.27002
31/10/16,698.669983
1/11/16,726.76001
2/11/16,733.51001
3/11/16,684.869995
4/11/16,702.080017
5/11/16,702.109985
6/11/16,709.909973
7/11/16,705.400024
8/11/16,710.900024
9/11/16,721.419983
10/11/16,714.570007
11/11/16,714.969971
12/11/16,704.27002
