Date,TBILL
4/01/1999,4.38
5/01/1999,4.37
6/01/1999,4.36
7/01/1999,4.33
8/01/1999,4.37
11/01/1999,4.39
12/01/1999,4.37
13/01/1999,4.34
14/01/1999,4.33
15/01/1999,4.33
18/01/1999,.
19/01/1999,4.29
20/01/1999,4.26
21/01/1999,4.22
22/01/1999,4.26
25/01/1999,4.31
26/01/1999,4.35
27/01/1999,4.36
28/01/1999,4.38
29/01/1999,4.37
1/02/1999,4.42
2/02/1999,4.42
3/02/1999,4.37
4/02/1999,4.38
5/02/1999,4.39
8/02/1999,4.4
9/02/1999,4.42
10/02/1999,4.37
11/02/1999,4.39
12/02/1999,4.43
15/02/1999,.
16/02/1999,4.41
17/02/1999,4.41
18/02/1999,4.42
19/02/1999,4.45
22/02/1999,4.5
23/02/1999,4.54
24/02/1999,4.55
25/02/1999,4.51
26/02/1999,4.55
1/03/1999,4.58
2/03/1999,4.53
3/03/1999,4.49
4/03/1999,4.49
5/03/1999,4.5
8/03/1999,4.51
9/03/1999,4.47
10/03/1999,4.47
11/03/1999,4.49
12/03/1999,4.47
15/03/1999,4.46
16/03/1999,4.43
17/03/1999,4.41
18/03/1999,4.39
19/03/1999,4.39
22/03/1999,4.4
23/03/1999,4.38
24/03/1999,4.38
25/03/1999,4.39
26/03/1999,4.39
29/03/1999,4.39
30/03/1999,4.36
31/03/1999,4.37
1/04/1999,4.32
2/04/1999,4.31
5/04/1999,4.29
6/04/1999,4.3
7/04/1999,4.3
8/04/1999,4.28
9/04/1999,4.3
12/04/1999,4.22
13/04/1999,4.2
14/04/1999,4.18
15/04/1999,4.2
16/04/1999,4.22
19/04/1999,4.22
20/04/1999,4.26
21/04/1999,4.24
22/04/1999,4.28
23/04/1999,4.31
26/04/1999,4.35
27/04/1999,4.38
28/04/1999,4.39
29/04/1999,4.39
30/04/1999,4.43
3/05/1999,4.47
4/05/1999,4.5
5/05/1999,4.48
6/05/1999,4.49
7/05/1999,4.49
10/05/1999,4.47
11/05/1999,4.49
12/05/1999,4.47
13/05/1999,4.46
14/05/1999,4.51
17/05/1999,4.55
18/05/1999,4.53
19/05/1999,4.5
20/05/1999,4.48
21/05/1999,4.48
24/05/1999,4.51
25/05/1999,4.51
26/05/1999,4.53
27/05/1999,4.52
28/05/1999,4.53
31/05/1999,.
1/06/1999,4.56
2/06/1999,4.61
3/06/1999,4.52
4/06/1999,4.44
7/06/1999,4.4
8/06/1999,4.49
9/06/1999,4.47
10/06/1999,4.54
11/06/1999,4.6
14/06/1999,4.57
15/06/1999,4.61
16/06/1999,4.54
17/06/1999,4.51
