"id1","id2","id3","id4","item_id","itemname","s11ba_1","s11ba_2","s11bb_1","s11bb_2","s11bc_1","s11bc_2","s11bd_1","s11bd_2","s11be_1","s11be_2","hhno"
1,6,1,2,4,"TROUSERS",,,,,,,,,,,101001002
1,6,1,2,8,"CLOTH FOR GARMENTS",45,,,,60,,80,,185,,101001002
1,6,1,2,10,"FOOTWEAR",15,,,,40,,25,,80,,101001002
1,6,1,2,1,"SUITS",,,,,,,,,,,101001002
1,6,1,2,7,"UNDERWEAR",,,,,,,,,,,101001002
1,6,1,2,5,"SHIRTS/JACKETS",,,,,,,,,,,101001002
1,6,1,2,2,"SMOCKS",,,,,,,,,,,101001002
1,6,1,2,6,"JEANS",,,,,,,,,,,101001002
1,6,1,2,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,13,,13,,101001002
1,6,1,2,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001002
1,6,1,2,3,"CLOTH",,,,,,,,,,,101001002
1,6,1,3,4,"TROUSERS",,,,,,,,,,,101001003
1,6,1,3,1,"SUITS",,,,,,,,,,,101001003
1,6,1,3,8,"CLOTH FOR GARMENTS",,,,,56,,,,56,,101001003
1,6,1,3,2,"SMOCKS",,,,,,,,,,,101001003
1,6,1,3,3,"CLOTH",,,,,60,,70,,130,,101001003
1,6,1,3,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,12,,24,,36,,101001003
1,6,1,3,10,"FOOTWEAR",,,,,12,,20,,32,,101001003
1,6,1,3,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001003
1,6,1,3,5,"SHIRTS/JACKETS",,,,,,,,,,,101001003
1,6,1,3,6,"JEANS",,,,,,,,,,,101001003
1,6,1,3,7,"UNDERWEAR",,,,,,,,,,,101001003
1,6,1,4,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001004
1,6,1,4,6,"JEANS",,,,,24,,,,24,,101001004
1,6,1,4,1,"SUITS",,,,,,,,,,,101001004
1,6,1,4,4,"TROUSERS",,,,,20,,,,20,,101001004
1,6,1,4,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,,,,,101001004
1,6,1,4,5,"SHIRTS/JACKETS",,,,,15,,,,15,,101001004
1,6,1,4,7,"UNDERWEAR",,,,,10,,,,10,,101001004
1,6,1,4,8,"CLOTH FOR GARMENTS",,,,,,,,,,,101001004
1,6,1,4,10,"FOOTWEAR",,,,,20,,,,20,,101001004
1,6,1,4,2,"SMOCKS",,,,,,,,,,,101001004
1,6,1,4,3,"CLOTH",,,,,30,,,,30,,101001004
1,6,1,9,6,"JEANS",,,,,,,,,,,101001009
1,6,1,9,5,"SHIRTS/JACKETS",,,,,,,,,,,101001009
1,6,1,9,4,"TROUSERS",,,,,24,50,,,24,50,101001009
1,6,1,9,1,"SUITS",,,,,,,,,,,101001009
1,6,1,9,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001009
1,6,1,9,3,"CLOTH",,,,,,,90,,90,,101001009
1,6,1,9,7,"UNDERWEAR",,,,,,,,,,,101001009
1,6,1,9,8,"CLOTH FOR GARMENTS",,,,,20,,20,,40,,101001009
1,6,1,9,2,"SMOCKS",,,,,,,,,,,101001009
1,6,1,9,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,,,,,101001009
1,6,1,9,10,"FOOTWEAR",,,,,24,,10,,34,,101001009
1,6,1,10,2,"SMOCKS",,,,,,,,,,,101001010
1,6,1,10,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,15,,15,,101001010
1,6,1,10,5,"SHIRTS/JACKETS",,,,,,,,,,,101001010
1,6,1,10,7,"UNDERWEAR",,,,,,,,,,,101001010
1,6,1,10,10,"FOOTWEAR",,,,,,,13,,13,,101001010
1,6,1,10,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001010
1,6,1,10,8,"CLOTH FOR GARMENTS",,,,,,,,,,,101001010
1,6,1,10,1,"SUITS",,,,,,,,,,,101001010
1,6,1,10,6,"JEANS",,,,,,,,,,,101001010
1,6,1,10,4,"TROUSERS",,,,,,,,,,,101001010
1,6,1,10,3,"CLOTH",,,,,,,100,,100,,101001010
1,6,1,12,6,"JEANS",,,,,,,,,,,101001012
1,6,1,12,5,"SHIRTS/JACKETS",,,,,,,,,,,101001012
1,6,1,12,8,"CLOTH FOR GARMENTS",,,,,50,,,,50,,101001012
1,6,1,12,1,"SUITS",,,,,,,,,,,101001012
1,6,1,12,3,"CLOTH",,,,,,,20,,20,,101001012
1,6,1,12,7,"UNDERWEAR",,,,,,,,,,,101001012
1,6,1,12,4,"TROUSERS",,,,,,,,,,,101001012
1,6,1,12,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,20,,10,,30,,101001012
1,6,1,12,2,"SMOCKS",,,,,,,,,,,101001012
1,6,1,12,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001012
1,6,1,12,10,"FOOTWEAR",,,,,20,,20,,40,,101001012
1,6,1,13,5,"SHIRTS/JACKETS",,,,,,,,,,,101001013
1,6,1,13,1,"SUITS",,,,,,,,,,,101001013
1,6,1,13,2,"SMOCKS",,,,,,,,,,,101001013
1,6,1,13,8,"CLOTH FOR GARMENTS",,,30,,,,,,30,,101001013
1,6,1,13,4,"TROUSERS",,,,,,,,,,,101001013
1,6,1,13,10,"FOOTWEAR",,,8,,,,5,,13,,101001013
1,6,1,13,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,,,,,101001013
1,6,1,13,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001013
1,6,1,13,6,"JEANS",,,,,,,,,,,101001013
1,6,1,13,7,"UNDERWEAR",,,,,,,,,,,101001013
1,6,1,13,3,"CLOTH",,,,,,,66,,66,,101001013
1,6,1,15,11,"TAILORING/LAUNDRY/CLEANING, CL",10,,,,,,15,,25,,101001015
1,6,1,15,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001015
1,6,1,15,10,"FOOTWEAR",10,,,,,,20,,30,,101001015
1,6,1,15,3,"CLOTH",,,,,,,50,,50,,101001015
1,6,1,15,6,"JEANS",,,,,,,,,,,101001015
1,6,1,15,2,"SMOCKS",,,,,,,,,,,101001015
1,6,1,15,5,"SHIRTS/JACKETS",,,,,,,,,,,101001015
1,6,1,15,1,"SUITS",,,,,,,,,,,101001015
1,6,1,15,7,"UNDERWEAR",,,,,,,,,,,101001015
1,6,1,15,4,"TROUSERS",,,,,,,,,,,101001015
1,6,1,15,8,"CLOTH FOR GARMENTS",50,,,,,,10,,60,,101001015
1,6,1,22,1,"SUITS",,,,,,,,,,,101001022
1,6,1,22,3,"CLOTH",,,,,,,50,,50,,101001022
1,6,1,22,5,"SHIRTS/JACKETS",,,,,,,,,,,101001022
1,6,1,22,4,"TROUSERS",,,,,,,,,,,101001022
1,6,1,22,10,"FOOTWEAR",20,,,,40,,30,,90,,101001022
1,6,1,22,7,"UNDERWEAR",,,,,,,,,,,101001022
1,6,1,22,2,"SMOCKS",,,,,,,,,,,101001022
1,6,1,22,11,"TAILORING/LAUNDRY/CLEANING, CL",15,,,,30,,30,,75,,101001022
1,6,1,22,6,"JEANS",,,,,,,,,,,101001022
1,6,1,22,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001022
1,6,1,22,8,"CLOTH FOR GARMENTS",40,,,,40,,,,80,,101001022
1,6,1,23,2,"SMOCKS",,,,,,,,,,,101001023
1,6,1,23,3,"CLOTH",,,,,,,,,,,101001023
1,6,1,23,9,"OTHER GARMENTS AND CLOTHING",,,,,,,,,,,101001023
1,6,1,23,4,"TROUSERS",,,,,,,,,,,101001023
1,6,1,23,6,"JEANS",,,,,,,,,,,101001023
1,6,1,23,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,,,,,101001023
1,6,1,23,5,"SHIRTS/JACKETS",,,,,,,,,,,101001023
1,6,1,23,1,"SUITS",,,,,,,,,,,101001023
1,6,1,23,8,"CLOTH FOR GARMENTS",,,,,,,,,,,101001023
1,6,1,23,7,"UNDERWEAR",,,,,,,,,,,101001023
1,6,1,23,10,"FOOTWEAR",,,,,,,10,,10,,101001023
1,6,1,24,5,"SHIRTS/JACKETS",,,,,,,,,,,101001024
1,6,1,24,1,"SUITS",,,,,,,,,,,101001024
1,6,1,24,8,"CLOTH FOR GARMENTS",,,,,,,,,,,101001024
1,6,1,24,10,"FOOTWEAR",30,,,,20,,30,,80,,101001024
1,6,1,24,2,"SMOCKS",,,,,,,,,,,101001024
1,6,1,24,7,"UNDERWEAR",10,,,,10,,5,,25,,101001024
1,6,1,24,9,"OTHER GARMENTS AND CLOTHING",50,,,,,,,,50,,101001024
1,6,1,24,4,"TROUSERS",,,,,,,,,,,101001024
1,6,1,24,11,"TAILORING/LAUNDRY/CLEANING, CL",,,,,,,,,,,101001024
1,6,1,24,3,"CLOTH",,,,,30,,50,,80,,101001024
1,6,1,24,6,"JEANS",,,,,,,,,,,101001024
