"id1","id2","id3","id4","hhmid","s1eii_31","s1eii_32","s1eii_33","s1eii_34","s1eii_35i","s1eii_35ii","s1eii_36i","s1eii_36ii","s1eii_36iii","s1eii_37i","s1eii_37ii","s1eii_38","s1eii_39","s1eii_40","s1eii_41i","s1eii_41ii","s1eii_42","s1eii_43","s1eii_44i","s1eii_44ii","s1eii_45","s1eii_46","s1eii_47","s1eii_48","s1eii_49","s1eii_50","s1eii_51","s1eii_52","s1eii_53","s1eii_54","s1eii_55","s1eii_56","s1eii_57i","s1eii_57ii","s1eii_57iii","s1eii_58","s1eii_59","s1eii_60","s1eii_61i","s1eii_61ii","hhno"
1,2,6,55,1,"FIXING OF IRON RODS",712,"CONSTRUCTION OF BUILDING",4520,5,3,8,1,6,4,8,1,4,1,12,,2,1,5,,2,2,1,2,4,2,2,2,2,19,3,2,,,,,,,,,101006055
1,5,4,16,1,"SWEEPING AND CLEANING OF THE B",916,"SANITARY SERVICE",9000,,3,12,5,3,5,3,2,,1,50,,3,2,,,,1,12,1,1,1,1,2,2,19,11,2,,,,,,,,,101004016
2,6,45,51,1,"STREET VENDOR",911,"SELLING BREAD",5252,,3,52,6,6,6,6,2,,1,4,0,1,2,,,,2,2,2,4,2,2,2,2,10,1,2,,,,,,,,,102045051
2,9,54,58,1,"TRADES IN PALM OIL, PALM KENRN",523,"RETAIL TRADE",5252,12,,11,7,6,0,0,2,,1,20,0,2,2,,,,2,22,4,2,2,2,2,2,16,,2,,,,,,,,,102054058
3,1,70,9,5,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103070009
3,1,70,9,1,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103070009
3,1,73,26,1,"OFF LOAD GOODS FROM CONTAINERS",915,"MATERIAL MOVING TRADE",6301,1,,20,3,5,3,5,2,,1,10,,1,2,,,,2,2,2,4,2,2,2,2,9,3,2,,,,,,,,,103073026
3,1,73,69,1,"SECURITY",516,"GUARDS AN OFFICE AT NIGHT",7523,2,,52,6,12,6,12,1,,1,100,,4,2,,,,1,1,1,1,1,1,1,1,3,2,2,,,,,,,,,103073069
3,1,86,46,1,"CONSTRUCTION AND FURNITURE MAK",71,"MANUFACTURING",3611,4,2,32,6,4,6,4,2,,1,,,1,2,,,,2,2,2,4,2,2,2,2,4,1,2,,,,,,,,,103086046
3,41,87,34,1,"OPERATING CORNMILL",827,"MACHINE OPERATORS",1532,2,,30,6,4,7,4,2,,1,10,,3,2,,,,2,2,2,4,2,2,2,2,3,1,2,,,,,,,,,103087034
4,3,101,57,1,"SALES AGENT(INSURANCE)",342,"INSURANCE",6720,,1,4,5,2,5,2,1,25,1,,,3,2,,,,2,2,2,4,2,2,2,2,11,,2,,,,,,,,,104101057
4,3,102,19,1,"MASON",931,"CONSTRUCTION",4540,2,,34,6,8,6,7,1,11,1,30,,2,2,,,,2,2,2,4,2,2,2,2,19,6,2,,,,,,,,,104102019
4,6,114,4,1,"FARMING",921,"AGRICULTURAL FISHERY & RELATED",111,12,,40,6,10,6,10,1,10,2,,,,2,,,,2,2,2,4,2,2,2,2,5,4,2,,,,,,,,,104114004
5,8,158,19,2,"TYPING AND OTHER SECRETARIAL D",411,"SERVICES",7499,4,0,13,2,10,2,10,2,,1,60,0,3,1,,,,2,2,2,4,2,2,2,2,,3,2,,,,,,,,,105158019
5,12,170,27,1,"HERBALIST",324,"OTHER HUMAN HEALTH ACTIVITIES",8519,50,,52,7,18,7,12,1,12,1,,,7,1,,,7,2,2,2,4,2,2,2,2,2,1,2,,,,,,,,,105170027
6,1,178,69,1,"CULTIVATING COCOA, CASSAVA",,,,8,52,4,2,,4,2,1,,1,,,,1,,,,2,2,2,4,2,2,2,2,5,1,2,,,,,,,,,106178069
6,1,181,31,1,"BUYS COCOA",511,"AGRIC",5110,5,,48,5,5,5,5,1,10,1,330,,6,1,33,,2,1,2,2,4,2,2,2,2,1,1,2,,,,,,,,,106181031
6,10,204,3,1,"KENKEY PREPARATION",741,"TRADING",1549,15,,40,6,6,5,6,1,11,1,60,,1,2,,,,2,2,1,3,2,2,2,2,2,2,2,,,,,,,,,106204003
6,84,193,120,1,"ELECTORAL OFFICER",419,"CLERKS",7511,6,,,,,,,2,,,80,,2,2,,,,1,2,2,4,2,2,2,2,1,5,1,,,1,1,2,2,,,106193120
6,91,185,28,1,"FARMING",921,"SERVICES",111,10,,45,5,5,5,3,2,,2,,,,1,,,4,2,2,2,4,2,2,2,2,5,1,2,,,,,,,,,106185028
6,94,179,127,1,"COCOA FARMING",11,"AGRICULTURE",113,10,,40,5,7,5,7,2,,1,400,,4,2,,,,2,2,2,4,2,2,2,2,5,1,2,,,,,,,,,106179127
6,94,180,4,1,"FARMING",11,"AGRIC",111,,,52,5,9,5,9,2,,2,,,,2,,,,2,2,2,4,2,2,2,2,5,2,2,,,,,,,,,106180004
6,94,180,16,1,"FARMER",621,,,10,,52,5,6,5,7,2,,2,,,,2,,,,2,2,2,4,2,2,2,2,5,2,2,,,,,,,,,106180016
6,97,189,82,1,"FARMING",11,"AGRIC",111,4,,15,3,6,4,3,2,,2,,,,2,,,,2,2,2,4,2,2,2,2,5,2,2,,,,,,,,,106189082
7,112,241,35,1,"FARMING",921,"AGRICULTURE",113,3,,52,6,5,6,5,1,,1,828,,6,2,,,,2,2,2,4,2,2,2,2,,,2,,,,,,,,,107241035
7,113,245,25,1,"SALE OF FROZEN MEAT & FISH",522,"FROZEN FOODS",5211,3,,52,6,8,6,8,1,8,1,50,,3,2,,,,2,2,3,2,2,2,2,2,9,1,2,,,,,,,,,107245025
8,10,299,134,1,"EVENTS MANAGEMENT",245,"GAMES AND FUNS",9213,3,,8,3,6,4,8,1,63,1,35,,2,2,,,,2,2,2,4,2,2,2,2,19,5,2,,,,,,,,,108299134
