"id1","id2","id3","id4","hhmid","s1gi_1","s1gi_2i","s1gi_2ii","s1gi_3","s1gi_4","s1gi_5","s1gi_6","s1gi_7","s1gi_8i","s1gi_8ii","s1gi_9i","s1gi_9ii","s1gi_10ii","s1gi_10iii","s1gi_11ii","s1gi_11iii","s1gi_12ii","s1gi_12iii","hhno"
1,1,3,13,2,,,,,,,,,,,,,,,,,,,101003013
1,1,3,13,1,1,12,,1,5,11,6,,,,2,,,1,,1,,3,101003013
1,1,3,15,2,1,5,2,1,6,11,6,,3,,5,,,1,,1,,3,101003015
1,1,3,15,3,,,,,,,,,,,,,,,,,,,101003015
1,1,3,15,4,,,,,,,,,,,,,,,,,,,101003015
1,1,3,15,1,,,,,,,,,,,,,,,,,,,101003015
1,1,3,37,1,1,20,,1,2,11,1,,,30,,20,-8,,,1,,3,101003037
1,1,3,43,4,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,3,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,5,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,1,1,47,,1,5,11,6,,,,,,,,,,,3,101003043
1,1,3,43,2,,,,,,,,,,,,,,,,,,,101003043
1,1,8,14,3,,,,,,,,,,,,,,,,,,,101008014
1,1,8,14,2,1,8,,1,6,11,1,,,,,,,1,,1,,3,101008014
1,1,8,14,4,,,,,,,,,,,,,,,,,,,101008014
1,1,8,14,1,,,,,,,,,,,,,,,,,,,101008014
1,1,8,17,9,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,5,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,6,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,4,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,3,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,2,2,17,,1,5,3,26,,,,,70,,,-8,,,3,101008017
1,1,8,17,7,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,1,2,8,,1,2,11,50,,,,15,,,,-8,,,3,101008017
1,1,8,17,8,,,,,,,,,,,,,,,,,,,101008017
1,1,8,19,3,,,,,,,,,,,,,,,,,,,101008019
1,1,8,19,1,1,23,,1,7,11,1,,1,,0,,,1,,1,,,101008019
1,1,8,19,5,,,,,,,,,,,,,,,,,,,101008019
1,1,8,19,4,,,,,,,,,,,,,,,,,,,101008019
1,1,8,19,2,,,,,,,,,,,,,,,,,,,101008019
1,1,8,22,1,1,2,,1,2,9,13,,15,,3,30,-8,,,1,-8,,101008022
1,1,8,22,5,,,,,,,,,,,,,,,,,,,101008022
1,1,8,22,4,,,,,,,,,,,,,,,,,,,101008022
1,1,8,22,2,1,24,,1,7,11,15,,,,,,,,,,,3,101008022
1,1,8,22,3,,,,,,,,,,,,,,,,,,,101008022
1,1,8,35,1,1,7,,1,13,11,21,,10,,5,,,,-8,,,,101008035
1,1,8,35,2,1,,7,1,6,11,1,,5,,,,,1,,1,,3,101008035
1,1,8,44,6,,,,,,,,,,,,,,,,,,,101008044
1,1,8,44,4,,,,,,,,,,,,,,,,,,,101008044
1,1,8,44,1,1,31,,1,5,11,9,,,,,,,,,,,3,101008044
1,1,8,44,3,,,,,,,,,,,,,,,,,,,101008044
1,1,8,44,5,,,,,,,,,,,,,,,,,,,101008044
1,1,8,44,2,,,,,,,,,,,,,,,,,,,101008044
1,1,8,47,2,1,4,,1,7,11,123,,,,,,,,,,,3,101008047
1,1,8,47,1,1,15,,1,6,11,18,,,,,,,,,,,3,101008047
1,1,8,60,1,1,1,3,1,2,11,1,,,,8,60,,1,,1,,3,101008060
1,1,8,67,4,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,6,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,8,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,9,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,2,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,1,2,18,,1,7,11,53,,,,3,,,1,,1,,3,101008067
1,1,8,67,5,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,3,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,7,,,,,,,,,,,,,,,,,,,101008067
1,1,8,74,4,,,,,,,,,,,,,,,,,,,101008074
1,1,8,74,3,,,,,,,,,,,,,,,,,,,101008074
1,1,8,74,1,1,47,,1,7,11,1,,,,,,,,,,,3,101008074
1,1,8,74,2,1,14,,1,7,11,9,,,,,,,,,,,3,101008074
3,1,61,20,1,1,5,,1,2,1,102,,,,,,,,,,,3,103061020
3,1,61,20,4,,,,,,,,,,,,,,,,,,,103061020
3,1,61,20,3,3,5,,1,5,5,35,,,,,,,,,,,3,103061020
3,1,61,20,2,2,5,,1,6,5,35,,,,,,,,,,,3,103061020
3,1,61,20,5,,,,,,,,,,,,,,,,,,,103061020
3,1,61,29,1,1,3,,1,13,11,64,,,,,,,1,,1,,3,103061029
3,1,61,45,3,3,3,,,5,11,35,,,,,,,,,,,3,103061045
3,1,61,45,2,2,3,,,5,11,35,,,,,,,,,,,3,103061045
3,1,61,45,1,1,3,,1,7,11,55,,,,,,,,,,,3,103061045
3,1,61,47,1,1,15,,1,2,1,102,,,,,60,-8,,,,-8,,103061047
3,1,61,47,2,,,,,,,,,,,,,,,,,,,103061047
3,1,61,55,1,1,25,1,1,2,11,,,,,200,,,1,,1,-8,,103061055
3,1,61,58,1,1,20,,1,7,5,35,,,,,,,,,,,3,103061058
3,1,61,58,3,,,,,,,,,,,,,,,,,,,103061058
3,1,61,58,2,2,15,,1,6,5,35,,,,350,,,1,,1,,3,103061058
3,1,61,64,1,1,20,,1,2,3,26,,,,,,,,,,-8,,103061064
3,1,61,64,2,,,,,,,,,,,,,,,,,,,103061064
3,1,61,64,3,,,,,,,,,,,,,,,,,,,103061064
3,1,61,85,2,2,3,,1,6,11,63,,70,,,,,1,,1,,3,103061085
3,1,61,85,1,,,,,,,,,,,,,,,,,,,103061085
3,1,61,120,1,1,1,,1,15,11,35,,65,,,,,1,,1,,3,103061120
3,1,61,122,4,,,,,,,,,,,,,,,,,,,103061122
3,1,61,122,1,1,32,,1,7,11,43,,,,,,,,,,,3,103061122
3,1,61,122,5,,,,,,,,,,,,,,,,,,,103061122
3,1,61,122,2,2,22,,1,6,11,38,,,,,,,,,,,,103061122
3,1,61,122,3,,,,,,,,,,,,,,,,,,,103061122
3,1,61,131,3,,,,,,,,,,,,,,,,,,,103061131
3,1,61,131,2,1,4,,1,6,11,,,,,2,,,,,,,,103061131
3,1,61,131,1,1,4,,1,2,11,32,,,,5,,,1,,,,3,103061131
3,1,61,134,1,1,2,,1,7,4,79,,3,,5,,-8,,-8,,-8,,103061134
3,1,61,145,1,1,46,,1,5,11,35,,,,15,,,1,,1,,3,103061145
3,1,62,13,1,1,1,2,1,7,5,35,,5,,,,,1,,1,-8,,103062013
3,1,62,22,3,3,3,,,5,11,35,,,,,,,1,,1,,3,103062022
3,1,62,22,2,2,3,,,7,11,35,,5,,,,,1,,1,,3,103062022
3,1,62,22,4,4,3,,,5,11,35,,,,,,,1,,1,,3,103062022
3,1,62,22,1,1,3,,,7,11,35,,2,,,,,1,,1,,3,103062022
3,1,62,51,1,1,32,,1,5,1,102,,,,,,,,,,,3,103062051
3,1,62,51,2,,,,,,,,,,,,,,,,,,,103062051
3,1,62,62,1,1,2,,1,7,5,35,,,,3,,,1,-8,,,3,103062062
3,1,62,62,2,1,2,,1,7,5,35,,,,1,,,1,-8,,,3,103062062
3,1,62,69,1,1,10,,1,2,3,26,,,,,,,,,,,3,103062069
3,1,62,78,1,1,35,,1,5,5,35,,,,,,,,,,-8,,103062078
3,1,62,144,3,,,,,,,,,,,,,,,,,,,103062144
3,1,62,144,2,2,13,,1,6,11,,,,,,,,1,,1,,3,103062144
3,1,62,144,1,1,20,,1,7,11,,,,,,,,1,,1,-8,,103062144
3,1,62,144,4,,,,,,,,,,,,,,,,,,,103062144
3,1,62,144,5,,,,,,,,,,,,,,,,,,,103062144
3,1,62,195,1,1,39,,1,5,4,79,,,,52,,,1,-8,,,3,103062195
3,1,62,195,2,,,,,,,,,,,,,,,,,,,103062195
3,1,62,199,1,1,45,,1,6,5,35,,,,5,,,1,,1,,3,103062199
3,1,62,199,2,1,1,6,1,7,5,35,,,,2,,199,,199,,199,,103062199
3,1,62,207,1,1,8,,1,7,11,35,,,,,,,1,-8,,,3,103062207
3,1,62,235,1,1,30,,1,7,11,,,,,,,,1,,1,,3,103062235
3,1,62,235,7,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,6,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,2,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,4,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,3,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,8,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,5,,,,,,,,,,,,,,,,,,,103062235
3,1,62,235,9,,,,,,,,,,,,,,,,,,,103062235
3,1,62,247,3,,,,,,,,,,,,,,,,,,,103062247
3,1,62,247,2,2,2,,1,6,11,35,,10,,,,,1,,1,,3,103062247
3,1,62,247,1,1,10,,1,5,11,35,,,,,,,1,,1,,3,103062247
3,1,63,24,1,1,31,,2,2,11,63,,,,,,,,,,-8,,103063024
3,1,63,26,2,,,,,,,,,,,,,,,,,,,103063026
3,1,63,26,1,1,40,,1,6,10,48,,,,2,,,1,,1,,3,103063026
3,1,63,39,1,1,31,,,7,11,35,,,,,,,1,,1,,3,103063039
3,1,63,41,1,1,20,,1,7,1,102,,1,50,,,,,,,,3,103063041
3,1,63,51,1,1,60,,1,2,11,52,,,,2,,,1,,1,,3,103063051
3,1,63,61,1,1,36,,1,6,11,35,,,,,,,,,,,3,103063061
3,1,63,85,1,1,50,,1,6,11,52,,,,,,,1,,1,,3,103063085
3,1,63,89,1,1,16,,1,2,11,32,,,,,,,1,,1,-8,,103063089
3,1,63,95,1,1,35,,1,6,11,64,,20,,15,,,1,,1,,3,103063095
3,1,63,108,3,,,,,,,,,,,,,,,,,,,103063108
3,1,63,108,2,,,,,,,,,,,,,,,,,,,103063108
3,1,63,108,1,1,30,,1,5,5,35,,,,10,,,1,,1,,3,103063108
3,1,64,3,3,,,,,,,,,,,,,,,,,,,103064003
3,1,64,3,1,1,14,,1,2,10,48,,,,,,,,,1,,,103064003
3,1,64,3,4,,,,,,,,,,,,,,,,,,,103064003
3,1,64,3,2,1,6,,1,6,1,102,,,,,,,,,,,,103064003
3,1,64,4,2,1,39,,1,5,11,106,,,,,,,1,,1,,3,103064004
3,1,64,4,3,,,,,,,,,,,,,,,,,,,103064004
3,1,64,4,1,1,40,,1,5,11,74,,,,,,,1,,1,,3,103064004
3,1,64,4,4,,,,,,,,,,,,,,,,,,,103064004
3,1,64,9,2,,,,,,,,,,,,,,,,,,,103064009
3,1,64,9,1,1,22,,1,2,11,76,,,,,,,,,,,,103064009
3,1,64,27,3,1,10,,2,6,11,78,,,,,,,,,,,3,103064027
3,1,64,27,2,1,20,,2,6,11,46,,,,,,,,,,,3,103064027
3,1,64,27,1,1,20,,2,9,11,78,,,,,,,,,,1,,103064027
3,1,64,27,4,,,,,,,,,,,,,,,,,,,103064027
3,1,64,33,1,1,34,,1,9,3,26,,,,,,,,,,,,103064033
3,1,64,33,2,2,23,,1,5,11,81,,,,,,,,,,,3,103064033
3,1,64,33,3,,,,,,,,,,,,,,,,,,,103064033
3,1,64,44,4,,,,,,,,,,,,,,,,,,,103064044
3,1,64,44,5,,,,,,,,,,,,,,,,,,,103064044
3,1,64,44,3,,,,,,,,,,,,,,,,,,,103064044
3,1,64,44,2,2,40,,1,7,1,102,,,,,,,,,,,3,103064044
3,1,64,44,1,,,,,,,,,,,,,,,,,,,103064044
3,1,65,12,1,1,4,,2,7,11,35,,,,,,,,,1,,3,103065012
3,1,65,17,1,1,26,,1,2,11,105,,,,,,-8,,,1,-8,,103065017
3,1,65,23,1,1,5,,1,2,9,13,,,,4,,-8,,-8,,-8,,103065023
3,1,65,47,1,1,14,,1,2,11,35,,5,,15,,,1,-8,,,3,103065047
3,1,65,66,1,1,16,,1,6,11,35,,,,20,,,1,,1,,3,103065066
3,1,65,67,1,1,2,,1,1,5,35,,15,,,,,1,,1,,3,103065067
3,1,65,67,3,,,,,,,,,,,,,,,,,,,103065067
3,1,65,67,2,1,2,,1,2,5,35,,10,,10,,,1,,1,,3,103065067
3,1,65,72,1,2,2,,1,6,11,35,,,,5,,,1,,1,,3,103065072
3,1,65,72,2,,,,,,,,,,,,,,,,,,,103065072
3,1,66,40,1,1,28,,1,6,11,,,,,40,,,1,,1,,3,103066040
3,1,66,47,2,1,8,,1,5,11,,,,,,,,,,,,3,103066047
3,1,66,47,1,1,8,,1,2,11,,,,,2,,,1,,1,,3,103066047
3,1,66,50,1,1,8,,1,7,5,35,,,,2,,,,,,,3,103066050
3,1,66,55,1,1,17,,1,4,5,35,,,,,,,,,,-8,,103066055
3,1,66,67,1,1,25,,1,7,5,35,,,,,,,,,,-8,,103066067
3,1,66,107,1,1,3,,,7,5,35,,,,,,,,,,,3,103066107
3,1,66,108,1,1,13,,1,2,11,76,,,,,,,1,,1,-8,,103066108
3,1,66,113,1,1,30,,1,7,5,35,,,,,50,,1,-8,,-8,,103066113
3,1,66,113,2,,,,,,,,,,,,,,,,,,,103066113
3,1,66,117,2,,,,,,,,,,,,,,,,,,,103066117
3,1,66,117,3,,,,,,,,,,,,,,,,,,,103066117
3,1,66,117,1,1,20,,1,7,11,,,,,,,,1,,1,,3,103066117
3,1,66,133,1,1,22,,1,7,11,64,20,,,,,,1,,1,,3,103066133
3,1,67,1,1,1,25,,1,1,5,35,,96,,350,,,1,,1,,3,103067001
3,1,67,3,3,,,,,,,,,,,,,,,,,,,103067003
3,1,67,3,1,1,12,,1,5,10,48,,,,5,,,1,-8,,,3,103067003
3,1,67,3,2,2,31,,1,6,,35,,2,,,,,,,,3,,103067003
3,1,67,3,4,,,,,,,,,,,,,,,,,,,103067003
3,1,67,37,1,,,,,,,,,,,,,,,,,,,103067037
3,1,67,37,4,1,11,,1,7,5,35,,,,,,,,,,,,103067037
3,1,67,37,3,,,,,,,,,,,,,,,,,,,103067037
3,1,67,37,2,,,,,,,,,,,,,,,,,,,103067037
3,1,67,44,1,1,1,,1,6,5,35,,4,,5,,,1,-8,,,3,103067044
3,1,67,44,2,2,1,,1,6,11,,,2,,3,,,1,-8,,,3,103067044
3,1,67,46,1,1,7,,2,2,11,,,,,7,,-8,,,,-8,,103067046
3,1,67,48,3,,,,,,,,,,,,,,,,,,,103067048
3,1,67,48,2,,,,,,,,,,,,,,,,,,,103067048
3,1,67,48,1,1,27,,1,7,5,35,,,,10,,,1,,1,,3,103067048
3,1,67,49,2,1,10,,1,,,,,,,,,,,,,,,103067049
3,1,67,49,1,1,21,,1,6,10,48,,,,3,,,1,,1,,3,103067049
3,1,67,51,2,1,9,,1,5,5,35,,,,,,,,,,,3,103067051
