"id1","id2","id3","id4","s2a_i","hhno"
1,1,3,4,10,101003004
1,1,3,5,9,101003005
1,1,3,9,9,101003009
1,1,3,11,9,101003011
1,1,3,12,10,101003012
1,1,3,13,9,101003013
1,1,3,15,9,101003015
1,1,3,20,11,101003020
1,1,3,26,8,101003026
1,1,3,32,8,101003032
1,1,3,37,10,101003037
1,1,3,40,10,101003040
1,1,3,43,11,101003043
1,1,3,46,9,101003046
1,1,3,50,11,101003050
1,1,8,4,9,101008004
1,1,8,14,16,101008014
1,1,8,17,16,101008017
1,1,8,19,11,101008019
1,1,8,21,7,101008021
1,1,8,22,15,101008022
1,1,8,29,12,101008029
1,1,8,35,18,101008035
1,1,8,44,16,101008044
1,1,8,47,12,101008047
1,1,8,53,11,101008053
1,1,8,60,9,101008060
1,1,8,67,17,101008067
1,1,8,74,12,101008074
1,1,8,78,13,101008078
1,2,5,1,6,101005001
1,2,5,3,10,101005003
1,2,5,4,7,101005004
1,2,5,13,18,101005013
1,2,5,19,18,101005019
1,2,5,22,12,101005022
1,2,5,23,9,101005023
1,2,5,24,9,101005024
1,2,5,25,13,101005025
1,2,5,33,14,101005033
1,2,5,36,10,101005036
1,2,5,40,13,101005040
1,2,5,41,8,101005041
1,2,5,51,13,101005051
1,2,5,52,10,101005052
1,2,6,1,18,101006001
1,2,6,2,7,101006002
1,2,6,9,14,101006009
1,2,6,11,7,101006011
1,2,6,15,8,101006015
1,2,6,23,8,101006023
1,2,6,29,11,101006029
1,2,6,36,5,101006036
1,2,6,42,6,101006042
1,2,6,52,8,101006052
1,2,6,55,7,101006055
1,2,6,56,8,101006056
1,2,6,59,7,101006059
1,2,6,60,8,101006060
1,2,6,64,8,101006064
1,2,7,1,7,101007001
1,2,7,4,9,101007004
1,2,7,7,7,101007007
1,2,7,10,18,101007010
1,2,7,11,10,101007011
1,2,7,14,18,101007014
1,2,7,19,9,101007019
1,2,7,25,3,101007025
1,2,7,26,15,101007026
1,2,7,28,6,101007028
1,2,7,33,13,101007033
1,2,7,36,13,101007036
1,2,7,40,17,101007040
1,2,7,68,5,101007068
1,2,7,82,9,101007082
1,2,25,2,18,101025002
1,2,25,3,17,101025003
1,2,25,6,18,101025006
1,2,25,12,12,101025012
1,2,25,13,12,101025013
1,2,25,33,16,101025033
1,2,25,37,10,101025037
1,2,25,43,15,101025043
1,2,25,44,13,101025044
1,2,25,50,11,101025050
1,2,25,51,15,101025051
1,2,25,54,18,101025054
1,2,25,97,18,101025097
1,2,25,100,17,101025100
1,2,25,101,13,101025101
1,2,26,4,15,101026004
1,2,26,6,16,101026006
1,2,26,8,14,101026008
1,2,26,10,3,101026010
1,2,26,17,10,101026017
1,2,26,19,10,101026019
1,2,26,23,13,101026023
1,2,26,24,8,101026024
1,2,26,26,18,101026026
1,2,26,29,10,101026029
1,2,26,30,11,101026030
1,2,26,39,9,101026039
1,2,26,40,12,101026040
1,2,26,42,17,101026042
1,2,26,43,12,101026043
1,2,28,8,13,101028008
1,2,28,9,11,101028009
1,2,28,10,13,101028010
1,2,28,15,7,101028015
1,2,28,18,8,101028018
1,2,28,21,9,101028021
1,2,28,26,12,101028026
1,2,28,28,11,101028028
1,2,28,31,18,101028031
1,2,28,32,6,101028032
1,2,28,34,11,101028034
1,2,28,35,12,101028035
1,2,28,41,11,101028041
1,2,28,43,4,101028043
1,2,28,44,11,101028044
1,5,4,1,17,101004001
1,5,4,2,8,101004002
1,5,4,5,4,101004005
1,5,4,6,16,101004006
1,5,4,10,12,101004010
1,5,4,12,8,101004012
1,5,4,14,13,101004014
1,5,4,16,9,101004016
1,5,4,17,5,101004017
1,5,4,20,10,101004020
1,5,4,22,18,101004022
1,5,4,24,14,101004024
1,5,4,27,17,101004027
1,5,4,31,5,101004031
1,5,4,32,9,101004032
1,6,1,2,16,101001002
1,6,1,3,7,101001003
1,6,1,4,8,101001004
1,6,1,9,11,101001009
1,6,1,10,16,101001010
1,6,1,12,8,101001012
1,6,1,13,9,101001013
1,6,1,15,11,101001015
1,6,1,22,2,101001022
1,6,1,23,13,101001023
1,6,1,24,15,101001024
1,6,1,26,13,101001026
1,6,1,29,11,101001029
1,6,1,34,17,101001034
1,6,1,35,17,101001035
1,6,2,2,9,101002002
1,6,2,4,9,101002004
1,6,2,16,10,101002016
1,6,2,19,6,101002019
1,6,2,21,5,101002021
1,6,2,23,10,101002023
1,6,2,24,10,101002024
1,6,2,25,11,101002025
1,6,2,28,11,101002028
1,6,2,29,4,101002029
1,6,2,37,9,101002037
1,6,2,41,10,101002041
1,6,2,43,7,101002043
1,6,2,50,10,101002050
1,6,2,52,10,101002052
1,8,13,6,7,101013006
1,8,13,8,8,101013008
1,8,13,15,12,101013015
1,8,13,19,8,101013019
1,8,13,20,13,101013020
1,8,13,28,15,101013028
1,8,13,30,10,101013030
1,8,13,32,13,101013032
1,8,13,36,13,101013036
1,8,13,48,12,101013048
1,8,13,66,13,101013066
1,8,13,67,16,101013067
1,8,13,87,11,101013087
1,8,13,95,13,101013095
1,8,13,103,15,101013103
1,8,14,11,18,101014011
1,8,14,15,18,101014015
1,8,14,22,16,101014022
1,8,14,33,18,101014033
1,8,14,36,11,101014036
1,8,14,41,18,101014041
1,8,14,46,7,101014046
1,8,14,57,12,101014057
1,8,14,61,11,101014061
1,8,14,65,18,101014065
1,8,14,69,12,101014069
1,8,14,82,15,101014082
1,8,14,113,10,101014113
1,8,14,118,7,101014118
1,8,14,129,16,101014129
1,8,15,6,18,101015006
1,8,15,9,9,101015009
1,8,15,34,15,101015034
1,8,15,49,7,101015049
1,8,15,55,15,101015055
1,8,15,64,18,101015064
1,8,15,65,18,101015065
1,8,15,90,15,101015090
1,8,15,119,18,101015119
1,8,15,120,11,101015120
1,8,15,149,10,101015149
1,8,15,151,13,101015151
1,8,15,188,7,101015188
1,8,15,191,13,101015191
1,8,15,194,8,101015194
1,8,16,1,16,101016001
1,8,16,23,13,101016023
1,8,16,41,17,101016041
1,8,16,51,13,101016051
1,8,16,53,7,101016053
1,8,16,107,12,101016107
1,8,16,111,10,101016111
1,8,16,137,7,101016137
1,8,16,144,16,101016144
1,8,16,145,6,101016145
1,8,16,149,12,101016149
1,8,16,152,12,101016152
1,8,16,154,16,101016154
1,8,16,163,8,101016163
1,8,16,217,17,101016217
1,10,17,2,18,101017002
1,10,17,4,16,101017004
1,10,17,11,10,101017011
1,10,17,19,18,101017019
1,10,17,20,13,101017020
1,10,17,21,12,101017021
1,10,17,22,15,101017022
1,10,17,27,14,101017027
1,10,17,29,9,101017029
1,10,17,31,12,101017031
1,10,17,36,13,101017036
1,10,17,49,6,101017049
1,10,17,51,13,101017051
1,10,17,56,14,101017056
1,10,17,57,7,101017057
1,10,18,2,14,101018002
1,10,18,11,8,101018011
1,10,18,14,10,101018014
1,10,18,18,4,101018018
1,10,18,19,6,101018019
1,10,18,26,8,101018026
1,10,18,27,16,101018027
1,10,18,28,12,101018028
1,10,18,30,6,101018030
1,10,18,33,5,101018033
1,10,18,34,17,101018034
1,10,18,41,12,101018041
1,10,18,43,13,101018043
1,10,18,58,11,101018058
1,10,18,59,11,101018059
1,10,19,3,12,101019003
1,10,19,4,12,101019004
1,10,19,5,9,101019005
1,10,19,6,12,101019006
1,10,19,8,13,101019008
1,10,19,9,13,101019009
1,10,19,10,9,101019010
1,10,19,11,13,101019011
1,10,19,12,9,101019012
1,10,19,13,11,101019013
1,10,19,14,8,101019014
1,10,19,16,9,101019016
1,10,19,17,16,101019017
1,10,19,19,9,101019019
1,10,19,20,18,101019020
1,10,20,2,8,101020002
1,10,20,4,13,101020004
1,10,20,6,10,101020006
1,10,20,10,5,101020010
1,10,20,14,11,101020014
1,10,20,16,12,101020016
1,10,20,18,7,101020018
1,10,20,21,7,101020021
1,10,20,24,7,101020024
1,10,20,25,9,101020025
1,10,20,26,9,101020026
1,10,20,27,10,101020027
1,10,20,35,12,101020035
1,10,20,37,14,101020037
1,10,20,43,7,101020043
1,10,21,1,13,101021001
1,10,21,7,12,101021007
1,10,21,11,10,101021011
1,10,21,26,13,101021026
1,10,21,30,13,101021030
1,10,21,34,8,101021034
1,10,21,45,6,101021045
1,10,21,51,6,101021051
1,10,21,54,12,101021054
1,10,21,58,14,101021058
1,10,21,62,13,101021062
1,10,21,63,8,101021063
1,10,21,67,12,101021067
1,10,21,68,17,101021068
1,10,21,69,13,101021069
1,10,27,4,13,101027004
1,10,27,9,12,101027009
1,10,27,10,11,101027010
1,10,27,11,10,101027011
1,10,27,13,15,101027013
1,10,27,20,13,101027020
1,10,27,23,16,101027023
1,10,27,31,18,101027031
1,10,27,32,18,101027032
1,10,27,36,12,101027036
1,10,27,40,15,101027040
1,10,27,41,9,101027041
1,10,27,42,9,101027042
1,10,27,46,17,101027046
1,10,27,60,12,101027060
1,11,31,1,7,101031001
1,11,31,5,9,101031005
1,11,31,15,8,101031015
1,11,31,17,10,101031017
1,11,31,21,10,101031021
1,11,31,24,3,101031024
1,11,31,30,9,101031030
1,11,31,38,10,101031038
1,11,31,47,14,101031047
1,11,31,69,11,101031069
1,11,31,70,17,101031070
1,11,31,73,14,101031073
1,11,31,74,6,101031074
1,11,31,75,18,101031075
1,11,31,84,7,101031084
1,12,29,2,10,101029002
1,12,29,4,11,101029004
1,12,29,6,12,101029006
1,12,29,8,6,101029008
1,12,29,11,11,101029011
1,12,29,17,9,101029017
1,12,29,20,8,101029020
1,12,29,23,10,101029023
1,12,29,29,10,101029029
1,12,29,33,7,101029033
1,12,29,34,11,101029034
1,12,29,36,10,101029036
1,12,29,37,13,101029037
1,12,29,39,9,101029039
1,12,29,40,11,101029040
1,12,30,4,18,101030004
1,12,30,5,12,101030005
1,12,30,6,16,101030006
