"id1","id2","hhno","s3aiii_0","s3aiii_a","s3aiii_b1","s3aiii_b2","s3aiii_c1","s3aiii_c2"
1,1,101003004,32,1,1,,1,60
1,1,101003004,42,8,1,,15,
1,1,101003004,13,1,1,,300,
1,1,101003004,41,12,1,,25,
1,1,101003004,33,2,1,,6,
1,1,101003005,32,1,1,,1,40
1,1,101003005,43,1,1,,1,50
1,1,101003005,2,1,1,,35,
1,1,101003005,33,2,1,,6,
1,1,101003005,6,1,1,,100,
1,1,101003005,41,11,1,,25,
1,1,101003005,1,1,1,,10,
1,1,101003005,42,9,1,,20,
1,1,101003009,32,1,,,2,
1,1,101003009,1,2,,,15,
1,1,101003009,25,1,,,15,
1,1,101003009,10,1,,,7,
1,1,101003009,9,1,,,15,
1,1,101003009,43,1,,,3,
1,1,101003009,42,10,,,15,
1,1,101003009,41,8,,,12,
1,1,101003009,33,2,,,10,
1,1,101003011,41,25,1,,35,
1,1,101003011,10,1,1,,10,
1,1,101003011,9,1,1,,20,
1,1,101003011,42,12,1,,20,
1,1,101003011,32,4,,,6,40
1,1,101003011,33,4,,,12,
1,1,101003011,25,1,,,25,
1,1,101003011,1,6,1,,40,
1,1,101003012,25,2,1,,90,
1,1,101003012,27,1,1,,200,
1,1,101003012,43,2,1,,6,
1,1,101003012,6,2,1,,350,
1,1,101003012,42,25,1,,28,
1,1,101003012,33,10,1,,30,
1,1,101003012,1,4,1,,50,
1,1,101003012,44,1,1,,400,
1,1,101003012,32,2,1,,3,40
1,1,101003012,41,20,1,,63,
1,1,101003012,9,1,1,,20,
1,1,101003012,30,1,1,,40,
1,1,101003013,33,2,1,,6,
1,1,101003013,42,15,1,,20,
1,1,101003013,32,2,1,,4,
1,1,101003013,41,20,1,,35,
1,1,101003013,1,5,1,,60,
1,1,101003013,40,3,1,,7,
1,1,101003015,43,1,1,,2,50
1,1,101003015,5,1,1,,50,
1,1,101003015,32,1,1,,11,
1,1,101003015,39,1,1,,3,
1,1,101003015,25,2,1,,40,
1,1,101003015,33,1,1,,3,
1,1,101003015,1,1,1,,90,
1,1,101003015,42,5,1,,9,
1,1,101003015,41,3,1,,8,
1,1,101003020,1,1,1,,20,
1,1,101003020,33,1,1,,2,
1,1,101003020,10,1,1,,15,
1,1,101003020,41,6,1,,5,
1,1,101003020,42,4,1,,2,
1,1,101003026,25,2,1,,60,
1,1,101003026,41,12,1,,30,
1,1,101003026,42,3,1,,6,
1,1,101003026,33,1,1,,3,
1,1,101003026,32,2,1,,3,
1,1,101003026,10,1,1,,5,
1,1,101003032,41,4,1,,6,
1,1,101003032,26,1,1,,25,
1,1,101003032,42,5,1,,7,
1,1,101003032,33,1,1,,3,
1,1,101003032,1,2,1,,6,
1,1,101003032,43,1,1,,1,50
1,1,101003032,32,1,1,,1,50
1,1,101003037,42,10,1,,20,
1,1,101003037,41,8,1,,12,
1,1,101003037,43,1,1,,1,50
1,1,101003037,32,1,1,,1,50
1,1,101003037,33,2,1,,6,
