"id1","id2","id3","id4","itrans_no","s3biv_39ii","s3biv_40","s3biv_41","s3biv_42","s3biv_43ii","s3biv_44","s3biv_45","s3biv_45_1","s3biv_45_2","s3biv_45_3","s3biv_45_4","s3biv_45_5","s3biv_46i","s3biv_46ii","s3biv_47i","s3biv_47ii","s3biv_48i","s3biv_48ii","s3biv_49","hhno"
1,13,10,95,1,1,1,10,1,-8,1,"1",1,,,,,30,,,,,,3,101010095
1,10,17,2,3,2,1,5,12,-8,5,"1",1,,,,,60,,,,,,3,101017002
1,8,16,149,2,1,1,2,1,-8,5,"1",1,,,,,,,50,,,,3,101016149
1,8,13,36,1,3,1,88,13,,1,"1,6",1,6,,,,3,,,,,,3,101013036
1,10,27,42,1,1,1,2,1,-8,5,"1,5,6",1,5,6,,,150,,250,,,,5,101027042
1,1,3,5,1,1,1,88,12,-8,3,"1",1,,,,,30,,,,,,7,101003005
1,10,17,31,1,1,2,,7,-8,5,"3",3,,,,,150,,,,,,3,101017031
1,8,16,107,2,1,1,6,12,-8,5,"1",1,,,,,15,,,,,,3,101016107
1,8,13,66,2,1,1,4,7,,5,"1,5,6",1,5,6,,,30,,10,,20,,3,101013066
1,13,11,85,1,1,1,6,7,,5,"1",1,,,,,300,,,,,,3,101011085
1,13,12,94,1,2,1,13,16,,5,"1,6,7",1,6,7,,,1000,,,,,,2,101012094
1,8,15,149,1,1,1,5,1,,2,"1",1,,,,,72,,,,50,,3,101015149
1,5,4,10,2,1,1,12,14,,5,"1,5",1,5,,,,100,,20,,0,,4,101004010
1,2,26,4,1,1,1,1,16,,5,"1,5,6",1,5,6,,,300,,0,,0,,,101026004
1,16,23,15,1,1,2,,12,-8,3,"1,6",1,6,,,,100,,,,,,3,101023015
1,8,13,28,1,1,1,10,13,,2,"1,3,6",1,3,6,,,120,,50,,40,,3,101013028
1,2,7,82,1,2,1,88,14,-8,4,"1,3,4",1,3,4,,,100,,,,,,3,101007082
1,12,30,22,2,2,,2,12,,3,"1,6",1,6,,,,100,,60,,17,,3,101030022
1,8,16,41,1,2,1,11,13,,5,"1",1,,,,,20,,,,,,4,101016041
1,13,9,206,1,1,1,4,16,,5,"1,2,3",1,2,3,,,1080,,,,,,2,101009206
1,13,12,38,1,1,1,88,3,,1,"1,2,5",1,2,5,,,2000,,300,,500,,3,101012038
1,10,27,40,1,1,1,7,1,41,1,"1,6,7",1,6,7,,,200,,450,,50,,3,101027040
1,8,15,188,1,1,1,88,12,,5,"1,5",1,5,,,,1200,,,,,,3,101015188
1,12,29,36,3,1,1,8,1,33,1,"1",1,,,,,20,0,365,0,10,0,3,101029036
1,13,12,13,1,2,1,88,4,,5,"1,3,4",1,3,4,,,150,,,,,,2,101012013
1,17,22,1,1,1,1,1,13,,2,"1,6",1,6,,,,30,0,10,0,,,4,101022001
1,13,10,150,1,1,1,1,12,,5,"1",1,,,,,400,,200,,,,,101010150
1,12,29,40,1,1,2,,1,-8,5,"13",13,,,,,50,0,,,33,0,4,101029040
1,13,11,28,2,1,1,4,16,,5,"1",1,,,,,250,,,,,,4,101011028
1,13,9,195,1,2,1,7,16,,5,"1,5,6",1,5,6,,,120,,,,,,2,101009195
1,13,11,28,1,1,1,2,16,,5,"1,3",1,3,,,,2000,,,,,,4,101011028
1,13,12,17,1,1,1,10,16,,5,"1,6,8",1,6,8,,,150,,,,100,,2,101012017
