"id1","id2","hhno","plot_no","s4aii_a10","s4aii_a11","s4aii_a12","s4aii_a13","s4aii_a14","s4aii_a15a","s4aii_a15b","s4aii_a15c","s4aii_a16","s4aii_a17","area_ha"
1,1,101003005,1,1,2,1,2,,4,"0.5KM",6,2,,0.409550786018372
1,1,101003040,1,6,2,1,1,2,,"2MILES",45,1,1,2.45730471611023
1,1,101003043,1,1,1,1,2,,8,"0.5MILE",13,1,1,0.404694467782974
1,1,101003046,1,1,2,1,2,,3,"2MILES",40,2,,0.409550786018372
1,1,101008004,1,0.5,2,1,3,,1,"1.5MILES",30,1,1,0.204775393009186
1,1,101008014,1,5,2,1,1,4,,"5MILES",120,2,,2.04775404930115
1,1,101008014,2,5,2,1,1,4,,"5MILES",120,2,,2.04775404930115
1,1,101008017,3,1.5,2,1,1,6,,"2MILES",60,1,2,0.614326179027557
1,1,101008017,2,1,2,1,1,4,,"2MILES",60,1,2,0.409550786018372
1,1,101008017,1,1,2,1,1,4,,"4MILES",120,1,2,0.409550786018372
1,1,101008019,1,6,2,1,1,4,,"3MILES",120,2,,2.45730471611023
1,1,101008021,1,0.5,4,1,2,,1.5,"300METRE",10,2,,0.0511938482522964
1,1,101008022,1,3,2,1,1,3,,"2MILES",60,1,2,1.22865235805511
1,1,101008029,1,3,2,1,1,4,,"6MILES",120,2,,1.22865235805511
1,1,101008029,2,1,2,1,1,1.5,,"3MILES",60,2,,0.409550786018372
1,1,101008035,2,0.5,2,1,2,,1.29999995231628,"2MILES",30,2,,0.204775393009186
1,1,101008035,5,0.300000011920929,2,1,2,,3,"4MILES",90,2,,0.122865244746208
1,1,101008035,1,3,2,1,1,4,,"4MILES",90,2,,1.22865235805511
1,1,101008035,4,0.300000011920929,2,1,2,,3,"4MILES",90,2,,0.122865244746208
1,1,101008035,6,5,1,1,2,,1.29999995231628,"2MILES",30,2,,2.02347230911255
1,1,101008035,3,0.300000011920929,2,1,2,,3,"4MILES",90,2,,0.122865244746208
1,1,101008044,1,4,2,1,1,5,,"3MILE",60,1,2,1.63820314407349
1,1,101008044,2,5,2,1,1,7,,"4MILE",90,1,2,2.04775404930115
1,1,101008047,1,0.5,2,1,2,,0.699999988079071,"3MILES",90,2,,0.204775393009186
1,1,101008047,2,0.5,2,1,2,,0.699999988079071,"2MILES",60,2,,0.204775393009186
1,1,101008053,1,5.69999980926514,2,1,1,8,,"3MILES",120,,2,2.3344395160675
1,1,101008053,2,0.300000011920929,2,1,2,4,,"3MILES",120,,2,0.122865244746208
