"id1","id2","hhno","s4aix1_plotno","s4aix_289i","s4aix_289ii","s4aix_290i","s4aix_290ii","s4aix_290iii","s4aix_291i","s4aix_291ii","s4aix_291iii","s4aix_292i","s4aix_292ii","s4aix_292iii","s4aix_293i","s4aix_293ii","s4aix_293iii","s4aix_294i","s4aix_294ii","s4aix_294iii","s4aix_295i","s4aix_295ii","s4aix_295iii","s4aix_296i","s4aix_296ii","s4aix_296iii","s4aix_297i","s4aix_297ii","s4aix_297iii","s4aix_298i","s4aix_298ii","s4aix_298iii"
1,1,101003005,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101003040,1,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101003043,1,3,8,,,,,,,,,,,,,,,,,,,10,6,1,10,6,1,,,
1,1,101003046,1,7,12,,,,,,,,,,,,,,,,,,,10,5,1,7,5,2,2,2,3
1,1,101008004,1,4,8,2,6,1,,,,,,,,,,,,,,,,5,6,1,3,6,2,,,
1,1,101008014,2,4,8,5,10,4,,,,,,,,,,,,,,,,13,10,1,3,10,10,6,10,5
1,1,101008014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008017,3,4,8,3,10,3,,,,,,,,,,,,,,,,23,5,1,23,5,1,,,
1,1,101008017,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008017,1,4,8,4,10,4,,,,,,,,,,,,,,,,26,4,1,26,4,1,,,
1,1,101008019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008021,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008022,1,4,8,2,6,3,,,,,,,,,,,,,,,,20,8,1,20,8,1,,,
1,1,101008029,2,4,8,,,,,,,,,,,,,,,,,,,21,10,1,,,,,,
1,1,101008029,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008035,2,4,8,3,6,1,,,,,,,,,,,,,,,,6,3,1,,,,,,
1,1,101008035,1,4,8,5,7,2,,,,,,,,,,,,,,,,14,5,1,,,,,,
1,1,101008035,6,4,8,,,,,,,,,,,,,,,,,,,4,2,1,,,,,,
1,1,101008035,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008035,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008035,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008044,2,4,8,4,9,3,,,,,,,,,,,,,,,,12,8,2,2,8,3,2,8,5
1,1,101008047,2,4,8,,,,,,,,,,,,,,,,,,,,,,17,6,1,,,
1,1,101008047,1,4,8,,,,,,,,,,,,,,,,,,,,,,17,6,1,,,
1,1,101008053,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008067,1,4,8,4,10,3,,,,,,,,,,,,,,,,4,7,1,7,7,2,7,7,4
1,1,101008067,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
