"id1","id2","id3","id4","s4av1_plotno","s4v_a78i","s4v_a78ii","s4v_a78iii","s4v_a78iv","s4v_a78v","s4v_a78vi","s4v_a78vii","s4v_a78viii","s4v_a78ix","s4v_a78x","s4v_a79","s4v_a80i","s4v_a80ii","s4v_a81i","s4v_a81ii","s4v_a82i","s4v_a82ii","s4v_a83i","s4v_a83ii","s4v_a84","s4v_a85i","s4v_a85ii","s4v_a86","s4v_a87","s4v_a88i","s4v_a88ii","s4v_a89i","s4v_a89ii","s4v_a90i","s4v_a90ii","s4v_a91i","s4v_a91ii","s4v_a92","s4v_a93i","s4v_a93ii","s4v_a94","s4v_a95","s4v_a96i","s4v_a96ii","s4v_a97i","s4v_a97ii","s4v_a98i","s4v_a98ii","s4v_a99i","s4v_a99ii","s4v_a100","s4v_a101i","s4v_a102ii","s4v_a102","s4v_a103","s4v_a104i","s4v_a104ii","s4v_a105i","s4v_a105ii","s4v_a106i","s4v_a106ii","s4v_a107i","s4v_a107ii","s4v_a108","s4v_a109i","s4v_a109ii","s4v_a110","s4v_a111","s4v_a112i","s4v_a112ii","s4v_a113i","s4v_a113ii","s4v_a114i","s4v_a114ii","s4v_a115i","s4v_a115ii","s4v_a116","s4v_a117i","s4v_a117ii","s4v_a118","s4v_a119","hhno"
1,1,3,5,1,7,,,,,,,,,,1,7,7,3000,34,120,,120,,1,20,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003005
1,1,3,40,1,7,,,,,,,,,,1,7,7,1500,12,60,,60,,1,200,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003040
1,1,3,43,1,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003043
1,1,3,46,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003046
1,1,8,4,1,19,37,,,,,,,,,2,19,7,2.5,6,20,,15,,2,,,1,30,37,7,4.5,6,4,50,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008004
1,1,8,14,2,5,22,12,,,,,,,,1,12,7,7,19,210,,120,,2,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008014
1,1,8,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008014
1,1,8,17,3,5,,,,,,,,,,1,5,6,4,19,40,,0,,2,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008017
1,1,8,17,1,5,,,,,,,,,,1,5,6,5,19,50,,20,,2,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008017
1,1,8,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008019
1,1,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008021
1,1,8,22,1,19,5,27,12,37,,,,,,4,19,7,1,18,35,,17,50,2,,,1,50,37,7,15,6,15,,10,,2,,,2,,5,6,3,42,60,,,,1,80,,1,10,27,7,4,6,16,,,,1,4,,2,,,,,,,,,,,,,,,101008022
1,1,8,29,2,5,27,37,22,,,,,,,3,5,6,8,4,200,,175,,2,,,2,,27,7,3.5,6,32,,30,,2,,,1,20,37,7,5,6,27,,25,,2,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,101008029
1,1,8,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008029
1,1,8,35,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008035
1,1,8,35,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008035
