"id1","id2","id3","id4","entno","s5a_31ii","s5a_32ii","s5a_4ii","s5a_5ii","s5a_6","s5a_7i","s5a_7ii","s5a_b","s5a_9i","s5a_9ii","s5a_10i","s5a_10ii","s5a_11","s5a_11i","s5a_11ii","s5a_11iii","s5a_11iv","s5a_11v","s5a_11vi","s5a_11vii","s5a_11viii","s5a_11ix","s5a_11x","s5a_11xi","s5a_11xii","s5a_12","s5a_13","s5a_14ii","s5a_15","s5a_16","s5a_17","s5a_18","s5a_19","s5a_20","s5a_20i","s5a_20ii","s5a_20iii","s5a_20iv","s5a_20v","s5a_20vi","s5a_20vii","s5a_20viii","s5a_20ix","s5a_20x","s5a_20xi","s5a_20xii","s5a_20ia","s5a_20iia","s5a_20iiia","s5a_20iva","s5a_20va","s5a_20via","s5a_20viia","s5a_20viiia","s5a_20ixa","s5a_20xa","s5a_21i","s5a_21ii","s5a_22i","s5a_22ii","s5a_23","s5a_23i","s5a_23ii","s5a_23iii","s5a_23iv","s5a_23v","s5a_23vi","s5a_23vii","s5a_23viii","s5a_23ix","s5a_23x","s5a_23xi","s5a_23xii","s5a_24i","s5a_24ii","s5a_25i","s5a_25ii","s5a_26i","s5a_26ii","s5a_27i","s5a_27ii","s5a_28i","s5a_28ii","s5a_29i","s5a_29ii","hhno"
6,110,227,64,1,1,,,1,"SELLING OF ALCHOLIC DRINKS","RETAIL",5211,"SELLING OF FISHES & MEAT","RETAIL",5211,7,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,2,10,1,1,"1",1,2,2,2,2,2,2,2,2,2,0,0,100,0,0,0,0,0,0,0,0,0,300,,192,,"AAAAALLLLLHH","A","A","A","A","A","L","L","L","L","L","H","H",900,0,450,0,210,0,660,,150,,110,,106227064
7,119,256,17,1,1,,,1,"SELLING OF DRIED PEPPER & DRIED CASSAVA (KONKONTE)","RETAILING",5211,,,,2,,"5-12",1,1,,1,1,1,1,1,1,1,1,1,1,,,5,2,4,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HH LLLAAAHHH","H","H",,"L","L","L","A","A","A","H","H","H",410,0,370,0,330,0,330,,330,,330,,107256017
2,2,34,90,1,1,,,,"RETAIL OF FOOD STUFFS",,5211,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HAAHAAAAAAAH","H","A","A","H","A","A","A","A","A","A","A","H",250,0,120,0,90,0,150,,90,,60,,102034090
4,3,101,65,1,1,,,1,"DRESSMAKING","MANUFACTURE OF TEXTILES",1810,,,,4,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLAAALLLLAHH","L","L","A","A","A","L","L","L","L","A","H","H",70,0,40,0,20,0,40,,15,,5,,104101065
3,1,81,31,1,1,,,1,"SELL WATER IN GALLONS","RETAIL SALES",5259,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,0,0,0,0,0,0,0,0,0,0,,,,,"AAAAAAAAAAAA","A","A","A","A","A","A","A","A","A","A","A","A",0,0,68,20,0,0,,,55,,,,103081031
4,58,131,13,3,3,,,3,"GARI PROCESSING",,1532,,,,5,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHAAAAALAAAH","H","H","A","A","A","A","A","L","A","A","A","H",150,0,40,0,25,0,110,0,20,0,15,0,104131013
5,15,175,28,1,1,,,1,"RETAIL OF COOKING","RETAIL TRADE",5219,,,,1,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,0,0,0,0,0,0,0,0,0,0,,,,,"HAHHALLAHAAH","H","A","H","H","A","L","L","A","H","A","A","H",300,0,150,0,60,0,270,,135,,54,,105175028
3,1,72,63,1,1,,,1,"SMALL ENGINES MACHINE MECHANICS","AUTO MECHANIC",2913,,,,7,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,3,13,4,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAAAAAAAAAAA","A","A","A","A","A","A","A","A","A","A","A","A",0,0,100,0,0,0,,,,,,,103072063
3,1,64,3,1,1,,,1,"SALE OF SECOND HAND GOODS","TRADE",5240,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLAAAAAAAHHH","L","L","A","A","A","A","A","A","A","H","H","H",400,0,300,0,150,0,250,,250,,100,,103064003
5,8,158,48,1,1,,,1,"PREPARE AND SELLS KENKEY AND FISH","FOOD INDUSTRY",5220,,,,40,,"1-11",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,10,4,2,"5",2,2,2,2,1,2,2,2,2,2,0,100,0,0,0,0,0,0,0,0,0,0,,,,,"LAAAHHHLLLLL","L","A","A","A","H","H","H","L","L","L","L","L",2500,0,2000,0,1500,0,2200,0,1700,,1100,0,105158048
