"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
1,6,1,10,1,10,,,,1,,,,7,,,,9,,,,25,,,,8,,,,101001010
1,6,2,4,1,1,,,,1,,,,10,,,,5,,,,20,,,,6,,,,101002004
1,6,2,16,1,1,,,,1,,,,12,,,,10,,,,26,,,,10,,,,101002016
1,6,2,21,1,1,,,,1,,,,12,,,,7,,,,12,,,,7,,,,101002021
1,6,2,23,2,23,,,,1,,,,14,,,,12,,,,28,,,,12,,,,101002023
1,6,2,23,1,23,,,,1,,,,12,,,,9,,,,24,,,,9,,,,101002023
1,6,2,24,1,,,,2,7,10,10,1,12,12,12,12,5,3,3,5,26,26,26,26,6,3,3,6,101002024
1,6,2,37,1,1,,,,1,7,,,12,12,,,10,10,,,24,24,,,10,10,,,101002037
1,6,2,41,1,,,,,1,,,,5,,,,4,,,,30,,,,10,,,,101002041
1,6,2,52,1,2,,,,1,,,,,,,,,,,,21,,,,4,,,,101002052
1,1,3,5,1,1,,,,1,,,,10,,,,8,,,,26,,,,8,,,,101003005
1,1,3,9,2,2,,,,1,,,,3,,,,4,,,,20,,,,4,,,,101003009
1,1,3,9,1,1,,,,1,10,10,10,10,10,10,10,6,6,6,6,22,22,22,22,6,6,6,6,101003009
1,1,3,12,1,2,,,,1,,,,0,,,,0,,,,26,,,,9,,,,101003012
1,1,3,13,1,1,,,,1,,,,14,,,,13,,,,28,,,,13,,,,101003013
1,1,3,15,1,2,,,,1,,,,12,,,,10,,,,24,,,,10,,,,101003015
1,1,3,20,1,1,,,,1,,,,5,,,,6,,,,26,,,,6,,,,101003020
1,1,3,26,1,1,,,,1,,,,12,,,,8,,,,26,,,,8,,,,101003026
1,1,3,50,1,1,,,,1,1,9,,10,10,0,,12,12,0,,22,22,22,,12,12,12,,101003050
1,5,4,1,2,1,-8,-8,-8,1,7,7,7,,,,,,,,,,5,5,5,,8,8,8,101004001
1,5,4,1,1,2,,,,1,,,,12,,,,8,,,,24,,,,8,,,,101004001
1,5,4,5,2,1,-8,,,1,5,,,,,,,,,,,24,24,,,11,11,,,101004005
1,5,4,5,1,1,,,,1,,,,14,,,,8,,,,30,,,,8,,,,101004005
1,5,4,6,1,2,,,,1,,,,6,,,,6,,,,24,,,,6,,,,101004006
