"id1","id2","id3","id4","hhmid","s8b_1","s8b_2i","s8b_2ii","s8b_3i","s8b_3ii","s8b_4i","s8b_4ii","s8b_5","s8b_6","s8b_7","s8b_8","s8b_9","s8b_10","s8b_11","s8b_12","s8b_13","s8b_14","s8b_15","s8b_16","s8b_17","s8b_18","s8b_19","s8b_20","s8b_21","s8b_22","s8b_23","s8b_24","s8b_25","hhno"
1,6,1,2,1,1,30,,,,,,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,3,4,4,4,101001002
1,6,1,3,1,1,40,,,,,,2,2,2,2,2,1,2,2,2,1,1,2,2,,,,,,,,,101001003
1,6,1,4,1,,,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,4,4,4,4,101001004
1,6,1,9,1,1,60,,,,,,2,2,,2,1,1,2,1,2,2,2,2,1,2,2,2,2,4,4,4,4,101001009
1,6,1,10,1,1,60,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,101001010
1,6,1,12,2,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,101001012
1,6,1,13,1,1,50,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,101001013
1,6,1,22,1,,,,,,,,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,1,2,4,4,4,4,101001022
1,6,1,23,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,101001023
1,6,1,23,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,101001023
1,6,1,24,1,1,30,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,4,4,4,4,101001024
1,6,1,26,1,1,45,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101001026
1,6,1,29,1,1,70,,,,,,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,101001029
1,6,1,34,1,1,90,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101001034
1,6,1,34,4,,,,,,,,2,2,2,,2,2,2,2,1,1,2,2,2,,,,,,,,,101001034
1,6,1,35,1,1,60,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,4,4,4,101001035
1,6,1,35,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,101001035
1,6,2,2,1,2,,,,,,,2,2,2,2,1,1,2,1,2,1,1,2,2,,,,,,,,,101002002
1,6,2,4,1,,,,,,,,2,2,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,101002004
1,6,2,16,1,1,150,,,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,4,4,4,101002016
1,6,2,21,1,,,,,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,101002021
1,6,2,23,1,1,200,,,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,4,4,4,101002023
1,6,2,24,1,2,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,4,4,4,101002024
