"id1","id2","hhno","hhmid","s10av_a42","s10av_a43","s10av_a44","s10av_a45","s10av_a46","s10av_a47","s10av_a48"
1,1,101003004,1,4,3,2,2,2,,1
1,1,101003005,1,4,2,2,2,1,3,1
1,1,101003005,2,5,3,1,1,2,,1
1,1,101003009,1,5,4,1,2,1,8,1
1,1,101003009,2,5,3,1,2,1,6,1
1,1,101003011,1,4,5,2,2,1,6,1
1,1,101003011,2,4,5,1,2,1,5,1
1,1,101003012,1,5,2,1,2,1,6,1
1,1,101003012,2,4,1,1,2,1,2,1
1,1,101003013,1,4,3,1,2,1,3,1
1,1,101003013,2,5,4,1,2,1,4,1
1,1,101003015,1,5,4,1,2,1,7,1
1,1,101003020,1,3,3,1,2,2,,1
1,1,101003026,1,4,3,1,2,1,4,1
1,1,101003026,2,4,2,2,2,1,6,1
1,1,101003032,1,4,3,2,2,1,4,2
1,1,101003037,1,5,2,1,2,1,7,1
1,1,101003040,1,5,2,1,2,1,8,1
1,1,101003040,2,4,3,1,2,1,6,1
1,1,101003043,1,4,2,1,2,1,7,1
1,1,101003043,2,4,3,1,2,1,5,1
1,1,101003046,1,4,3,1,2,1,5,1
1,1,101003046,2,4,2,1,2,1,4,1
1,1,101003046,3,1,4,1,2,2,,
1,1,101003050,1,4,3,1,2,1,5,1
1,1,101008004,1,3,2,4,2,1,3,1
1,1,101008014,1,4,4,5,2,1,10,1
1,1,101008014,2,2,2,2,2,1,10,2
1,1,101008017,1,4,4,3,2,1,6,1
1,1,101008017,2,4,2,4,2,1,20,1
1,1,101008017,3,2,2,4,2,2,,1
1,1,101008019,1,3,4,3,2,1,5,1
1,1,101008019,2,2,2,4,2,2,,1
1,1,101008019,3,2,2,4,2,2,,1
1,1,101008021,1,1,2,5,1,2,,1
1,1,101008022,1,1,1,5,2,1,2,2
1,1,101008022,2,3,1,3,2,1,2,2
1,1,101008029,1,1,1,3,2,2,,1
1,1,101008029,2,3,4,4,2,2,,2
1,1,101008035,1,1,4,3,2,1,11,2
1,1,101008035,2,1,1,5,2,2,,1
1,1,101008044,1,2,1,5,1,1,12,1
1,1,101008044,2,1,1,5,2,1,11,2
1,1,101008047,1,4,3,4,2,1,20,2
1,1,101008047,2,2,2,4,2,1,10,2
1,1,101008053,1,1,1,5,2,1,10,1
1,1,101008053,2,1,1,2,2,2,,4
1,1,101008053,3,4,4,5,2,2,,4
1,1,101008060,1,1,2,4,2,2,,2
1,1,101008067,1,4,4,3,2,1,4,1
1,1,101008067,3,4,2,3,2,1,10,1
1,1,101008067,4,3,2,4,2,2,,4
1,1,101008074,1,1,1,5,2,1,10,2
1,1,101008074,2,1,3,5,2,1,3,1
1,1,101008074,3,2,2,3,2,1,4,1
1,1,101008078,1,3,1,3,2,1,8,2
1,1,101008078,2,2,1,4,2,2,,2
1,1,101008078,4,3,4,3,2,1,10,3
1,1,101031001,1,2,2,3,2,2,,4
1,1,101031001,2,2,2,3,2,2,,4
1,1,101031001,3,2,2,3,2,2,,4
1,1,101031005,1,4,4,4,2,2,,2
1,1,101031005,2,4,4,4,2,2,,2
1,1,101031015,1,3,3,4,2,2,,1
1,1,101031017,1,3,3,4,2,2,,1
1,1,101031017,2,3,3,2,2,2,,1
1,1,101031017,3,3,3,3,2,2,,1
1,1,101031021,1,4,4,4,2,2,,2
1,1,101031021,2,4,4,4,2,2,,2
1,1,101031024,1,3,2,3,2,2,,4
1,1,101031024,2,3,2,3,2,2,,4
1,1,101031024,4,3,2,3,2,2,,4
1,1,101031030,1,1,2,5,2,1,12,1
1,1,101031030,5,2,3,5,2,1,12,1
1,1,101031038,1,4,4,4,2,2,,1
1,1,101031038,2,4,4,4,2,2,,1
1,1,101031047,1,4,1,4,2,2,,1
1,1,101031047,2,4,1,4,2,2,,1
1,1,101031069,1,2,4,4,2,1,5,1
1,1,101031069,2,2,4,4,2,1,8,1
1,1,101031070,1,4,4,4,2,1,5,1
1,1,101031070,2,4,4,4,2,1,7,2
1,1,101031073,1,4,4,4,2,1,30,2
1,1,101031073,2,4,4,4,2,1,30,2
1,1,101031073,4,4,4,4,2,2,,2
1,1,101031074,1,5,5,4,2,1,10,2
1,1,101031075,1,3,5,5,2,1,5,
1,1,101031075,2,3,5,5,2,1,5,
1,1,101031075,3,3,5,5,2,2,,
