"id1","id2","id3","id4","s10iii_0","s10iii_16","s10iii_17","s10iii_18","s10iii_19","s10iii_20","s10iii_21","s10iii_21i","hhno"
1,1,3,5,1,1,2,1,2,"2,3",2,,101003005
1,1,3,9,1,1,2,1,3,"3",2,,101003009
1,1,3,9,2,1,2,1,3,"3",2,,101003009
1,1,3,11,2,1,2,1,2,"3",2,,101003011
1,1,3,11,1,1,2,1,2,"3",2,,101003011
1,1,3,12,1,1,2,1,2,"1,3",2,,101003012
1,1,3,12,2,1,2,1,2,"3,7",2,,101003012
1,1,3,13,1,1,2,1,2,"3",2,,101003013
1,1,3,13,2,1,2,1,2,"3",2,,101003013
1,1,3,15,1,1,2,1,2,"3,7",2,,101003015
1,1,3,15,1,1,2,1,2,"1,3",2,,101003015
1,1,3,26,2,1,2,1,2,"3",2,,101003026
1,1,3,26,1,1,2,1,2,"3,7",2,,101003026
1,1,3,32,1,1,2,1,2,"3",2,,101003032
1,1,3,37,1,1,2,1,2,"3",2,,101003037
1,1,3,40,1,1,2,1,2,"3,7",2,,101003040
1,1,3,40,2,1,2,1,2,"3,7",2,,101003040
1,1,3,43,2,1,2,1,2,"3,7",2,,101003043
1,1,3,43,1,1,2,1,2,"3,6,7",2,,101003043
1,1,3,46,2,1,2,1,2,"3,7",2,,101003046
1,1,3,46,1,1,2,1,2,"3",2,,101003046
1,1,3,50,1,1,2,1,2,"3",2,,101003050
1,1,8,4,1,2,,2,,"3,8",2,,101008004
1,1,8,14,1,1,5,1,5,"3",2,,101008014
1,1,8,14,2,1,5,2,,"3",2,,101008014
1,1,8,17,1,2,,2,,"3",2,,101008017
1,1,8,17,3,2,,2,,"3",2,,101008017
1,1,8,17,2,2,,2,,"3,8",2,,101008017
1,1,8,19,5,2,,2,,,2,,101008019
1,1,8,19,2,2,,2,,,2,,101008019
1,1,8,19,4,2,,2,,,2,,101008019
1,1,8,19,1,2,,1,3,"3,8",2,,101008019
1,1,8,19,3,2,,2,,,2,,101008019
1,1,8,22,1,2,,2,,"3",2,,101008022
1,1,8,22,2,2,,2,,"3",2,,101008022
1,1,8,29,1,1,2,2,,"13",2,,101008029
1,1,8,29,2,1,2,2,,"13",2,,101008029
