"id1","id2","hhno","nr_sid","s2b_3","s2b_4","s2b_5","s2b_6","s2b_7","s2b_8","s2b_9","s2b_10","s2b_11","s2b_12","s2b_13","s2b_14","s2b_15","s2b_16","s2b_17","s2b_18","s2b_19","s2b_20"
1,1,101003004,1,1,1969,20,29,14,2,2007,4,3,,250,1,,1,,12,15,
1,1,101003005,1,1,1944,19,23,16,1,2006,6,310,,3,1,,1,,11,6,
1,1,101003050,1,1,1989,17,,16,2,2008,4,4,,30,1,,1,,12,6,
1,1,101008004,1,1,1976,25,31,14,3,888,5,150,,250,1,,1,,12,1,
1,1,101008021,1,1,1969,,35,18,12,888,6,52,,104,1,,3,1,12,15,
1,1,101008047,1,1,1962,32,32,16,3,2009,5,20,,4,1,,1,,13,23,
1,1,101008053,1,1,1959,,47,30,3,2009,5,48,,0,1,,1,,12,1,
1,2,101005001,1,1,,,39,16,9,2009,7,5,,90,1,,1,,,,7
1,2,101006002,1,1,,18,23,16,1,,4,12,,24,1,,1,,13,5,
1,2,101006036,1,1,1945,,,14,1,2000,9,1,,1,1,,1,,12,82,
1,2,101007011,1,1,1975,19,22,16,1,2009,6,4,2009,15,1,,1,,12,5,
1,2,101007025,1,1,,,,18,3,2008,8,0,,52,1,,1,,12,11,
1,2,101007028,1,1,1974,4,29,8,1,2009,4,2,,7,1,,1,,13,4,
1,2,101026010,1,1,1976,22,23,7,6,888,1,260,,25,1,,1,,13,2,
1,2,101026024,1,1,1974,18,33,7,2,2008,6,2,,0,1,,1,,13,17,
1,2,101028009,1,1,1983,14,25,8,3,888,6,310,,,1,,1,,11,2,
1,2,101028015,1,1,1962,15,43,61,1,2009,6,348,,,1,,1,,11,2,
1,2,101028031,2,1,1979,12,22,92,1,2008,9,1,,5,1,,1,,,,6
1,2,101028031,1,1,1978,14,17,92,1,2009,9,6,,,1,,1,,,,6
1,5,101004010,1,1,1944,,41,30,1,2004,6,1,,3,1,,1,,12,6,
1,5,101004017,1,1,1962,24,44,30,10,2009,5,5,,300,1,,1,,13,6,
1,6,101001003,1,1,1989,20,20,7,2,2007,5,3,,120,1,,1,,13,6,
1,6,101002002,1,1,1954,25,25,7,1,2006,6,2,,,1,,1,,11,6,
1,8,101013006,1,1,1972,26,36,3,1,2009,6,1,,0,1,,1,,12,1,
1,8,101013008,1,1,1950,,50,21,3,2010,6,52,,0,1,,1,,11,8,
1,8,101013032,1,1,1942,20,21,18,1,888,6,52,,0,1,,6,1,11,8,
1,8,101014118,1,1,1984,25,25,4,3,2009,19,1,2009,300,1,,1,,13,20,
1,8,101015034,1,1,1956,,35,18,1,2008,6,24,,,1,,1,,12,8,
1,8,101015188,1,1,1975,,33,18,3,888,4,50,,300,1,,1,,9,13,
