"id1","id2","id3","id4","animal_id","s3ai_1","s3ai_2i","s3ai_2ii","s3ai_3i","s3ai_3ii","s3ai_4","s3ai_5i","s3ai_5ii","s3ai_6i","s3ai_6ii","s3ai_7i","s3ai_7ii","s3ai_8i","s3ai_8ii","s3ai_9i","s3ai_9ii","s3ai_10i","s3ai_10ii","s3ai_11i","s3ai_11ii","s3ai_12i","s3ai_12ii","hhno"
1,6,1,2,7,5,2,,50,0,1,10,0,3,0,0,0,10,30,0,0,0,0,0,0,0,0,101001002
1,6,1,4,7,10,,,100,0,1,20,0,10,0,0,0,15,0,5,0,0,0,0,0,20,0,101001004
1,6,1,12,3,1,,,40,0,2,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,101001012
1,6,1,12,7,4,,,10,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,101001012
1,6,1,15,3,9,,,720,0,,20,0,15,0,0,0,20,0,20,0,10,0,0,0,100,0,101001015
1,6,1,15,7,30,,,90,0,,0,0,0,0,0,0,15,0,3,0,0,0,5,0,15,0,101001015
1,6,1,22,7,5,1,2,30,0,1,5,0,3,60,0,0,30,0,0,0,0,0,0,0,0,0,101001022
1,6,1,23,7,8,,,40,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,101001023
1,6,1,24,7,1,2,,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101001024
1,6,1,34,3,4,,,450,0,1,0,0,10,0,12,0,45,0,0,0,0,0,0,0,120,0,101001034
1,1,3,4,7,2,1,,1,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101003004
1,1,3,9,3,2,1,,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101003009
1,1,3,11,5,13,1,,480,0,1,360,0,0,0,60,0,0,0,0,0,0,0,0,0,80,0,101003011
1,1,3,12,7,10,1,,85,0,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101003012
1,1,3,26,5,3,1,,120,0,1,52,50,0,0,5,0,40,50,0,0,0,0,0,0,0,0,101003026
1,1,3,40,3,1,1,,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101003040
1,1,3,46,3,6,,,180,0,2,0,0,0,0,6,0,6,0,0,0,0,0,0,0,30,0,101003046
1,1,3,46,7,10,,,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,50,101003046
1,1,3,50,7,20,1,,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,101003050
1,1,3,50,5,35,1,,1000,0,1,50,0,0,0,70,0,100,0,0,0,0,0,0,0,500,0,101003050
1,5,4,2,5,5,1,,200,0,1,36,0,120,0,42,0,40,0,0,0,0,0,0,0,0,0,101004002
1,5,4,5,5,5,1,,500,0,1,120,0,60,0,60,0,20,0,0,0,0,0,0,0,0,0,101004005
1,5,4,6,7,18,1,2,50,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,101004006
1,5,4,10,7,20,1,2,40,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,101004010
1,5,4,14,7,12,1,,20,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,101004014
1,5,4,16,8,10,1,2,34,0,1,180,0,50,0,0,0,10,0,0,0,0,0,0,0,10,0,101004016
1,5,4,24,7,8,1,2,15,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,101004024
1,5,4,31,5,17,1,,420,0,1,570,0,0,0,64,0,128,0,15,0,0,0,0,0,0,0,101004031
1,5,4,32,5,2,1,,50,0,,28,0,0,0,22,0,10,0,0,0,0,0,0,0,0,0,101004032
1,2,5,13,4,5,1,2,150,0,2,0,0,10,80,0,0,5,0,0,0,0,0,0,0,0,0,101005013
1,2,5,13,7,10,1,2,30,0,2,0,0,5,70,0,0,10,0,0,0,0,0,0,0,0,0,101005013
1,2,5,40,7,4,,3,18,0,1,3,0,10,0,0,0,5,0,0,0,0,0,0,0,18,0,101005040
1,2,5,41,7,4,1,2,8,0,2,0,0,0,0,0,0,25,0,0,0,0,0,3,0,0,0,101005041
1,2,5,52,7,10,3,4,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,101005052
1,2,6,1,4,3,1,,40,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,101006001
1,2,6,1,7,30,1,,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101006001
1,2,6,15,5,10,3,,700,0,1,144,0,120,0,60,0,10,0,0,0,0,0,0,0,250,0,101006015
1,2,6,15,7,15,3,,150,0,1,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,101006015
1,2,6,23,5,7,1,,500,0,1,64,0,16,0,30,0,10,0,6,0,0,0,12,0,320,0,101006023
