"id1","id3","id4","s3aii_0","s3aii_a","s3aii_b1","s3aii_b2","s3aii_c1","s3aii_c2","hhno"
1,22,1,,,,,0,0,101022001
1,21,1,9,2,"1",,5,0,101021001
1,5,1,4,1,"1",,5,0,101005001
1,5,1,,,,,0,0,101005001
1,16,1,,,,,0,0,101016001
1,21,1,,,,,0,0,101021001
1,22,1,,,,,0,0,101022001
1,21,1,16,1,"1",,30,0,101021001
1,5,1,,,,,0,0,101005001
1,21,1,,,,,0,0,101021001
1,6,1,,,,,0,0,101006001
1,16,1,4,2,"1","2",4,0,101016001
1,5,1,,,,,0,0,101005001
1,22,1,,,,,0,0,101022001
1,22,1,,,,,0,0,101022001
1,16,1,,,,,0,0,101016001
1,21,1,,,,,0,0,101021001
1,22,1,,,,,0,0,101022001
1,5,1,,,,,0,0,101005001
1,6,1,,,,,0,0,101006001
1,4,1,7,2,"1",,6,0,101004001
1,4,1,,,,,0,0,101004001
1,6,1,,,,,0,0,101006001
1,5,1,,,,,0,0,101005001
1,16,1,,,,,0,0,101016001
1,22,1,,,,,0,0,101022001
1,4,1,,,,,0,0,101004001
1,4,1,,,,,0,0,101004001
1,21,1,,,,,0,0,101021001
1,6,1,,,,,0,0,101006001
1,22,1,,,,,0,0,101022001
1,16,1,,,,,0,0,101016001
1,21,1,14,2,"1",,14,0,101021001
1,16,1,,,,,0,0,101016001
1,4,1,4,10,"2",,15,0,101004001
1,21,1,,,,,0,0,101021001
1,4,1,8,1,"1",,10,0,101004001
1,5,1,,,,,0,0,101005001
1,4,1,,,,,0,0,101004001
1,22,1,,,,,0,0,101022001
1,21,1,,,,,0,0,101021001
1,4,1,,,,,0,0,101004001
1,4,1,,,,,0,0,101004001
1,6,1,,,,,0,0,101006001
1,16,1,,,,,0,0,101016001
1,22,1,,,,,0,0,101022001
1,6,1,,,,,0,0,101006001
1,16,1,14,3,"1","2",6,0,101016001
1,16,1,,,,,0,0,101016001
1,5,1,14,1,"1",,2,50,101005001
1,21,1,,,,,0,0,101021001
1,16,1,,,,,0,0,101016001
1,31,1,,,,,0,0,101031001
1,22,1,14,2,"1",,10,0,101022001
1,4,1,,,,,0,0,101004001
1,21,1,,,,,0,0,101021001
1,21,1,,,,,0,0,101021001
1,6,1,14,1,"1","2",7,0,101006001
1,22,1,,,,,0,0,101022001
1,5,1,,,,,0,0,101005001
1,6,1,,,,,0,0,101006001
1,7,1,,,,,0,0,101007001
1,16,1,,,,,0,0,101016001
1,16,1,,,,,0,0,101016001
1,16,1,,,,,0,0,101016001
1,6,1,,,,,0,0,101006001
1,21,1,,,,,0,0,101021001
1,6,1,,,,,0,0,101006001
1,4,1,6,1,"1",,3,0,101004001
1,5,1,,,,,0,0,101005001
1,6,1,,,,,0,0,101006001
1,4,1,14,2,"1",,7,0,101004001
1,16,1,,,,,0,0,101016001
1,5,1,,,,,0,0,101005001
1,5,1,,,,,0,0,101005001
1,21,1,,,,,0,0,101021001
1,6,1,,,,,0,0,101006001
1,5,1,,,,,0,0,101005001
1,22,1,,,,,0,0,101022001
1,4,1,,,,,0,0,101004001
1,4,1,,,,,0,0,101004001
1,6,1,,,,,0,0,101006001
1,21,1,7,1,"1",,7,0,101021001
1,21,1,,,,,0,0,101021001
1,5,1,,,,,0,0,101005001
1,22,1,,,,,0,0,101022001
1,6,1,,,,,0,0,101006001
1,22,1,,,,,0,0,101022001
1,6,2,,,,,0,0,101006002
1,1,2,14,1,"1",,5,0,101001002
1,25,2,,,,,0,0,101025002
1,6,2,,,,,0,0,101006002
1,29,2,,,,,0,0,101029002
1,1,2,,,,,0,0,101001002
1,2,2,9,2,"1",,5,0,101002002
1,6,2,,,,,0,0,101006002
1,29,2,,,,,0,0,101029002
1,2,2,,,,,0,0,101002002
1,18,2,,,,,0,0,101018002
1,1,2,,,,,0,0,101001002
1,18,2,,,,,0,0,101018002
1,6,2,,,,,0,0,101006002
1,4,2,4,1,"1",,1,50,101004002
1,17,2,,,,,0,0,101017002
1,29,2,8,1,"1",,4,0,101029002
1,6,2,14,1,"1",,7,0,101006002
1,17,2,,,,,0,0,101017002
1,25,2,,,,,0,0,101025002
1,25,2,,,,,0,0,101025002
1,2,2,,,,,0,0,101002002
1,4,2,,,,,0,0,101004002
1,18,2,,,,,0,0,101018002
1,4,2,,,,,0,0,101004002
1,17,2,5,1,"1",,6,0,101017002
1,6,2,,,,,0,0,101006002
1,18,2,5,2,"1",,8,0,101018002
1,2,2,,,,,0,0,101002002
1,2,2,,,,,0,0,101002002
1,6,2,,,,,0,0,101006002
1,2,2,,,,,0,0,101002002
1,2,2,,,,,0,0,101002002
1,18,2,9,1,"1",,30,0,101018002
1,17,2,,,,,0,0,101017002
1,1,2,,,,,0,0,101001002
1,18,2,7,3,"1",,5,0,101018002
1,18,2,,,,,0,0,101018002
1,25,2,,,,,0,0,101025002
1,2,2,,,,,0,0,101002002
1,18,2,6,3,"1",,12,0,101018002
1,1,2,,,,,0,0,101001002
1,2,2,14,1,"1",,4,50,101002002
1,6,2,,,,,0,0,101006002
1,6,2,4,1,"1",,3,0,101006002
1,17,2,9,1,"1",,5,0,101017002
1,17,2,,,,,0,0,101017002
1,25,2,4,3,"1",,7,50,101025002
1,17,2,,,,,0,0,101017002
1,17,2,,,,,0,0,101017002
1,25,2,,,,,0,0,101025002
1,18,2,8,2,"1",,5,0,101018002
1,4,2,7,1,"1",,5,0,101004002
1,29,2,5,1,"1",,6,0,101029002
1,4,2,6,1,"1",,4,50,101004002
1,25,2,,,,,0,0,101025002
1,29,2,,,,,0,0,101029002
1,18,2,14,6,"1",,20,0,101018002
1,20,2,,,,,0,0,101020002
1,29,2,,,,,0,0,101029002
1,6,2,,,,,0,0,101006002
1,1,2,,,,,0,0,101001002
1,29,2,,,,,0,0,101029002
1,29,2,,,,,0,0,101029002
1,29,2,,,,,0,0,101029002
1,4,2,,,,,0,0,101004002
1,25,2,7,3,"1",,16,30,101025002
1,6,2,,,,,0,0,101006002
1,25,2,14,2,"1",,6,80,101025002
1,1,2,,,,,0,0,101001002
1,2,2,,,,,0,0,101002002
1,25,2,,,,,0,0,101025002
1,17,2,14,4,"1",,20,0,101017002
1,17,2,,,,,0,0,101017002
1,17,2,,,,,0,0,101017002
1,4,2,,,,,0,0,101004002
1,4,2,,,,,0,0,101004002
1,2,2,,,,,0,0,101002002
1,25,2,,,,,0,0,101025002
1,17,2,,,,,0,0,101017002
1,25,2,9,5,"1",,12,50,101025002
1,2,2,4,1,"1",,1,0,101002002
1,1,2,,,,,0,0,101001002
1,6,2,,,,,0,0,101006002
1,18,2,,,,,0,0,101018002
1,17,2,,,,,0,0,101017002
1,6,2,,,,,0,0,101006002
1,4,2,,,,,0,0,101004002
1,4,2,,,,,0,0,101004002
1,4,2,,,,,0,0,101004002
1,6,2,,,,,0,0,101006002
1,29,2,,,,,0,0,101029002
1,29,2,,,,,0,0,101029002
1,29,2,14,3,"1",,15,0,101029002
1,1,2,4,1,"1",,3,0,101001002
1,18,2,,,,,0,0,101018002
1,18,2,,,,,0,0,101018002
1,4,2,14,1,"1",,4,50,101004002
1,18,2,,,,,0,0,101018002
1,4,2,,,,,0,0,101004002
1,2,2,6,1,"1",,5,0,101002002
1,1,2,,,,,0,0,101001002
1,1,2,,,,,0,0,101001002
1,29,2,,,,,0,0,101029002
1,1,2,,,,,0,0,101001002
1,2,2,,,,,0,0,101002002
1,1,2,,,,,0,0,101001002
1,1,2,,,,,0,0,101001002
1,29,2,,,,,0,0,101029002
1,4,2,,,,,0,0,101004002
1,25,2,8,2,"1",,10,0,101025002
1,17,2,,,,,0,0,101017002
1,25,2,,,,,0,0,101025002
1,19,3,,,,,0,0,101019003
1,19,3,4,1,"1",,5,0,101019003
1,19,3,,,,,0,0,101019003
1,19,3,,,,,0,0,101019003
1,25,3,8,1,"1",,6,0,101025003
1,5,3,4,3,"1","2",7,50,101005003
1,25,3,4,3,"1",,7,50,101025003
1,25,3,9,2,"1",,3,0,101025003
1,19,3,,,,,0,0,101019003
1,25,3,,,,,0,0,101025003
1,19,3,7,1,"1",,4,50,101019003
1,19,3,8,1,"1",,6,0,101019003
1,1,3,14,3,"1",,15,0,101001003
1,1,3,5,7,"1",,14,0,101001003
1,25,3,,,,,0,0,101025003
