"id1","id2","id3","id4","debt_no","s3bi_1i","s3bi_1ii","s3bi_2","s3bi_3","s3bi_4","s3bi_5ii","s3bi_5iii","s3bi_6_11","s3bi_6_12","s3bi_6_13","s3bi_6","s3bi_7","s3bi_7_1","s3bi_7_2","s3bi_8i","s3bi_8ii","s3bi_9a","s3bi_9bi","s3bi_9b2i","s3bi_9b2ii","s3bi_10","s3bi_11i","s3bi_11ii","s3bi_12i","s3bi_12ii","s3bi_13i","s3bi_13ii","hhno"
1,2,26,6,1,2009,6,1,1,11,,,9,,,"9","1",1,,25,0,1,100,,,888,,,0,0,50,0,101026006
1,10,21,11,1,2010,2,1,1,4,1,,7,,,"7","2",2,,120,0,1,200,,,1,18,70,0,0,224,0,101021011
1,8,15,188,1,2009,9,1,1,2,,,3,,,"3","8",8,,200,0,1,200,,,12,20,,100,0,140,0,101015188
1,12,29,39,1,2010,1,1,1,11,-8,,3,,,"3","1",1,,50,0,1,,5,0,888,,,0,0,55,0,101029039
1,2,7,26,1,2009,10,2,1,9,,,3,,,"3","1",1,,50,0,2,,,,888,,,0,0,50,0,101007026
1,2,7,82,1,2006,,1,2,11,,,3,,,"3","1",1,,500,0,1,,100,,888,,,0,0,600,0,101007082
1,6,2,37,1,2009,10,1,1,9,,,9,,,"9","1",1,,40,0,2,,,,888,,,10,0,30,0,101002037
1,2,5,19,1,2008,3,1,,11,-8,,3,,,"3","1",1,,50,0,2,,,,888,50,,45,0,5,0,101005019
1,10,27,31,1,2009,10,1,1,11,13,,6,,,"6","1",1,,80,0,2,,,,888,,,40,0,40,0,101027031
1,6,1,2,1,2007,6,1,1,11,-8,,3,8,,"3,8","1",1,,150,0,2,,,,888,,,0,0,150,0,101001002
1,12,30,38,1,2009,5,1,1,8,-8,,1,5,,"1,5","1",1,,1000,0,1,1000,,,888,,,1000,0,1000,0,101030038
1,17,22,5,1,2007,6,1,1,11,-8,,2,,,"2","1",1,,250,0,2,,,,888,,,150,0,100,0,101022005
1,10,20,16,1,2009,12,1,1,11,-8,,2,,,"2","1",1,,130,0,2,,,,888,,,0,0,130,0,101020016
1,2,25,51,1,2010,1,1,1,11,32,,4,,,"4","1",1,,600,0,2,,,,888,,,0,0,600,0,101025051
1,17,24,32,1,2009,11,1,1,11,26,,6,,,"6","1",1,,90,0,2,,,,888,,,0,0,90,0,101024032
1,12,29,20,1,2007,10,1,1,11,23,,7,,,"7","1",1,,100,0,2,,,,888,,,0,0,100,0,101029020
1,10,19,20,1,2009,1,1,1,11,-8,,7,,,"7","1",1,,300,0,2,,,,888,,,0,0,300,0,101019020
1,11,31,73,4,2009,10,2,1,11,-8,,7,,,"7","1",1,,200,0,2,,,,888,,,0,0,200,0,101031073
1,1,3,9,1,2009,6,1,1,11,-8,,3,,,"3","1",1,,800,0,2,,,,888,,,0,0,800,0,101003009
1,16,23,37,1,2005,11,1,1,11,-8,,6,9,,"6,9","1",1,,800,0,1,300,,,888,,,0,0,1040,0,101023037
