"id1","id2","id3","id4","s4avi2_plotno","s4avi_203i","s4avi_a203","s4avi_204","s4avi_205i","s4avi_205ii","s4avi_206i","s4avi_206ii","s4avi_207","s4avi_208i","s4avi_208ii","s4avi_209i","s4avi_209ii","s4avi_210i","s4avi_210ii","s4avi_210iii","s4avi_210iv","s4avi_211i","s4avi_211","s4avi_212","s4avi_213i","s4avi_213ii","s4avi_214i","s4avi_214ii","s4avi_215","s4avi_216i","s4avi_216ii","s4avi_217i","s4avi_217ii","s4avi_218i","s4avi_218ii","s4avi_218iii","s4avi_218iv","s4avi_219i","s4avi_219","s4avi_220","s4avi_221i","s4avi_221ii","s4avi_222i","s4avi_222ii","s4avi_223","s4avi_224i","s4avi_224ii","s4avi_225i","s4avi_225ii","s4avi_226i","s4avi_226ii","s4avi_226iii","s4avi_226iv","s4avi_227i","s4avi_227","s4avi_228","s4avi_229i","s4avi_229ii","s4avi_230i","s4avi_230ii","s4avi_231","s4avi_232i","s4avi_232ii","s4avi_233i","s4avi_233ii","s4avi_234i","s4avi_234ii","s4avi_234iii","s4avi_234iv","s4avi_235i","s4avi_235","s4avi_236","s4avi_237i","s4avi_237ii","s4avi_238i","s4avi_238ii","s4avi_239","s4avi_240i","s4avi_240ii","s4avi_241i","s4avi_241ii","s4avi_242i","s4avi_242ii","s4avi_242iii","s4avi_242iv","hhno"
1,1,8,22,1,15,1,2,2,17,10,,3,,,,,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008022
1,1,8,74,2,10,1,4,1,42,40,,3,,,,,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008074
1,1,8,74,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008074
1,1,8,74,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008074
1,2,25,2,1,1,1,4,10,15,150,,3,,,,,6,,,,15,1,2,10,19,150,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,2,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,3,1,18,1,4,1,19,20,,1,1,19,20,,6,,,,1,1,4,2,15,30,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025003
1,2,25,6,2,1,1,4,1,15,15,,3,,,,,6,,,,15,1,2,1,19,15,,3,,,,,6,,,,21,1,5,10,37,6,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,6,1,1,1,4,2,15,30,,3,,,,,6,,,,15,1,2,2,19,30,,3,,,,,6,,,,21,1,5,20,37,12,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,12,1,1,1,4,2,15,21,,3,,,,,6,,,,18,1,4,2,15,12,,3,,,,,6,,,,91,1,2,2,19,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025012
1,2,25,13,2,1,1,4,1.5,15,27,,3,,,,,6,,,,22,1,3,1.5,,15,,3,,,,,6,,,,15,1,2,6,19,90,,3,,,,,6,,,,51,1,5,10,37,10,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,13,1,1,1,4,1,15,18,,3,,,,,6,,,,22,1,3,1,15,10,,3,,,,,6,,,,15,1,2,3,19,45,,3,,,,,6,,,,51,1,5,5,37,5,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,33,2,78,1,2,1,19,45,,1,1,19,45,,6,,,,1,1,4,1,15,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025033
1,2,25,33,1,78,1,2,1,19,45,,1,1,19,45,,6,,,,1,1,4,1,15,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025033
1,2,25,37,1,1,1,4,1.5,15,22,50,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025037
1,2,25,37,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025037
1,2,25,43,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025043
1,2,25,43,1,1,1,4,2,15,30,,3,,,,,6,,,,55,1,3,2,15,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025043
1,2,25,44,1,18,1,4,1,18,40,,1,1,18,40,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025044
1,2,25,50,1,18,1,4,2,15,40,,1,2,15,40,,6,,,,1,1,4,2,15,30,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025050
1,2,25,51,1,1,1,4,3,15,75,,3,,,,,6,,,,18,1,2,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025051
1,2,25,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,54,1,1,,,5,15,75,,2,1,15,15,,6,,,,18,1,4,8,15,120,,2,2,15,30,,6,,,,38,1,4,2,15,68,,2,1,15,34,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,97,1,1,1,4,3,15,45,,3,,,,,6,,,,18,1,4,2,18,40,,1,2,18,40,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025097
1,2,25,100,1,21,1,5,50,37,50,,3,,,,,6,,,,18,1,2,2,15,60,,1,2,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025100
1,2,25,100,2,21,1,5,50,37,50,,3,,,,,6,,,,18,1,2,2,15,60,,1,2,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025100
1,2,25,101,1,1,1,4,1,15,20,,3,,,,,6,,,,18,1,2,1,18,40,,1,1,18,40,,6,,,,15,1,2,1,19,45,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025101
1,2,26,4,1,18,,4,2,15,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026004
1,2,26,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026008
1,2,26,8,2,1,1,4,2,15,50,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026008
1,2,26,17,1,1,1,4,1,15,15,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026017
1,2,26,19,1,18,1,4,1,15,15,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026019
1,2,26,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026023
1,2,26,23,2,1,1,4,1,15,15,,3,,,,,6,,,,18,1,4,5,15,50,,3,,,,,6,,,,19,1,2,1,15,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026023
1,2,26,26,1,1,1,,2,15,50,,1,2,15,50,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026026
1,2,26,40,2,19,1,2,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026040
1,2,26,40,1,19,1,2,3,15,45,,1,3,15,45,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026040
1,2,26,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,42,2,18,1,4,15,15,225,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,42,1,18,1,4,20,15,300,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026043
1,2,26,43,1,18,1,4,4,15,60,,3,,,,,6,,,,19,1,2,4,15,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026043
