"id1","id2","id3","id4","entno","s5d_33i","s5d_33ii","s5d_33iii","s5d_33iv","s5d_34i","s5d_34ii","s5d_34iii","s5d_34iv","s5d_35i","s5d_35ii","s5d_35iii","s5d_35iv","s5d_36i","s5d_36ii","s5d_36iii","s5d_36iv","s5d_37i","s5d_37ii","s5d_37iii","s5d_37iv","s5d_38i","s5d_38ii","headage","hhsize","urbrur","hhweight","hhno"
1,6,1,10,1,"GARI",489,3,,"SUGAR",1088,6,,,,,,,,,,,,,,,,70,2,2,363.271759033203,101001010
1,6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,70,1,1,277.858978271484,101002004
1,6,2,16,1,"SECONDHAND CLOTHES",289,850,,,,,,,,,,,,,,,,,,,,30,4,1,277.858978271484,101002016
1,6,2,21,1,,,,,,,,,,,,,,,,,,,,,,,32,1,1,277.858978271484,101002021
1,6,2,23,1,"BREAD",151,80,,,,,,,,,,,,,,,,,,,,30,5,1,277.858978271484,101002023
1,6,2,23,2,"ALCOHOLIC BEVERAGES",21,70,,"SOFT DRINKS",1043,30,,,,,,,,,,,,,,,,30,5,1,277.858978271484,101002023
1,6,2,24,1,,,,,,,,,,,,,,,,,,,,,,,62,2,1,277.858978271484,101002024
1,6,2,37,1,,,,,,,,,,,,,,,,,,,,,,,31,3,1,277.858978271484,101002037
1,6,2,41,1,,,,,,,,,,,,,,,,,,,,,,,36,5,1,277.858978271484,101002041
1,6,2,52,1,"PERFUME",825,200,,,,,,,,,,,,,,,,,,,,42,2,1,277.858978271484,101002052
1,1,3,5,1,"FISH",435,5,,,,,,,,,,,,,,,,,,,80,55,4,2,564.083618164063,101003005
1,1,3,9,2,"FISH",3411,5,,,,,,,,,,,,,,,,,,,,33,4,2,564.083618164063,101003009
1,1,3,9,1,"FISH NET",89471,250,,"BOAT(CANNOE)",79300,700,,,,,,,,,,,,,,,,33,4,2,564.083618164063,101003009
1,1,3,12,1,,,,,,,,,,,,,,,,,,,,,,,28,4,2,564.083618164063,101003012
1,1,3,13,1,"KEROSINE",1256,3,,,,,,,,,,,,,,,,,,,,45,2,2,564.083618164063,101003013
1,1,3,15,1,"BREAD",4840,5,,,,,,,,,,,,,,,,,,,,40,4,2,564.083618164063,101003015
1,1,3,20,1,,,,,,,,,,,,,,,,,,,,,,,80,1,2,564.083618164063,101003020
1,1,3,26,1,"FISH",435,5,,,,,,,,,,,,,,,,,,1,,58,4,2,564.083618164063,101003026
1,1,3,50,1,,,,,,,,,,,,,,,,,,,,,,,27,1,2,564.083618164063,101003050
1,5,4,1,1,"COCONUT OIL",298,,,,,,,,,,,,,,,,,,,,,55,6,2,490.768768310547,101004001
1,5,4,1,2,,,,,,,,,,,,,,,,,,,,,,,55,6,2,490.768768310547,101004001
1,5,4,5,2,,,,,,,,,,,,,,,,,,,,,,,36,2,2,490.768768310547,101004005
1,5,4,5,1,"COCONUT",298,,,,,,,,,,,,,,,,,,,,,36,2,2,490.768768310547,101004005
1,5,4,6,1,"SLIPPERS",1032,120,,"PLASTIC BUCKETS",853,40,,"SACHET WATER",1242,30,,,,,,,,,,,,51,8,2,490.768768310547,101004006
