"id1","id2","id3","id4","fuel_id","itemname","s11d_1","s11d_a","s11d_b","s11d_c","s11d_d","s11d_e","s11d_f","hhno"
1,6,1,2,6,"PETROL",,,,,,,,101001002
1,6,1,2,4,"CHARCOAL",,,,,,,,101001002
1,6,1,2,10,"RUBBISH/PLASTIC",,,,,,,,101001002
1,6,1,2,7,"DIESEL",,,,,,,,101001002
1,6,1,2,1,"ELECTRICITY",,,,,,,,101001002
1,6,1,2,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001002
1,6,1,2,5,"FIREWOOD",,,,,,,,101001002
1,6,1,2,3,"KEROSENE",12,5,,,,60,,101001002
1,6,1,2,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001002
1,6,1,2,8,"DUNG CAKE",,,,,,,,101001002
1,6,1,3,3,"KEROSENE",12,15,,,,180,,101001003
1,6,1,3,6,"PETROL",12,6,,,,72,,101001003
1,6,1,3,7,"DIESEL",,,,,,,,101001003
1,6,1,3,8,"DUNG CAKE",,,,,,,,101001003
1,6,1,3,4,"CHARCOAL",12,12,,,,144,,101001003
1,6,1,3,10,"RUBBISH/PLASTIC",,,,,,,,101001003
1,6,1,3,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001003
1,6,1,3,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001003
1,6,1,3,1,"ELECTRICITY",,,,,,,,101001003
1,6,1,3,5,"FIREWOOD",,,,,,,,101001003
1,6,1,4,1,"ELECTRICITY",,,,,,,,101001004
1,6,1,4,7,"DIESEL",,,,,,,,101001004
1,6,1,4,3,"KEROSENE",12,6,50,,,78,,101001004
1,6,1,4,4,"CHARCOAL",,,,,,,,101001004
1,6,1,4,10,"RUBBISH/PLASTIC",,,,,,,,101001004
1,6,1,4,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001004
1,6,1,4,8,"DUNG CAKE",,,,,,,,101001004
1,6,1,4,6,"PETROL",,,,,,,,101001004
1,6,1,4,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001004
1,6,1,4,5,"FIREWOOD",,,,,,,,101001004
1,6,1,9,5,"FIREWOOD",12,2,,,,24,,101001009
1,6,1,9,6,"PETROL",,,,,,,,101001009
1,6,1,9,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001009
1,6,1,9,10,"RUBBISH/PLASTIC",,,,,,,,101001009
1,6,1,9,1,"ELECTRICITY",,,,,,,,101001009
1,6,1,9,3,"KEROSENE",,,,,,,,101001009
1,6,1,9,8,"DUNG CAKE",,,,,,,,101001009
1,6,1,9,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001009
1,6,1,9,7,"DIESEL",,,,,,,,101001009
1,6,1,9,4,"CHARCOAL",,,,,,,,101001009
1,6,1,10,5,"FIREWOOD",,,,,,,,101001010
1,6,1,10,1,"ELECTRICITY",,,,,,,,101001010
1,6,1,10,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001010
1,6,1,10,4,"CHARCOAL",12,5,,,,60,,101001010
1,6,1,10,10,"RUBBISH/PLASTIC",,,,,,,,101001010
1,6,1,10,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001010
1,6,1,10,7,"DIESEL",,,,,,,,101001010
1,6,1,10,8,"DUNG CAKE",,,,,,,,101001010
1,6,1,10,3,"KEROSENE",12,5,,,,60,,101001010
1,6,1,10,6,"PETROL",,,,,,,,101001010
1,6,1,12,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001012
1,6,1,12,8,"DUNG CAKE",,,,,,,,101001012
1,6,1,12,7,"DIESEL",,,,,,,,101001012
1,6,1,12,6,"PETROL",,,,,,,,101001012
1,6,1,12,10,"RUBBISH/PLASTIC",,,,,,,,101001012
1,6,1,12,1,"ELECTRICITY",,,,,,,,101001012
1,6,1,12,5,"FIREWOOD",,,,,,,,101001012
1,6,1,12,3,"KEROSENE",12,5,,,,60,,101001012
1,6,1,12,4,"CHARCOAL",,,,,,,,101001012
1,6,1,12,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001012
1,6,1,13,6,"PETROL",,,,,,,,101001013
1,6,1,13,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001013
1,6,1,13,3,"KEROSENE",12,5,,,,60,,101001013
1,6,1,13,7,"DIESEL",,,,,,,,101001013
1,6,1,13,5,"FIREWOOD",,,,,,,,101001013
1,6,1,13,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001013
1,6,1,13,1,"ELECTRICITY",,,,,,,,101001013
1,6,1,13,10,"RUBBISH/PLASTIC",,,,,,,,101001013
1,6,1,13,4,"CHARCOAL",,,,,,,,101001013
1,6,1,13,8,"DUNG CAKE",,,,,,,,101001013
1,6,1,15,7,"DIESEL",,,,,,,,101001015
1,6,1,15,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001015
1,6,1,15,8,"DUNG CAKE",,,,,,,,101001015
1,6,1,15,1,"ELECTRICITY",,,,,,,,101001015
1,6,1,15,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001015
1,6,1,15,5,"FIREWOOD",12,2,0,3,0,60,,101001015
1,6,1,15,4,"CHARCOAL",12,5,,,,60,,101001015
1,6,1,15,6,"PETROL",,,,,,,,101001015
1,6,1,15,3,"KEROSENE",12,10,,,,120,,101001015
1,6,1,15,10,"RUBBISH/PLASTIC",,,,,,,,101001015
1,6,1,22,7,"DIESEL",,,,,,,,101001022
1,6,1,22,5,"FIREWOOD",,,,,,,,101001022
1,6,1,22,4,"CHARCOAL",,,,,,,,101001022
1,6,1,22,8,"DUNG CAKE",,,,,,,,101001022
1,6,1,22,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001022
1,6,1,22,3,"KEROSENE",12,5,0,,,60,0,101001022
1,6,1,22,10,"RUBBISH/PLASTIC",,,,,,,,101001022
1,6,1,22,6,"PETROL",,,,,,,,101001022
1,6,1,22,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001022
1,6,1,22,1,"ELECTRICITY",,,,,,,,101001022
1,6,1,23,3,"KEROSENE",,,,,,,,101001023
1,6,1,23,10,"RUBBISH/PLASTIC",,,,,,,,101001023
1,6,1,23,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001023
1,6,1,23,6,"PETROL",,,,,,,,101001023
1,6,1,23,4,"CHARCOAL",,,,,,,,101001023
1,6,1,23,8,"DUNG CAKE",,,,,,,,101001023
1,6,1,23,7,"DIESEL",,,,,,,,101001023
1,6,1,23,5,"FIREWOOD",12,6,,60,,,,101001023
1,6,1,23,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001023
1,6,1,23,1,"ELECTRICITY",,,,,,,,101001023
1,6,1,24,4,"CHARCOAL",,12,,5,,60,,101001024
1,6,1,24,7,"DIESEL",,,,,,,,101001024
1,6,1,24,8,"DUNG CAKE",,,,,,,,101001024
1,6,1,24,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001024
1,6,1,24,10,"RUBBISH/PLASTIC",,,,,,,,101001024
1,6,1,24,6,"PETROL",,,,,,,,101001024
1,6,1,24,5,"FIREWOOD",,,,,,,,101001024
1,6,1,24,3,"KEROSENE",,12,,5,,60,,101001024
1,6,1,24,1,"ELECTRICITY",,,,,,,,101001024
1,6,1,24,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001024
1,6,1,26,3,"KEROSENE",12,5,,,,60,,101001026
1,6,1,26,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001026
1,6,1,26,10,"RUBBISH/PLASTIC",,,,,,,,101001026
1,6,1,26,1,"ELECTRICITY",,,,,,,,101001026
1,6,1,26,8,"DUNG CAKE",,,,,,,,101001026
1,6,1,26,7,"DIESEL",,,,,,,,101001026
1,6,1,26,5,"FIREWOOD",,,,,,,,101001026
1,6,1,26,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001026
1,6,1,26,6,"PETROL",,,,,,,,101001026
1,6,1,26,4,"CHARCOAL",12,4,,,,48,,101001026
1,6,1,29,8,"DUNG CAKE",,,,,,,,101001029
1,6,1,29,10,"RUBBISH/PLASTIC",,,,,,,,101001029
1,6,1,29,4,"CHARCOAL",,,,,,,,101001029
1,6,1,29,3,"KEROSENE",,,,,,,,101001029
1,6,1,29,7,"DIESEL",12,5,30,,,63,6,101001029
1,6,1,29,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001029
1,6,1,29,6,"PETROL",,,,,,,,101001029
1,6,1,29,1,"ELECTRICITY",,,,,,,,101001029
1,6,1,29,5,"FIREWOOD",,,,,,,,101001029
1,6,1,29,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001029
1,6,1,34,10,"RUBBISH/PLASTIC",,,,,,,,101001034
1,6,1,34,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001034
1,6,1,34,1,"ELECTRICITY",,,,,,,,101001034
1,6,1,34,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001034
1,6,1,34,7,"DIESEL",,,,,,,,101001034
1,6,1,34,5,"FIREWOOD",,,,,,,,101001034
1,6,1,34,6,"PETROL",,,,,,,,101001034
1,6,1,34,4,"CHARCOAL",,,,,,,,101001034
1,6,1,34,8,"DUNG CAKE",,,,,,,,101001034
1,6,1,34,3,"KEROSENE",12,5,,,,60,,101001034
1,6,1,35,7,"DIESEL",,,,,,,,101001035
1,6,1,35,5,"FIREWOOD",,,,,,,,101001035
1,6,1,35,8,"DUNG CAKE",,,,,,,,101001035
1,6,1,35,4,"CHARCOAL",,,,,,,,101001035
1,6,1,35,3,"KEROSENE",12,5,,,,60,,101001035
1,6,1,35,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101001035
1,6,1,35,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101001035
1,6,1,35,1,"ELECTRICITY",,,,,,,,101001035
1,6,1,35,10,"RUBBISH/PLASTIC",,,,,,,,101001035
1,6,1,35,6,"PETROL",,,,,,,,101001035
1,6,2,2,4,"CHARCOAL",,,,,,,,101002002
1,6,2,2,8,"DUNG CAKE",,,,,,,,101002002
1,6,2,2,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002002
1,6,2,2,10,"RUBBISH/PLASTIC",,,,,,,,101002002
1,6,2,2,7,"DIESEL",,,,,,,,101002002
1,6,2,2,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002002
1,6,2,2,3,"KEROSENE",12,1,,,,12,,101002002
1,6,2,2,5,"FIREWOOD",12,2,,24,,20,,101002002
1,6,2,2,1,"ELECTRICITY",,,,,,,,101002002
1,6,2,2,6,"PETROL",,,,,,,,101002002
1,6,2,4,6,"PETROL",,,,,,,,101002004
1,6,2,4,7,"DIESEL",,,,,,,,101002004
1,6,2,4,10,"RUBBISH/PLASTIC",,,,,,,,101002004
1,6,2,4,3,"KEROSENE",12,1,50,,,18,,101002004
1,6,2,4,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002004
1,6,2,4,4,"CHARCOAL",12,2,,,,24,,101002004
1,6,2,4,5,"FIREWOOD",,,,,,,,101002004
1,6,2,4,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002004
1,6,2,4,8,"DUNG CAKE",,,,,,,,101002004
1,6,2,4,1,"ELECTRICITY",,,,,,,,101002004
1,6,2,16,4,"CHARCOAL",12,7,,,,24,,101002016
1,6,2,16,1,"ELECTRICITY",12,5,,,,20,,101002016
1,6,2,16,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002016
1,6,2,16,3,"KEROSENE",,,,,,,,101002016
1,6,2,16,7,"DIESEL",,,,,,,,101002016
1,6,2,16,6,"PETROL",,,,,,,,101002016
1,6,2,16,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002016
1,6,2,16,5,"FIREWOOD",,,,,,,,101002016
1,6,2,16,8,"DUNG CAKE",,,,,,,,101002016
1,6,2,16,10,"RUBBISH/PLASTIC",,,,,,,,101002016
1,6,2,19,5,"FIREWOOD",,,,,,,,101002019
1,6,2,19,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002019
1,6,2,19,10,"RUBBISH/PLASTIC",,,,,,,,101002019
