"id1","id3","id4","id2","s12a_1","s12a_2i","s12a_2ii","s12a_2iii","s12a_3","s12a_4i","s12a_4ii","s12a_4iii","s12a_5","s12a_6","s12a_7i","s12a_7ii","s12a_7iii","s12a_8i","s12a_8ii","s12a_8iii","s12a_9i","s12a_9ii","s12a_10ai","s12a_10aii","s12a_10bi","s12a_10bii","s12a_11","s12a_11ii","s12a_11iii","s12a_12i","s12a_12ii","s12a_13i","s12a_13ii","s12a_14","s12a_15","s12a_15i","s12a_16","s12a_17","s12a_18i","s12a_18ii","s12a_18iii","s12a_19i","s12a_19ii","s12a_20","s12a_21i","s12a_21ii","s12a_22","s12a_23i","s12a_23ii","s12a_23iii","s12a_24","s12a_25","s12a_26i","s12a_26ii","s12a_26iii","s12a_27","s12a_28","s12a_29i","s12a_29ii","s12a_29iii","s12a_30","s12a_31","s12a_32","s12a_33i","s12a_33ii","s12a_33iii","s12a_33iv","s12a_33v","s12a_33vi","s12a_35","s12a_36","hhno"
1,18,18,10,1,60,,6,2,,,,1,1,60,,6,,,,7,7,20,2,20,2,10,,,20,3,2,3,2,,,4,2,,,,2,,2,,,1,3,20,3,3,2,,,,,5,,5,1,6,4,3,2,1,1,1,2,2,1,8.64,101018018
7,258,16,8,2,,,,,,,,,,,,,,,6,10,10,5,2,5,2,7,,,7,2,20,3,2,,,6,2,,,,,,2,,,4,0,0,,2,2,,,,4,7,,,,6,4,3,2,1,2,2,2,2,2,20.69,107258016
7,243,48,112,1,2,,3,2,,,,3,,,,,0,,,8,7,30,2,100,2,8,,,1,1,1,3,2,,,2,2,,,,,,2,,,4,0,0,,3,2,,,,,3,,,,6,4,3,2,1,2,2,2,2,1,9.15,107243048
3,100,42,38,1,200,,6,2,,,,3,,,,,,,,1,1,,,,,,,,24,1,2,2,2,"8",,3,1,3,,3,,,2,,,1,12,0,3,4,2,,,,,1,,,,6,4,3,2,1,1,1,1,1,1,12.3,103100042
3,80,30,1,2,,,,,,,,,,,,,150,,6,8,2,0,0,0,0,,,,1,1,4,3,2,,,4,1,8,50,3,3,20,2,,,1,21,0,3,4,1,5,0,3,,1,,,,6,4,4,1,1,1,2,2,2,1,371.5,103080030
8,301,11,10,2,,,,,,,,,,,,,5,,5,5,5,40,3,40,3,5,,,1,1,3,2,2,,,4,2,,,,2,10,2,,,2,0,0,,2,2,,,,,3,,,,6,4,3,2,2,2,2,2,2,1,23.6,108301011
4,131,53,58,2,,,,,,,,,,,,,94,0,6,12,12,100,2,100,2,10,,,1,1,12,3,2,,,7,2,,,,0,0,2,,,1,6,0,3,3,3,,,,2,5,0,0,0,6,4,3,2,1,1,1,2,1,1,57.3,104131053
3,91,88,44,2,,,,,,,,,,,,,,,,1,1,,,,,,2,,5,2,9,3,2,,,4,1,8,,3,,,2,,,1,10,0,3,4,1,5,,3,,1,,,,6,4,3,1,1,2,1,2,2,1,68.7654,103091088
3,91,99,44,2,,,,,,,,,,,,,,,,1,1,,,,,,2,,5,2,15,3,2,,,4,1,6,,3,,,2,,,1,12,0,3,4,1,10,,3,,1,,,,6,4,4,2,1,2,1,1,2,2,30.873,103091099
3,91,113,44,2,,,,,,,,,,,,,,,,5,5,1,2,1,2,10,,,24,1,3,3,2,,,4,2,,,,3,,2,,,2,0,0,,3,4,,,,1,7,,,,6,4,5,2,1,2,2,2,2,2,4.41,103091113
7,250,4,127,2,,,,,,,,,,,,,,,,2,2,20,2,20,2,,2,,1,1,4,3,2,,,4,1,7,50,,,,2,,,1,12,50,3,3,2,,,,,1,,,,6,4,3,2,1,2,2,2,2,1,15.16,107250004
3,75,3,1,2,,,,,,,,,,,,,0,0,0,8,2,1,1,1,1,,2,,24,1,3,3,2,,,4,1,5,0,3,0,0,2,,,1,12,0,3,4,2,,,,,4,,,,6,4,3,1,1,1,1,1,2,1,18.9,103075003
3,67,67,1,1,5,,3,2,,,,3,,,,,,,,8,5,10,2,8,2,4,,,1,1,1,1,2,,,4,2,,,,1,80,2,,,1,15,0,3,1,1,,50,2,,5,,10,1,2,4,3,2,1,2,2,2,2,2,13,103067067
3,92,47,37,1,8,,3,2,,,,3,,,,,,,,5,5,700,2,700,2,15,,,1,1,7,3,2,,,4,2,,,,4,,2,,,1,8,0,,3,2,,,,3,5,,20,1,5,4,3,2,1,2,2,2,2,2,11.89,103092047
3,92,50,37,1,12,,3,2,,,,2,,,,,,,,5,5,250,2,250,2,15,,,1,1,2,3,2,,,4,2,,,,2,80,2,,,1,7,0,3,1,3,,,,,5,,10,1,2,7,3,2,1,2,1,2,1,2,22.362,103092050
6,217,26,1,1,3,,3,2,,,,3,,,,,,,,5,5,30,2,30,2,10,,,7,2,10,3,2,,,4,2,,,,7,20,2,,,1,2,60,3,3,2,,,,1,5,,65,1,6,4,3,1,1,1,1,2,1,1,15.68,106217026
3,93,3,43,2,,,,,,,,,,,,,10,,6,8,4,35,1,110,2,40,,,24,1,4,3,2,,,4,2,,,,5,6,2,,,1,3,5,3,3,4,,,,,2,,,,6,4,5,2,1,2,2,2,2,1,18.228,103093003
2,52,71,8,1,5,0,3,2,,,,3,,,,,,,,7,7,30,3,30,3,10,,,1,1,10,3,2,,,,2,,,,,,2,,,2,0,0,,3,2,,,,,5,5,,1,6,4,3,1,2,2,2,2,2,2,10.5,102052071
4,131,15,58,2,,,,,,,,,,,,,0,,,12,12,100,2,100,2,15,,,,1,12,3,1,"2",,7,2,,,,0,,2,,,1,2,50,3,2,3,,,,3,5,,,,6,4,3,2,1,2,2,2,2,1,26,104131015
8,305,26,10,2,,,,,,,,,,,,,,,,5,5,45,2,45,2,5,,,5,2,10,2,2,,,4,2,,,,5,,2,,,1,7,0,3,3,3,,,,3,2,,,,1,4,3,2,1,2,2,2,2,1,38.46,108305026
5,158,4,8,1,10,0,3,2,,,,3,,,,,0,0,0,2,10,0,0,0,0,2,,,2,1,3,3,2,,,4,2,,,,0,10,2,,,1,5,0,3,3,2,,,,,5,0,5,1,6,4,3,2,1,2,2,2,2,2,25.83,105158004
3,94,14,43,1,80,,3,2,,,,3,,,,,,,,2,2,,,,,,2,,4,2,7,3,2,,,4,1,8,,3,,,2,,,1,10,0,3,4,1,5,,3,,1,,,,6,4,5,2,1,1,1,2,2,2,29.93,103094014
3,94,38,43,2,,,,,,,,,,,,,,,,5,5,20,1,20,1,15,,,2,2,3,3,2,,,4,2,,,,,,2,,,4,0,0,,4,4,,,,,6,,,,2,4,3,2,1,2,2,2,2,2,2.8036,103094038
1,2,21,6,1,5,,3,2,,,,3,,,,,12,50,,8,6,100,2,100,2,8,,,4,2,2,3,2,,,4,1,2,50,,2,70,2,,,1,2,50,,3,2,,,,,5,,10,1,6,4,3,2,1,2,2,2,2,2,16.113,101002021
7,243,82,112,1,7,,3,2,,,,3,,,,,0,,,8,7,30,2,45,2,3,,,1,1,2,3,2,,,2,2,,,,0,40,2,,,1,7,50,3,3,2,,,,,3,,,,6,4,3,2,1,2,2,2,2,1,12.75,107243082
2,50,14,7,1,220,0,6,2,,,,1,6,220,0,6,0,0,,5,5,5,3,5,3,5,,,5,1,3,3,2,,,4,2,,,,4,20,2,,,1,4,0,,3,2,,,,3,5,,15,1,6,4,3,2,1,2,2,2,2,1,15.8,102050014
3,66,117,1,2,,,,,,,,,,,,,10,,6,5,5,1,1,1,1,2,,,24,1,6,3,2,,,4,2,,,,5,,2,,,1,10,0,3,3,2,,20,1,,5,,10,1,6,4,5,2,1,2,2,2,2,1,23.04,103066117
6,201,27,102,2,,,,,,,,,,,,,,,,7,7,10,2,10,2,5,,,1,1,5,3,2,"8",,7,2,,,,3,50,2,,,1,4,0,3,3,2,,,,,3,,,,6,4,3,2,1,2,2,2,2,1,16.2,106201027
5,136,5,70,2,,,,,,,,,,,,,,,,10,10,100,2,100,2,20,,,24,1,3,3,2,"6",,2,1,,,,2,10,2,,,2,0,0,,3,2,,,,,6,,,,1,4,3,2,1,2,2,2,2,2,6.916,105136005
7,256,28,119,2,,,,,,,,,,,,,,,,7,9,30,2,30,2,20,,,2,1,5,3,2,,,2,2,,,,,,2,,,1,2,0,3,2,2,,,,2,5,,,,6,4,3,2,1,2,2,2,2,2,12.92,107256028
3,78,60,1,2,,,,,,,,,,,,,,,,8,4,1,1,1,1,2,,,2,2,1,2,2,,,2,2,,,,2,50,2,,,1,5,0,3,3,2,,,,,7,,,,6,4,5,2,1,2,2,2,1,1,15.12,103078060
2,50,25,7,1,5,0,3,2,,,,3,,,,,0,0,,7,7,7,2,7,2,5,,,7,1,4,3,2,,,4,2,,,,2,80,2,,,1,17,0,3,3,2,,,,,5,,20,1,6,4,3,2,1,2,2,2,2,1,11.9,102050025
3,91,20,44,2,,,,,,,,,,,,,,,,6,6,10,2,10,2,5,,,24,1,2,3,2,"8",,6,2,,,,3,20,2,,,1,6,0,,4,3,,,,,3,,,,6,4,3,2,1,2,2,2,2,2,156,103091020
7,271,23,126,2,,,,,,,,,,,,,0,,0,7,7,50,2,50,2,5,,,2,1,7,3,2,"10",,3,2,,,,,50,2,,,4,0,0,,2,2,,,,,5,0,,0,6,4,1,2,1,2,2,2,2,2,28.18,107271023
6,212,35,102,2,,,,,,,,,,,,,,,,2,2,,,,,,2,,1,1,5,3,2,,,1,1,12,,3,,,2,,,1,30,0,3,4,1,5,,3,,1,,,,6,4,3,1,1,2,2,2,2,2,49.32,106212035
4,103,39,3,2,,,,,,,,,,,,,,,,7,7,200,2,200,2,5,,,2,1,2,3,2,,,4,1,,5,1,,,2,,,2,0,0,,3,2,,,,,5,,5,1,1,4,3,2,2,2,2,2,2,2,11.11,104103039
1,12,17,13,1,60,,3,2,,,,1,1,30,,3,,,,2,2,,,,,,2,,1,1,6,2,2,,,4,1,3,,3,,,2,,,1,16,0,3,4,1,3,,3,1,1,,,,6,4,3,2,1,2,2,1,1,1,57.12,101012017
3,97,4,43,2,,,,,,,,,,,,,,,,8,1,40,1,,,10,,,20,1,6,3,2,,,4,1,3,,3,,,2,,,1,5,0,3,4,1,5,,3,,1,,,,6,4,3,2,1,2,2,2,2,1,7.3308,103097004
