"id1","id2","id3","id4","s1fi_hhmid","s1fii_39","s1fii_40","s1fii_41","s1fii_42","s1fii_43","s1fii_44","s1fii_45","s1fii_46","s1fii_47","s1fii_48","s1fii_49","s1fii_50","s1fii_51","s1fii_52","hhno"
1,1,3,4,1,2,,,,2,,,,,1,1,2,,,101003004
1,1,3,5,2,,,,,,,,,,,,,,,101003005
1,1,3,5,3,,,,,,,,,,,,,,,101003005
1,1,3,5,1,2,,,,2,,,,,2,,2,,,101003005
1,1,3,5,4,,,,,,,,,,,,,,,101003005
1,1,3,9,1,,,,,,,,,,2,,2,,,101003009
1,1,3,9,4,,,,,,,,,,,,,,,101003009
1,1,3,9,3,,,,,,,,,,2,,2,,,101003009
1,1,3,9,2,,,,,,,,,,2,,2,,,101003009
1,1,3,11,4,,,,,,,,,,,,,,,101003011
1,1,3,11,7,,,,,,,,,,,,,,,101003011
1,1,3,11,6,,,,,,,,,,,,,,,101003011
1,1,3,11,2,,,,,,,,,,,,,,,101003011
1,1,3,11,1,2,,,,2,,,,,2,,2,,,101003011
1,1,3,11,5,,,,,,,,,,,,,,,101003011
1,1,3,11,3,2,,,,2,,,,,1,1,2,,,101003011
1,1,3,12,3,,,,,,,,,,,,,,,101003012
1,1,3,12,2,2,,,,2,,,,,2,,2,,,101003012
1,1,3,12,1,2,,,,2,,,,,1,2,2,,,101003012
1,1,3,12,4,,,,,,,,,,,,,,,101003012
1,1,3,13,1,,,,,,,,,,,,,,,101003013
1,1,3,13,2,2,,,,2,,,,,2,,2,,,101003013
1,1,3,15,4,2,,,,2,,,,,2,,2,,,101003015
1,1,3,15,2,,,,,,,,,,,,,,,101003015
1,1,3,15,1,2,,,,2,,,,,2,,2,,,101003015
1,1,3,15,3,2,,,,2,,,,,2,,2,,,101003015
1,1,3,20,1,,,,,,,,,,,,,,,101003020
1,1,3,26,1,2,,,,2,,,,,2,,2,,,101003026
1,1,3,26,3,2,,,,2,,,,,1,5,2,,"2",101003026
1,1,3,26,2,2,,,,2,,,,,2,,2,,,101003026
1,1,3,26,4,2,,,,2,,,,,1,3,2,,"2",101003026
1,1,3,32,1,2,,,,2,,,,,2,,2,,,101003032
1,1,3,37,1,2,,,,2,,,,,2,,2,,,101003037
1,1,3,40,2,2,,,,2,,,,,1,1,2,,,101003040
1,1,3,40,1,2,,,,2,,,,,2,,2,,,101003040
1,1,3,43,3,,,,,,,,,,,,,,,101003043
1,1,3,43,1,2,,,,2,,,,,2,,2,,,101003043
1,1,3,43,5,,,,,,,,,,,,,,,101003043
1,1,3,43,4,,,,,,,,,,,,,,,101003043
1,1,3,43,2,2,,,,2,,,,,2,,2,,,101003043
