"id1","id2","id3","id4","s4aiv_plotno","s4aiv_a41","s4aiv_a42","s4aiv_a43","s4aiv_a44","s4aiv_a45","s4aiv_a46","s4aiv_a47i","s4aiv_a47ii","s4aiv_a48i","s4aiv_a48ii","s4aiv_a49i","s4aiv_a49ii","s4aiv_a50","s4aiv_a51i","s4aiv_a51ii","s4aiv_a52i","s4aiv_a52ii","s4aiv_a53i","s4aiv_a53ii","s4aiv_a54i","s4aiv_a54ii","s4aiv_a55i","s4aiv_a55ii","s4aiv_a56","s4aiv_a57i","s4aiv_a57ii","s4aiv_a58","s4aiv_a59","s4aiv_a60","s4aiv_a61","s4aiv_a62","s4aiv_a63","s4aiv_a64ii","s4aiv_a65","s4aiv_a66i","s4aiv_a66ii","s4aiv_a67","s4aiv_a68","s4aiv_a69","s4aiv_a70","s4aiv_a71","s4aiv_a72","s4aiv_a73ii","s4aiv_a74i","s4aiv_a74ii","s4aiv_a75i","s4aiv_a75ii","s4aiv_a76","s4aiv_a77","hhno"
1,1,3,5,1,2,,,,2,,,,,,,,1,100,,,,,,,,,,,,,,,1,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101003005
1,1,3,40,1,1,1,"3",1,2,,,,,,,,1,4000,,,,,,,,,,,,,,,1,"12",1,2,-8,2,,,,,,,,,,,,,,,1,101003040
1,1,3,43,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,2,,,,,,,,,,,,,,,1,101003043
1,1,3,46,1,2,,,,2,,,,,,,,4,100,,,,,,,,,,,,,,,1,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101003046
1,1,8,4,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,2,101008004
1,1,8,14,1,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,1,1,"11",1,2,-8,2,,,,,,,,,,,,,,,2,101008014
1,1,8,14,2,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,1,1,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101008014
1,1,8,17,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,"9",1,2,-8,2,,,,,,,,,,,,,,,2,101008017
1,1,8,17,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,"9",1,2,-8,2,,,,,,,,,,,,,,,1,101008017
1,1,8,17,3,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,"8",1,2,14,2,,,,,,,,,,,,,,,1,101008017
1,1,8,19,1,2,,,,2,,,,,,,,3,1800,,,,,,,,,,,,,,,11,"14",1,2,-8,2,,,,,,,,,,,,,,,2,101008019
1,1,8,21,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,8,2,"8",2,2,-8,2,,,,,,,,,,,,,,,1,101008021
1,1,8,22,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,2,"8",2,2,-8,2,,,,,,,,,,,,,,,1,101008022
1,1,8,29,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,2,86,2,,,,,,,,,,,,,,,1,101008029
1,1,8,29,1,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,1,"1",1,2,-8,2,,,,,,,,,,,,,,,2,101008029
1,1,8,35,1,1,1,"1",2,4,,,,,,,,,,,,,,,,,,,2,,,4,1,4,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101008035
