"id1","id2","id3","id4","s4aix2_plotno","s4aix_299i","s4aix_299ii","s4aix_299iii","s4aix_300i","s4aix_300ii","s4aix_300iii","s4aix_301i","s4aix_301ii","s4aix_301iii","s4aix_302i","s4aix_302ii","s4aix_302iii","s4aix_303i","s4aix_303ii","s4aix_303iii","s4aix_304i","s4aix_304ii","s4aix_304iii","s4aix_305i","s4aix_305ii","s4aix_305iii","s4aix_306i","s4aix_306ii","s4aix_306iii","s4aix_307i","s4aix_307ii","s4aix_307iii","hhno"
1,1,3,5,1,5,5,1,,,,,,,,,,,,,,,,,,,10,5,1,4,5,2,101003005
1,1,3,40,1,,,,,,,,,,,,,,,,,,,14,5,2,10,5,1,,,,101003040
1,1,3,43,1,,,,,,,,,,,,,,,,,,,10,6,1,10,6,1,,,,101003043
1,1,3,46,1,,,,,,,,,,,,,,,,,,,7,5,1,5,5,1,2,2,3,101003046
1,1,8,4,1,,,,,,,,,,,,,,,,,,,,,,48,6,1,,,,101008004
1,1,8,14,2,,,,,,,,,,,,,,,,,,,55,9,1,40,9,1,15,9,3,101008014
1,1,8,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008014
1,1,8,17,3,21,5,5,,,,,,,,,,,,,,,,26,7,1,35,7,1,,,,101008017
1,1,8,17,1,7,7,3,,,,,,,,,,,,,,,,15,6,1,20,6,1,,,,101008017
1,1,8,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008017
1,1,8,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008019
1,1,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008021
1,1,8,22,1,,,,,,,,,,,,,,,,,,,40,8,1,52,8,1,,,,101008022
1,1,8,29,2,,,,,,,,,,,,,,,,,,,50,5,1,,,,,,,101008029
1,1,8,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008029
1,1,8,35,2,,,,,,,,,,,,,,,,,,,22,2,1,,,,,,,101008035
1,1,8,35,6,,,,,,,,,,,,,,,,,,,33,3,1,,,,,,,101008035
1,1,8,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008035
1,1,8,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008035
1,1,8,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008035
1,1,8,35,1,,,,,,,,,,,,,,,,,,,19,2,1,,,,,,,101008035
1,1,8,44,2,3,8,1,,,,,,,,,,,,,,,,30,6,1,45,6,1,4,6,5,101008044
1,1,8,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008044
1,1,8,47,1,,,,,,,,,,,,,,,,,,,,,,35,6,1,,,,101008047
1,1,8,47,2,,,,,,,,,,,,,,,,,,,,,,30,6,1,,,,101008047
1,1,8,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008053
1,1,8,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008053
1,1,8,67,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008067
1,1,8,67,1,,,,,,,,,,,,,,,,,,,20,7,1,55,7,1,15,7,4,101008067
1,1,8,74,2,,,,,,,,,,,,,,,,,,,,,,18,5,2,,,,101008074
1,1,8,74,1,3,6,1,,,,,,,,,,,,,,,,,,,35,6,2,,,,101008074
1,1,8,74,3,,,,,,,,,,,,,,,,,,,,,,22,6,2,,,,101008074
1,1,8,78,1,,,,,,,,,,,,,,,,,,,,,,15,8,2,,,,101008078
1,1,8,78,2,,,,,,,,,,,,,,,,,,,,,,30,8,2,,,,101008078
1,1,8,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008078
1,2,5,13,1,,,,,,,,,,,,,,,,,,,4,4,2,4,3,2,1,4,1,101005013
1,2,5,13,2,,,,,,,,,,,,,,,,,,,5,4,2,4,3,2,1,4,1,101005013
1,2,5,33,3,,,,,,,,,,,,,,,,,,,,,,5,6,2,1,4,2,101005033
1,2,5,33,1,,,,,,,,,,,,,,,,,,,,,,5,6,2,1,4,2,101005033
1,2,5,33,2,,,,,,,,,,,,,,,,,,,,,,5,4,1,1,4,2,101005033
1,2,5,36,3,,,,,,,,,,,,,,,,,,,4,3,1,4,3,1,,,,101005036
