"id1","id2","id3","id4","entno","s5aii_30","s5aii_30ai","s5aii_30aii","s5aii_30bi","s5aii_30bii","s5aii_30ci","s5aii_30cii","s5aii_30di","s5aii_30dii","s5aii_30ei","s5aii_30eii","s5aii_30f","s5aii_31","s5aii_31ai","s5aii_31aii","s5aii_31bi","s5aii_31bii","s5aii_31ci","s5aii_31cii","s5aii_31di","s5aii_31dii","s5aii_31ei","s5aii_31eii","s5aii_31f","s5aii_32","s5aii_32ai","s5aii_32aii","s5aii_32bi","s5aii_32bii","s5aii_32ci","s5aii_32cii","s5aii_32di","s5aii_32dii","s5aii_32ei","s5aii_32eii","s5aii_32f","s5aii_33","s5aii_331","s5aii_331ai","s5aii_331aii","s5aii_331bi","s5aii_331bii","s5aii_331ci","s5aii_331cii","s5aii_331di","s5aii_331dii","s5aii_331ei","s5aii_331eii","s5aii_331f","s5aii_332","s5aii_332ai","s5aii_332aii","s5aii_332bi","s5aii_332bii","s5aii_332ci","s5aii_332cii","s5aii_332di","s5aii_332dii","s5aii_332ei","s5aii_332eii","s5aii_332f","s5aii_333","s5aii_333ai","s5aii_333aii","s5aii_333bi","s5aii_333bii","s5aii_333ci","s5aii_333cii","s5aii_333di","s5aii_333dii","s5aii_333ei","s5aii_333eii","s5aii_333f","hhno"
1,6,1,10,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001010
1,6,2,4,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"27",2,,,,,,,,,,100,"37",1,,,,,,,,,,100,,,,,,,,,,,,,101002004
1,6,2,16,1,1,10000,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101002016
1,6,2,21,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,80,,,,,,,,,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101002021
1,6,2,23,2,1,120,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"22",250,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101002023
1,6,2,23,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"9",2,50,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101002023
1,6,2,24,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,100,,,,,,,,,,"70",1,"3",150,,,,,,,,,,70,"9",50,,,,,,,,,,100,,,,,,,,,,,,,101002024
1,6,2,37,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"6",150,,50,,,,,,,,100,"9",15,,15,,,,,,,,100,,,,,,,,,,,,,101002037
1,6,2,41,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,50,,,,,,,,,,"100",1,"5",1,,,,,,,,,,100,"9",5,,7,50,,,,,,,100,,,,,,,,,,,,,101002041
1,6,2,52,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101002052
1,1,3,5,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003005
1,1,3,9,2,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003009
1,1,3,9,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"CANOE(BOAT)",700,,,,50,,,,,,100,"FISHING NET",250,,,,150,,,,,,100,,,,,,,,,,,,,101003009
1,1,3,12,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003012
1,1,3,13,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003013
1,1,3,15,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003015
1,1,3,20,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003020
1,1,3,26,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003026
1,1,3,50,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,200,,250,,100,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003050
1,5,4,1,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004001
1,5,4,1,2,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"POTS",200,,,,,,,,,,100,"BARRELS",200,,,,,,,,,,100,,,,,,,,,,,,,101004001
1,5,4,5,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004005
1,5,4,5,2,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"METAL CANS",15,,,,,,,,,,100,"METAL MESH",20,,,,,,,,,,100,,,,,,,,,,,,,101004005
1,5,4,6,1,1,100,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"TABLES",12,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101004006
1,5,4,10,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"COOKING POTS",80,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,12,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"BOWLS",5,,5,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101004012
1,5,4,14,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"POUNCH",7,5,,,,,,,,,100,"TESTER",5,,,,,,,,,,100,"HAMMER",5,,,,,,,,,,100,101004014
1,5,4,14,2,1,72,,,,,,,,,,"50",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"EARTHEN OVEN",120,,,,,,,,,,50,"WIRE MESH",215,,,,,,,,,,50,,,,,,,,,,,,,101004014
