"id1","id2","id3","id4","hhmid","s7a_1","s7a_2","s7a_3","s7a_4","s7a_5i","s7a_5ii","s7a_6","s7a_7","s7a_8","s7a_9","s7a_10","s7a_11","s7a_12","s7a_13","s7a_14","s7a_15","s7a_16","s7a_17","s7a_18ii","s7a_18iii","s7a_18di","s7a_18dii","s7a_19ii","s7a_19iii","s7a_19di","s7a_19dii","s7a_20ii","s7a_20iii","s7a_20di","s7a_20dii","s7a_21ii","s7a_21iii","s7a_21di","s7a_21dii","s7a_22ii","s7a_22iii","s7a_22di","s7a_22dii","s7a_23","s7a_24","s7a_25","s7a_26","s7a_27","s7a_28","s7a_29","s7a_30","s7a_31","s7a_32","s7a_33","s7a_34i","s7a_34ii","s7a_35","s7a_36i","s7a_36ii","s7a_37","s7a_38","s7a_39","hhno"
1,6,1,2,2,15,87,2,18,3,2,1,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,1,1,24,3,4,2,12,,,,8,1,3,88,101001002
1,6,1,2,3,15,87,2,20,0,0,2,1,1,2,1,3,1,0,1,2,,1,,2,3,,,1,40,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,37,,3,12,6,101001002
1,6,1,9,2,15,87,2,16,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001009
1,6,1,10,2,15,87,2,17,0,0,2,1,1,1,3,4,1,3,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,20,,24,8,12,101001010
1,6,1,12,1,12,87,2,12,0,0,2,1,1,2,3,5,2,3,5,1,2,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,6,,12,18,24,101001012
1,6,1,13,2,15,87,2,21,0,0,2,1,1,2,1,3,2,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,32,,12,18,12,101001013
1,6,1,15,1,14,87,2,15,0,0,2,1,1,5,3,8,5,2,7,1,1,1,,1,,1,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,6,,12,12,24,101001015
1,6,1,15,2,15,87,2,20,0,0,2,1,1,4,2,6,2,1,3,1,1,1,,1,,6,,1,,5,,,,1,,,,,,,,,2,2,2,,,,,,,,,,,,35,,12,24,24,101001015
1,6,1,15,3,14,87,2,87,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001015
1,6,1,22,2,15,87,2,18,0,0,2,1,1,2,2,4,1,1,2,2,,1,,1,27,,,2,1,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,18,,6,24,18,101001022
1,6,1,23,1,17,87,2,18,0,0,2,1,1,4,3,7,3,3,6,2,,1,,2,,4,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,12,,12,10,18,101001023
1,6,1,24,2,17,87,2,15,2,1,1,1,1,2,3,5,2,1,3,1,2,1,,1,,,,1,,9,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,9,12,6,9,101001024
1,6,1,26,2,15,87,1,17,1,1,1,1,1,0,2,2,0,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,8,3,1,5,2,,,,7,87,87,88,101001026
1,6,1,29,2,18,87,1,17,1,1,1,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,12,3,4,8,5,,,,3,87,87,88,101001029
1,6,1,34,2,17,87,2,16,1,0,1,1,1,3,1,4,3,1,4,1,1,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,5,,13,8,24,101001034
1,6,1,34,3,15,87,2,20,0,0,2,1,1,4,2,6,4,2,6,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,19,,12,60,24,101001034
