"id1","id2","id3","id4","hd","hhmid","s7b_1","s7b_2i","s7b_2ii","s7b_3","s7b_4","s7b_5","s7b_6","s7b_7","s7b_8","s7b_9","s7b_10","s7b_11","s7b_12","s7b_13","s7b_14","s7b_15","s7b_16","s7b_17","s7b_18","s7b_19","s7b_20","s7b_21","s7b_22","s7b_23","hhno"
1,6,1,2,"001002",2,1,30,,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,5,5,5,101001002
1,6,1,2,"001002",3,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101001002
1,6,1,9,"001009",2,1,60,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101001009
1,6,1,10,"001010",2,1,60,,2,2,2,2,2,1,2,2,2,2,1,2,1,,,,,,,,,101001010
1,6,1,12,"001012",1,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101001012
1,6,1,13,"001013",2,1,50,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101001013
1,6,1,15,"001015",1,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101001015
1,6,1,15,"001015",2,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101001015
1,6,1,15,"001015",3,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101001015
1,6,1,22,"001022",2,,,,2,2,2,2,1,1,2,2,2,1,2,1,2,,,,,,,,,101001022
1,6,1,23,"001023",1,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,5,5,5,101001023
1,6,1,24,"001024",2,1,30,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101001024
1,6,1,26,"001026",2,1,45,,2,2,2,2,2,,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101001026
1,6,1,29,"001029",2,1,70,,2,2,2,2,2,1,1,2,2,1,2,1,1,,,,,,,,,101001029
1,6,1,34,"001034",2,1,90,,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,101001034
1,6,1,34,"001034",3,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,101001034
1,6,1,34,"001034",8,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,101001034
1,6,1,35,"001035",2,1,60,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101001035
1,6,1,35,"001035",4,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101001035
1,6,2,16,"002016",2,1,150,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101002016
1,6,2,19,"002019",1,,,,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,5,5,5,101002019
1,6,2,23,"002023",2,1,160,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,5,5,5,101002023
1,6,2,24,"002024",2,2,,,2,2,2,2,2,1,2,2,1,1,,2,1,2,2,2,2,1,5,5,5,101002024
1,6,2,25,"002025",2,2,,,2,2,2,2,2,1,2,2,,1,2,2,1,2,2,2,2,1,5,5,5,101002025
1,6,2,28,"002028",2,1,20,,2,2,2,2,2,1,2,,2,1,2,2,1,2,2,1,2,1,5,5,5,101002028
1,6,2,28,"002028",3,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101002028
1,6,2,28,"002028",4,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101002028
1,6,2,29,"002029",1,,,,2,2,1,,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101002029
1,6,2,29,"002029",2,,,,2,2,1,,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101002029
1,6,2,37,"002037",1,,,,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,3,5,5,5,101002037
1,6,2,41,"002041",2,1,120,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101002041
1,6,2,43,"002043",1,,,,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,5,5,5,101002043
1,6,2,50,"002050",1,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,5,5,5,101002050
1,6,2,52,"002052",2,1,40,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101002052
1,1,3,5,"003005",1,1,30,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,5,5,5,101003005
1,1,3,5,"003005",2,2,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101003005
1,1,3,9,"003009",2,1,15,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,5,5,5,101003009
1,1,3,11,"003011",2,1,120,,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,5,5,5,101003011
1,1,3,12,"003012",2,1,45,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,5,5,5,101003012
1,1,3,13,"003013",1,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101003013
1,1,3,13,"003013",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101003013
1,1,3,20,"003020",1,,,,2,2,2,2,2,2,2,2,1,1,2,2,2,,,,,,,,,101003020
1,1,3,26,"003026",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101003026
1,1,3,40,"003040",2,1,30,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,5,5,5,101003040
1,1,3,43,"003043",2,1,80,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,5,5,5,101003043
1,1,3,46,"003046",2,1,15,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101003046
1,1,3,46,"003046",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101003046
1,5,4,1,"004001",2,1,80,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101004001
1,5,4,1,"004001",3,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004001
1,5,4,5,"004005",1,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,101004005
1,5,4,6,"004006",2,1,120,,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,5,5,5,101004006
1,5,4,6,"004006",3,,,,2,2,2,2,2,1,2,2,1,2,2,2,2,,,,,,,,,101004006
1,5,4,6,"004006",6,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004006
1,5,4,10,"004010",1,1,20,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101004010
1,5,4,10,"004010",2,,,,2,2,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,,101004010
1,5,4,10,"004010",3,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004010
1,5,4,10,"004010",4,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004010
1,5,4,10,"004010",7,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,,,,,,,,,101004010
1,5,4,10,"004010",8,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101004010
1,5,4,12,"004012",1,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004012
1,5,4,12,"004012",2,,,,2,2,2,2,2,1,2,2,1,2,2,2,2,,,,,,,,,101004012
1,5,4,14,"004014",2,1,100,,1,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,5,5,5,101004014
