"id1","id2","id3","id4","s9b1_ii","s9b1_iii","s9b1_iv","s9b1_b1a","s9b1_b1b","s9b1_b1c","s9b1_b2a","s9b1_b2b","s9b1_b2c","s9b1_b3a","s9b1_b3b","s9b1_b3c","s9b1_b4a","s9b1_b4b","s9b1_b4c","s9b1_b5a","s9b1_b5b","s9b1_b5c","s9b1_b6a","s9b1_b6b","s9b1_b6c","s9b1_b7a","s9b1_b7b","s9b1_b7c","s9b1_b8a","s9b1_b8b","s9b1_9i","s9b1_9ii","hhno"
1,1,3,5,3,9,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,9,15,101003005
1,1,3,5,4,9,16,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,9,21,101003005
1,1,3,9,3,9,16,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,9,28,101003009
1,1,3,11,3,8,45,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,8,56,101003011
1,1,3,11,5,9,9,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,9,20,101003011
1,1,3,11,4,8,57,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,9,7,101003011
1,1,3,12,3,8,42,2,2,1,,,,,,,,,,,,,,,,,,,,,8,55,101003012
1,1,3,43,4,9,53,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,10,6,101003043
1,1,3,43,3,9,40,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,9,51,101003043
1,1,3,46,5,11,34,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,11,44,101003046
1,1,3,46,4,11,21,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,1,11,33,101003046
1,1,3,46,6,11,45,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,11,54,101003046
1,1,8,14,4,3,11,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,,,,,,3,13,101008014
1,1,8,14,3,3,31,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,3,33,101008014
1,1,8,17,6,7,12,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,,,,,,7,17,101008017
1,1,8,17,4,9,33,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,9,35,101008017
1,1,8,17,5,6,28,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,,,6,31,101008017
1,1,8,19,5,1,20,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,1,23,101008019
1,1,8,19,4,1,22,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,23,101008019
1,1,8,22,3,4,57,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,4,59,101008022
1,1,8,22,4,5,14,2,1,2,2,1,2,1,1,2,2,2,1,,,,,,,,,,,,5,16,101008022
1,1,8,44,3,1,14,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,1,18,101008044
1,1,8,47,2,4,3,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,,,,,,4,4,101008047
1,1,8,53,4,5,22,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,,,,,,,,,5,25,101008053
1,1,8,53,3,5,41,1,1,2,1,1,2,2,1,2,2,2,1,,,,,,,,,,,,5,43,101008053
1,1,8,67,4,11,3,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,11,5,101008067
1,1,8,67,8,12,28,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,12,30,101008067
1,1,8,67,6,11,58,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,11,58,101008067
1,1,8,67,7,12,13,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,,,12,15,101008067
1,1,8,67,5,11,36,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,,,11,38,101008067
1,1,8,74,4,5,32,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,5,33,101008074
1,1,8,74,3,5,9,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,5,11,101008074
1,1,8,78,4,10,0,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,,,10,4,101008078
1,1,8,78,2,9,19,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,9,22,101008078
1,1,8,78,3,10,39,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,,,,,,,,,10,40,101008078
1,1,31,1,6,,,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,101031001
1,1,31,1,5,12,37,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,,,,,,,101031001
1,1,31,1,4,,,1,1,,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,12,40,101031001
1,1,31,15,2,16,0,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,101031015
1,1,31,17,3,17,50,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,,,,,,,,,,,101031017
1,1,31,17,4,17,55,2,2,1,,,,,,,,,,,,,,,,,,,,,,,101031017
1,1,31,30,5,10,0,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,,,,,101031030
1,1,31,38,4,4,50,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,4,58,101031038
1,1,31,70,5,12,49,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,12,58,101031070
1,1,31,73,6,12,15,1,1,2,1,1,2,1,1,,1,1,,1,1,,1,2,2,2,2,1,,,12,17,101031073
1,1,31,73,5,12,30,1,1,2,1,1,2,1,1,2,1,1,2,1,1,,,,,,,,,,12,33,101031073
1,1,31,75,5,5,0,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,5,3,101031075
1,1,31,75,4,5,5,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,5,10,101031075
1,1,31,84,4,17,5,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,101031084
1,1,31,84,6,17,15,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,101031084
1,2,5,4,3,5,50,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,5,54,101005004
1,2,5,4,2,5,46,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,5,49,101005004
1,2,5,13,4,2,30,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,2,39,101005013
1,2,5,13,6,2,46,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,,,,,2,51,101005013
