"id1","id2","id3","id4","s9b2_iii","s9b2_i","s9b2_ii","s9b2_b9a","s9b2_b9b","s9b2_b9c","s9b2_b10a","s9b2_b10b","s9b2_b10c","s9b2_b11a","s9b2_b11b","s9b2_b11c","s9b2_b12a","s9b2_b12b","s9b2_b12c","s9b2_b13a","s9b2_b13b","s9b2_b13c","s9b2_b14a","s9b2_b14b","s9b2_b14c","s9b2_b15a","s9b2_b15b","s9b2_16i","s9b2_16ii","hhno"
1,1,3,5,4,15,39,2,2,1,,,,,,,,,,,,,,,,,,15,41,101003005
1,1,3,5,3,15,28,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,15,38,101003005
1,1,3,9,3,15,16,1,2,2,2,1,2,2,2,1,,,,,,,,,,,,15,22,101003009
1,1,3,11,4,10,55,2,2,1,,,,,,,,,,,,,,,,,,10,57,101003011
1,1,3,11,5,10,58,2,2,1,,,,,,,,,,,,,,,,,,12,0,101003011
1,1,3,11,3,10,42,1,1,2,1,1,2,2,1,1,,,,,,,,,,,,10,54,101003011
1,1,3,12,3,6,19,2,2,1,,,,,,,,,,,,,,,,,,6,22,101003012
1,1,3,43,3,10,7,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,,,,,,10,16,101003043
1,1,3,43,4,10,17,2,2,1,,,,,,,,,,,,,,,,,,10,19,101003043
1,1,3,46,5,15,40,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,,,15,48,101003046
1,1,3,46,4,15,29,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,,,,,,15,39,101003046
1,1,3,46,6,15,49,2,2,1,,,,,,,,,,,,,,,,,,15,51,101003046
1,1,8,14,3,3,33,1,1,2,2,2,1,,,,,,,,,,,,,,,3,34,101008014
1,1,8,14,4,3,13,2,2,1,,,,,,,,,,,,,,,,,,3,15,101008014
1,1,8,17,6,7,18,2,2,1,,,,,,,,,,,,,,,,,,7,19,101008017
1,1,8,17,4,9,35,1,1,2,2,2,1,,,,,,,,,,,,,,,9,36,101008017
1,1,8,17,5,6,31,1,1,2,2,2,1,,,,,,,,,,,,,,,6,33,101008017
1,1,8,19,5,1,24,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,1,26,101008019
1,1,8,19,4,1,24,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,1,27,101008019
1,1,8,22,3,4,59,2,2,1,,,,,,,,,,,,,,,,,,5,1,101008022
1,1,8,22,4,5,16,2,2,1,,,,,,,,,,,,,,,,,,5,19,101008022
1,1,8,44,3,1,18,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,1,19,101008044
1,1,8,47,2,4,5,1,1,2,2,2,1,,,,,,,,,,,,,,,4,5,101008047
1,1,8,53,4,5,26,2,2,1,,,,,,,,,,,,,,,,,,5,26,101008053
1,1,8,53,3,5,43,1,2,2,2,2,1,,,,,,,,,,,,,,,5,45,101008053
1,1,8,67,4,11,6,2,1,2,2,2,1,,,,,,,,,,,,,,,11,7,101008067
1,1,8,67,8,12,30,2,2,1,,,,,,,,,,,,,,,,,,12,30,101008067
1,1,8,67,5,11,38,2,2,1,,,,,,,,,,,,,,,,,,11,39,101008067
1,1,8,67,6,11,58,2,2,1,,,,,,,,,,,,,,,,,,11,58,101008067
1,1,8,67,7,12,16,2,2,1,,,,,,,,,,,,,,,,,,12,16,101008067
1,1,8,74,4,5,33,2,2,1,,,,,,,,,,,,,,,,,,5,33,101008074
1,1,8,74,3,5,11,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,,,,,,5,14,101008074
1,1,8,78,3,10,40,1,1,2,2,2,1,,,,,,,,,,,,,,,10,41,101008078
1,1,8,78,4,10,3,1,1,2,2,2,1,,,,,,,,,,,,,,,10,7,101008078
1,1,8,78,2,9,22,1,1,2,2,2,1,,,,,,,,,,,,,,,9,23,101008078
1,1,31,1,4,12,41,1,1,2,1,1,2,1,1,1,,,,,,,,,,,,12,30,101031001
1,1,31,1,6,,,,,,,,,,,,,,,,,,,,,,,,,101031001
1,1,31,1,5,12,41,1,1,,1,1,,1,1,1,,,,,,,,,,,,12,35,101031001
1,1,31,15,2,14,10,1,2,2,2,2,1,,,,,,,,,,,,,,,,,101031015
1,1,31,17,4,18,0,2,2,1,,,,,,,,,,,,,,,,,,,,101031017
1,1,31,17,3,17,57,1,1,2,2,2,1,,,,,,,,,,,,,,,,,101031017
1,1,31,30,5,10,10,1,1,2,1,1,2,2,1,2,2,2,1,,,,,,,,,,,101031030
