"id1","id2","id3","id4","s9c_ii","s9c_c1","s9c_c2","s9c_c3","s9c_c4","s9c_c5","s9c_c6","s9c_c7","s9c_c8","s9c_c9","s9c_c10","s9c_c11","s9c_c12","hhno"
1,1,3,5,4,"E","E","E","E","E","A","B","B","E","B","E","C",101003005
1,1,3,5,3,"E","E","B","B","E","C","E","C","E","E","D","D",101003005
1,1,3,9,3,"E","C","E","C","E","E","E","F","E","E","D","E",101003009
1,1,3,11,3,"B","B","F","C","E","C","E","F","E","E","A","E",101003011
1,1,3,11,5,"E","C","B","E","E","C","E","F","E","B","E","E",101003011
1,1,3,11,4,"E","E","E","E","E","A","E","E","C","E","B","D",101003011
1,1,3,12,3,"B","C","F","C","E","C","E","F","E","B","D","E",101003012
1,1,3,43,3,"E","E","B","A","E","C","E","E","E","E","B","B",101003043
1,1,3,43,4,"B","C","C","F","E","E","E","B","E","E","E","B",101003043
1,1,3,46,5,"A","B","E","D","C","C","E","E","E","C","F","F",101003046
1,1,3,46,4,"E","E","C","B","E","A","C","E","B","E","B","B",101003046
1,1,3,46,6,"B","B","B","B","A","A","E","E","D","D","F","F",101003046
1,1,8,14,4,"C","C","F","C","C","C","E","B","D","F","D","D",101008014
1,1,8,14,3,"E","B","E","E","F","C","E","B","B","C","F","D",101008014
1,1,8,17,6,"B","C","A","C","C","B","E","B","B","A","A","B",101008017
1,1,8,17,4,"B","E","F","C","D","A","E","D","C","D","F","D",101008017
1,1,8,17,5,"E","F","B","E","D","A","E","B","C","B","F","D",101008017
1,1,8,19,4,"E","F","A","D","C","E","E","B","C","B","F","F",101008019
1,1,8,19,5,"E","A","B","D","F","A","E","B","C","F","C","D",101008019
1,1,8,22,3,"E","D","B","E","F","A","E","B","B","B","C","F",101008022
1,1,8,22,4,"B","B","B","A","B","B","B","B","B","B","A","F",101008022
1,1,8,44,3,"E","F","A","D","C","C","C","B","C","B","C","F",101008044
1,1,8,47,2,"B","E","D","E","D","E","D","E","D","E","D","E",101008047
1,1,8,53,4,"B","B","B","E","B","E","E","E","B","C","B","C",101008053
1,1,8,53,3,"E","F","E","D","C","A","E","B","C","B","F","B",101008053
1,1,8,67,7,"A","C","B","B","B","B","E","B","B","B","B","B",101008067
1,1,8,67,6,"A","C","E","B","F","D","C","E","B","D","F","B",101008067
1,1,8,67,5,"A","A","E","E","E","E","E","E","E","E","E","E",101008067
1,1,8,67,8,"C","E","B","C","A","D","A","B","A","C","D","A",101008067
1,1,8,67,4,"E","A","B","E","F","A","E","B","C","B","F","D",101008067
1,1,8,74,4,"B","A","A","D","E","F","E","D","B","A","F","F",101008074
1,1,8,74,3,"E","F","A","D","D","D","E","B","C","F","C","F",101008074
1,1,8,78,2,"E","F","A","D","F","D","E","B","C","A","C","A",101008078
1,1,8,78,4,"E","F","A","E","C","E","E","F","B","D","C","B",101008078
1,1,8,78,3,"E","F","E","E","D","A","E","B","C","D","F","D",101008078
1,1,31,1,6,"B","D","D","B","C","B","B","B","F","D","E","F",101031001
1,1,31,1,5,"F","E","B","D","C","A","E","B","B","D","C","D",101031001
1,1,31,1,4,"A","E","A","D","F","D","E","E","C","D","F","F",101031001
1,1,31,15,2,"E","D","C","B","D","D","E","B","B","F","F","D",101031015
1,1,31,17,3,"E","F","B","E","D","A","E","B","B","C","E","B",101031017
1,1,31,17,4,"E","D","A","C","C","C","E","B","C","C","B","C",101031017
1,1,31,30,5,"E","F","E","B","E","D","E","B","C","B","C","B",101031030
1,1,31,38,4,"C","D","B","E","F","C","E","B","B","B","F","C",101031038
1,1,31,47,3,"C","A","B","D","C","B","E","B","C","B","F","C",101031047
1,1,31,70,3,"C","F","E","D","C","C","E","B","C","B","C","E",101031070
1,1,31,70,5,"C","B","E","E","F","C","E","B","B","F","E","D",101031070
1,1,31,70,4,"C","F","B","D","C","C","E","B","C","C","C","F",101031070
1,1,31,73,6,"D","B","B","B","F","C","D","C","D","B","C","B",101031073
1,1,31,73,5,"E","D","A","D","C","D","E","B","C","B","C","D",101031073
1,1,31,75,4,"E","F","A","D","C","B","E","B","C","B","C","E",101031075
1,1,31,75,5,"E","D","B","E","D","A","F","B","C","B","A","D",101031075
1,1,31,84,4,"E","A","D","E","F","C","E","E","B","F","F","D",101031084
1,1,31,84,6,"E","D","C","B","E","C","E","E","C","B","F","F",101031084
1,2,5,4,3,"C","F","B","B","C","D","E","B","C","B","C","C",101005004
1,2,5,4,2,"C","F","C","D","C","A","E","B","C","B","C","E",101005004
1,2,5,13,5,"C","F","A","E","C","C","E","B","C","B","F","F",101005013
1,2,5,13,6,"C","F","A","D","A","C","E","B","B","E","F","F",101005013
1,2,5,13,4,"B","D","B","D","D","A","E","B","C","C","C","D",101005013
1,2,5,22,2,"C","A","A","B","F","E","E","B","B","B","A","D",101005022
1,2,5,23,3,"C","D","C","B","C","C","E","B","C","F","C","F",101005023
1,2,5,25,2,"C","F","A","B","C","A","E","B","C","A","C","E",101005025
1,2,5,33,4,"C","F","B","E","E","A","E","B","B","E","C","E",101005033
1,2,5,33,3,"C","C","A","C","C","C","B","C","C","A","B","E",101005033
1,2,5,33,2,"A","A","B","D","D","A","E","B","B","E","A","D",101005033
1,2,5,36,5,"C","F","A","D","F","A","E","B","C","B","C","E",101005036
1,2,5,40,2,"C","A","C","E","F","A","E","B","C","A","F","D",101005040
1,2,5,40,3,"C","F","C","C","C","A","E","B","B","B","F","F",101005040
1,2,5,40,4,"C","A","B","B","D","C","F","B","C","B","C","D",101005040
1,2,5,41,2,"B","F","E","B","C","D","E","B","C","B","C","E",101005041
1,2,5,51,3,"D","F","A","E","C","C","E","B","C","B","C","F",101005051
1,2,5,51,4,"E","F","C","E","C","C","E","B","C","B","F","D",101005051
1,2,5,52,5,"C","F","C","D","D","D","E","B","C","F","C","F",101005052
1,2,5,52,4,"C","A","E","D","F","C","E","B","C","A","F","D",101005052
1,2,6,15,4,"B","E","E","C","E","C","E","F","E","E","B","C",101006015
1,2,6,23,6,"E","E","B","E","A","A","E","F","E","B","B","E",101006023
1,2,6,23,4,"B","B","F","C","E","C","E","B","E","E","B","C",101006023
1,2,6,23,5,"E","C","F","F","E","A","E","E","E","E","E","E",101006023
1,2,6,56,2,"B","E","F","E","E","C","C","C","E","E","B","E",101006056
1,2,6,56,3,"E","E","E","C","E","A","E","B","E","E","B","F",101006056
1,2,7,4,6,"D","F","A","D","F","B","E","B","C","B","F","B",101007004
1,2,7,19,5,"B","F","E","F","C","C","E","B","C","F","C","F",101007019
1,2,7,19,4,"E","F","A","D","F","A","E","B","C","B","A","D",101007019
1,2,7,19,3,"E","F","A","D","C","A","E","B","C","B","C","E",101007019
1,2,7,25,2,"E","F","E","B","C","D","E","B","C","F","F","D",101007025
1,2,7,26,5,"E","A","B","E","F","A","E","B","C","B","F","F",101007026
1,2,7,26,6,"E","F","B","F","D","C","E","B","C","A","F","E",101007026
1,2,7,36,7,"E","D","E","E","F","C","E","B","B","F","C","D",101007036
1,2,7,36,6,"E","D","A","F","F","B","E","B","C","B","C","B",101007036
1,2,7,68,4,"B","F","B","D","D","A","E","B","C","F","C","D",101007068
1,2,7,68,3,"E","D","E","F","F","A","E","B","B","F","E","F",101007068
1,2,7,82,3,"D","A","B","C","F","D","E","B","B","B","F","D",101007082
1,2,25,2,6,"B","D","C","D","F","A","E","B","B","B","C","F",101025002
1,2,25,2,5,"C","F","A","B","C","C","E","B","C","B","C","E",101025002
1,2,25,3,5,"C","D","C","D","D","F","E","B","D","A","F","E",101025003
1,2,25,3,3,"B","F","A","D","C","C","E","B","C","F","C","E",101025003
1,2,25,3,4,"C","D","C","D","D","F","E","B","C","A","F","E",101025003
1,2,25,6,4,"B","D","A","B","C","C","E","B","C","F","C","D",101025006
1,2,25,6,3,"C","F","A","D","F","A","E","B","C","B","C","F",101025006
1,2,25,6,5,"B","D","B","D","D","A","E","B","B","B","F","E",101025006
1,2,25,33,4,"B","D","A","D","A","C","E","B","B","B","A","F",101025033
1,2,25,33,3,"C","A","C","D","F","A","E","B","C","B","C","E",101025033
1,2,25,37,4,"C","F","F","D","D","A","E","B","C","A","C","F",101025037
1,2,25,43,3,"A","F","A","B","C","A","E","B","C","B","C","E",101025043
1,2,25,43,4,"B","A","A","D","C","A","E","B","C","A","C","F",101025043
1,2,25,50,7,"C","F","A","D","C","A","E","B","C","B","C","E",101025050
1,2,25,50,8,"B","A","E","B","D","A","E","B","B","B","C","F",101025050
1,2,25,51,3,"E","A","E","A","C","A","E","B","C","B","C","F",101025051
1,2,25,97,6,"A","F","A","B","C","A","E","B","C","B","C","E",101025097
1,2,25,100,4,"C","F","C","E","B","E","E","B","C","A","C","F",101025100
1,2,25,100,3,"C","F","A","F","C","A","E","B","E","A","C","D",101025100
1,2,25,101,3,"C","E","A","D","C","A","E","B","C","B","C","E",101025101
1,2,25,101,4,"B","A","E","D","F","A","E","B","C","B","E","F",101025101
1,2,26,4,4,"E","D","B","A","F","D","E","B","B","B","F","D",101026004
1,2,26,4,3,"E","F","A","F","B","B","E","B","C","A","E","D",101026004
1,2,26,6,3,"E","A","C","D","C","A","E","B","C","B","C","F",101026006
1,2,26,6,4,"E","F","B","B","C","C","E","B","C","F","F","D",101026006
1,2,26,8,4,"B","F","C","E","B","B","B","B","A","B","B","B",101026008
1,2,26,8,3,"D","D","E","E","D","A","E","E","E","B","F","B",101026008
1,2,26,10,3,"E","F","C","F","C","C","E","B","C","B","F","C",101026010
1,2,26,10,4,"B","B","B","C","F","C","E","C","C","C","F","F",101026010
1,2,26,10,2,"E","A","A","B","C","A","E","B","C","B","C","E",101026010
1,2,26,19,3,"E","F","C","B","C","C","E","B","C","B","F","F",101026019
1,2,26,19,4,"E","C","F","E","C","B","C","B","F","B","C","E",101026019
1,2,26,23,7,"E","F","A","D","C","A","E","B","C","B","C","F",101026023
1,2,26,24,2,"E","F","A","D","C","B","E","B","C","B","C","F",101026024
1,2,26,26,3,"E","F","E","E","C","D","E","B","C","B","A","F",101026026
1,2,26,26,5,"E","F","B","D","C","D","E","B","C","B","C","F",101026026
1,2,26,26,4,"E","F","A","D","C","D","E","B","C","B","C","F",101026026
1,2,26,29,2,"E","F","E","D","C","A","E","B","C","B","F","E",101026029
1,2,26,29,4,"E","F","B","E","C","A","E","B","C","A","F","D",101026029
1,2,26,29,3,"E","A","B","F","C","C","E","B","C","F","C","C",101026029
1,2,26,30,2,"E","F","E","B","C","A","E","B","C","B","F","F",101026030
1,2,26,40,3,"E","F","E","D","C","A","E","B","C","B","C","F",101026040
1,2,26,40,4,"E","D","C","B","C","A","E","B","C","B","F","E",101026040
1,2,26,42,3,"E","F","E","D","C","C","E","B","C","B","C","E",101026042
1,2,26,42,5,"E","F","C","E","C","F","E","B","B","C","F","C",101026042
1,2,26,42,4,"E","A","C","B","C","A","E","B","C","A","F","F",101026042
1,2,26,43,4,"E","B","B","F","C","A","E","B","B","F","F","E",101026043
1,2,26,43,3,"E","F","E","D","C","C","E","B","C","B","C","F",101026043
1,2,28,15,2,"E","E","C","C","E","C","C","E","E","A","B","A",101028015
1,2,28,21,3,"A","E","C","E","E","A","A","C","B","B","E","C",101028021
1,2,28,21,2,"E","B","B","A","E","C","B","E","E","B","B","E",101028021
1,2,28,26,4,"E","A","A","B","E","A","A","E","C","B","D","B",101028026
1,2,28,26,5,"B","E","E","E","E","B","B","C","A","E","A","C",101028026
1,2,28,26,6,"C","E","C","B","A","C","A","D","C","F","E","E",101028026
1,2,28,34,3,"A","E","B","C","E","C","E","A","E","B","E","B",101028034
1,2,28,34,4,"E","E","D","C","E","A","B","C","B","B","C","D",101028034
1,2,28,35,6,"E","E","D","F","E","A","A","C","A","A","A","C",101028035
1,2,28,35,5,"B","E","C","B","E","C","C","B","E","C","B","B",101028035
1,2,28,41,5,"B","E","E","D","E","C","B","C","B","E","E","E",101028041
1,2,28,44,3,"E","E","D","C","E","C","E","C","E","C","C","D",101028044
1,2,28,44,4,"A","E","F","C","A","A","C","A","F","E","B","D",101028044
1,5,4,1,4,"E","A","B","B","D","C","E","B","B","F","F","D",101004001
1,5,4,6,7,"E","A","F","E","C","A","E","B","B","B","D","A",101004006
1,5,4,6,6,"E","F","B","D","F","A","C","B","C","B","A","C",101004006
1,5,4,6,8,"E","D","A","D","D","A","B","C","B","E","F","B",101004006
1,5,4,10,4,"E","A","B","D","D","C","E","B","B","F","F","D",101004010
1,5,4,10,5,"B","D","F","E","F","D","E","B","B","A","C","C",101004010
1,5,4,14,4,"B","F","D","F","E","E","F","E","A","B","A","A",101004014
1,5,4,14,3,"E","A","B","E","F","A","E","B","C","B","C","E",101004014
1,5,4,16,4,"D","D","D","D","D","D","E","B","B","B","C","D",101004016
1,5,4,16,3,"E","F","B","E","D","A","E","B","B","B","F","B",101004016
1,5,4,16,5,"E","A","E","E","D","A","E","B","B","B","C","D",101004016
1,5,4,22,4,"B","E","D","F","C","F","C","B","B","B","F","C",101004022
1,5,4,27,3,"E","F","E","B","F","A","E","E","B","F","A","D",101004027
