"id1","id2","id3","id4","hhmid","s1ei_1","s1ei_2","s1ei_3","s1ei_4","s1ei_5","s1ei_6i","s1ei_6ii","s1ei_7i","s1ei_7ii","s1ei_7iii","s1ei_8i","s1ei_8ii","s1ei_9","s1ei_10i","s1ei_10ii","s1ei_11","s1ei_12","s1ei_13i","s1ei_13ii","s1ei_14","s1ei_15","s1ei_16","s1ei_17","s1ei_18","s1ei_19","s1ei_20","s1ei_21","s1ei_22","s1ei_23","s1ei_24","s1ei_25i","s1ei_25ii","s1ei_25iii","s1ei_26","s1ei_27","s1ei_28","s1ei_29i","s1ei_29ii","hhno"
1,1,3,11,1,1,"FISHING",921,"FISHING",501,17,5,42,6,10,2,,1,12,,1,1,1,,1,2,2,2,4,2,2,2,7,30,2,,,,,,,,,101003011
1,1,3,12,1,1,"DRIVING OF TAXI",831,"LOCOMOTIVE ENGINE DRIVERS",6022,6,,49,6,11,3,11,1,90,,3,2,,,,2,1,2,4,2,2,2,12,20,2,,,,,,,,,101003012
1,1,3,15,1,1,"DRAGING OF FISH FROM THE SEA",921,"FISHING",501,,6,24,6,10,3,10,1,4,,1,1,3,,1,2,2,2,4,2,2,2,7,20,2,,,,,,,,,101003015
1,1,3,32,1,1,"SELL FANMILK",911,"PETTY TRADE",5252,1,,46,5,7,5,7,1,30,,3,1,1,,3,2,2,2,4,2,2,2,11,15,2,,,,,,,,,101003032
1,1,3,37,1,1,"FISHING FROM SEA",615,"FISHING",501,20,,48,6,10,7,10,1,2,,1,1,1,50,1,2,2,2,4,2,2,2,7,30,2,,,,,,,,,101003037
1,1,3,40,1,1,"FISHING IN SEA",615,"FISHERY WORKERS",501,9,,48,4,12,3,,1,3,,1,1,1,,1,2,2,2,4,2,2,2,7,30,2,,,,,,,,,101003040
1,1,3,46,1,1,"FISHING FROM SEA",615,"FISHING",501,20,4,44,3,8,1,,1,2,,1,1,1,50,1,2,2,2,4,2,2,2,7,28,2,,,,,,,,,101003046
1,1,8,17,1,1,"DISTILLING OF AKPETESHIE",741,"MANUFACTURING",1551,,1,4,,,7,15,1,102,85,3,2,,,,2,2,2,4,2,2,2,6,3,2,,,,,,,,,101008017
1,1,8,35,1,1,"LABOURER",921,"SERVICE",200,6,,52,7,6,7,6,1,100,,3,2,,,,2,2,2,4,2,2,2,6,3,2,,,,,,,,,101008035
1,1,8,60,1,1,"TEACHING",233,"EDUCATION SERVICE",8010,1,,42,5,8,5,8,1,190,,3,2,,,,1,1,1,1,1,1,2,14,7,2,,,,,,,,,101008060
1,2,6,2,1,1,"PROCESSING OF COCONUT OIL",932,"OIL MANUFACTURING",1514,6,,42,5,6,4,6,1,5,,1,2,,,,2,2,2,4,2,2,2,6,,2,,,,,,,,,101006002
