"id1","id2","id3","id4","hhmid","s1eiii_63","s1eiii_64","s1eiii_65","s1eiii_66","s1eiii_67","s1eiii_68","s1eiii_69","s1eiii_70","s1eiii_71","s1eiii_72i","s1eiii_72ii","hhno"
1,1,3,4,1,2,,7,,,,"SELLS SHOE",523,4,2,,101003004
1,1,3,5,1,2,,5,,,,,,,,,101003005
1,1,3,5,3,2,,8,,,,,,,,,101003005
1,1,3,5,4,2,,8,,,,,,,,,101003005
1,1,3,5,2,2,,7,,,,"FARMER",621,4,3,,101003005
1,1,3,9,2,2,,5,,,,,,,,,101003009
1,1,3,9,1,2,,5,,,,,,,,,101003009
1,1,3,11,4,2,,8,,,,,,,,,101003011
1,1,3,11,2,2,,1,,,,,,,,,101003011
1,1,3,11,3,2,,8,,,7,,,4,4,,101003011
1,1,3,11,5,2,,8,,,,,,,,,101003011
1,1,3,12,2,2,,5,,,,,,,,,101003012
1,1,3,12,3,2,,8,,,,,,,,,101003012
1,1,3,13,1,2,,5,,,,,,,,,101003013
1,1,3,13,2,2,,3,3,3,3,,,4,3,,101003013
1,1,3,15,2,2,,5,,,,,,,,,101003015
1,1,3,15,3,2,,8,,,,,,,,,101003015
1,1,3,20,1,2,,5,,,,,,,,,101003020
1,1,3,26,1,2,,5,,,,,,,,,101003026
1,1,3,26,3,2,,8,,,,,,,,,101003026
1,1,3,26,2,2,,1,,,7,"FISHING IN SEA",921,4,4,,101003026
1,1,3,26,4,2,,8,,,,,,,,,101003026
1,1,3,40,2,2,,5,,,,,,,,,101003040
1,1,3,43,1,2,,5,,,,,,,,,101003043
1,1,3,43,2,2,,5,,,,,,,,,101003043
1,1,3,43,3,2,,8,,,,,,,,,101003043
1,1,3,46,4,2,,8,,,,,,,,,101003046
1,1,3,46,3,2,,8,,,,,,,,,101003046
1,1,3,46,2,2,,5,,,,,,,,,101003046
1,1,3,46,5,2,,8,,,,,,,,,101003046
1,1,3,50,1,2,,5,,,,,,,,,101003050
1,1,8,4,1,2,,5,,,,,,,,,101008004
1,1,8,14,2,2,,5,,,,,,,,,101008014
1,1,8,14,4,2,,8,,,,,,,,,101008014
1,1,8,14,3,2,,6,,,,,,2,2,,101008014
1,1,8,14,1,2,,5,,,,,,,,,101008014
1,1,8,17,5,2,,8,,,,,,,,,101008017
1,1,8,17,1,2,,5,,,,,,,,,101008017
1,1,8,17,2,2,,5,,,,,,,,,101008017
1,1,8,17,3,2,,6,,,,,,2,,,101008017
1,1,8,17,4,2,,6,,,,,,2,,,101008017
1,1,8,19,3,2,,8,,,,,,,,,101008019
