"Country","ChocPerCap","Pop","Nobels","GDP","GDPPerCap"
"Switzerland",11.9,7.9,30.125,468770,59337.9746835443
"Ireland",9.9,4.6,17.06,224893,48889.7826086957
"United Kingdom",9.5,62.7,19.315,2565070,40910.2073365231
"Austria",8.8,8.4,24.577,394485,46962.5
"Belgium",8.3,11,8.85,477949,43449.9090909091
"Germany",8.2,81.8,13.013,3704911,45292.3105134474
"Norway",8,4.9,24.947,333131,67985.9183673469
"Denmark",7.5,5.6,24.695,253309,45233.75
"Canada",6.4,34.5,6.4,1565813,45385.884057971
"France",6.3,65.4,9.473,2571970,39326.7584097859
"Poland",6.1,38.5,3.108,940179,24420.2337662338
"Russia",5.9,143,1.603,3745157,26189.9090909091
"Australia",5.9,22.32,5.006,1031945,46234.0949820789
"Sweden",5.7,9.4,30.677,437803,46574.7872340426
"United States",5.5,313.9,10.97,17419000,55492.1949665499
"Netherlands",5.4,16.7,11.226,803313,48102.5748502994
"Finland",5,5.4,7.268,218441,40452.037037037
"Czech Republic",4.9,10.5,4.742,319599,30438
"New Zealand",4.8,4.4,6.625,154955,35217.0454545454
"Ukraine",4.2,45.7,0.446,370534,8107.96498905908
"Brazil",2.5,196.7,0.048,3263867,16593.1215048297
