hours,wage,kidslt6,age,educ,exper,nwifeinc
1610,3.3540001,1,32,12,14,10.91006
1656,1.3889,0,30,12,5,19.499981
1980,4.5454998,1,35,12,15,12.03991
456,1.0965,0,34,12,6,6.7999959
1568,4.5918002,1,31,14,7,20.10006
2032,4.7420998,0,54,12,33,9.8590536
1440,8.3332996,0,37,16,11,9.1520481
1020,7.8431001,0,54,12,35,10.90004
1458,2.1262,0,48,12,24,17.305
1600,4.6875,0,39,12,21,12.925
1969,4.0630002,0,33,12,15,24.29995
1960,4.5918002,0,42,11,14,19.700069
240,2.0833001,1,30,12,0,15.00001
997,2.2667999,0,43,12,14,14.6
1848,3.6796999,0,43,10,6,24.630911
1224,1.3472,0,35,11,9,17.531031
1400,3.2142999,0,43,12,20,14.09998
640,5.1750002,0,39,12,6,15.839
2000,2,0,45,12,23,14.1
1324,7.5528998,0,35,12,9,10.29996
2215,3.5051999,0,42,16,5,22.65498
1680,3.5713999,0,30,12,11,8.0900478
1600,3.25,0,48,13,18,17.479
800,3.25,0,45,12,15,9.5600004
1955,2.1545,1,31,12,4,8.2749529
660,3.7879,0,43,17,21,27.349991
525,4,0,59,12,31,16
1904,4.7269001,0,32,12,9,16.999981
1516,7.2558999,1,31,17,7,15.10006
346,5.8670998,0,42,12,7,15.69998
1040,1.5385,0,50,11,32,5.1189599
732,2.4590001,0,59,16,11,16.75001
1880,5.8511,0,36,13,16,13.59993
1680,3.5713999,0,51,12,14,17.10005
2081,3.8067999,0,45,16,27,16.734051
690,2.4638,0,42,11,0,14.19698
4210,2.3752999,0,46,12,17,10.31999
2205,4.5351,0,46,10,28,11.3841
1952,5.6183,0,51,14,24,14.59408
1302,14.631,0,30,17,11,17.500441
112,2.6786001,1,30,12,1,15.51
893,3.9194,0,57,12,14,21.999981
583,2.5729001,1,31,16,6,22.5
480,4.5374999,0,48,12,10,19.993999
1900,2,0,30,12,6,14.13
576,3.4721999,0,34,12,4,5.0000129
2056,2.0160999,0,48,16,10,21.1549
1984,4.5716,0,45,12,22,7.1419458
