"id1","id2","id3","id31","id4","id41","hhmid","HHMID1","s10aiv_a31","s10aiv_a32","s10aiv_a33","s10aiv_a341i","s10aiv_a341ii","s10aiv_a341iii","s10aiv_a342i","s10aiv_a342ii","s10aiv_a342iii","s10aiv_a343i","s10aiv_a343ii","s10aiv_a343iii","s10aiv_a351i","s10aiv_a351ii","s10aiv_a351iii","s10aiv_a352i","s10aiv_a352ii","s10aiv_a352iii","s10aiv_a353i","s10aiv_a353ii","s10aiv_a353iii","s10aiv_a36i","s10aiv_a36ii","s10aiv_a37i","s10aiv_a37ii","s10aiv_a38","s10aiv_a39i","s10aiv_a39ii","s10aiv_a40i","s10aiv_a40ii","s10aiv_a41","uniquehhmid","hhno"
6,88,238,"238",76,"076",3,"03",10,10,10,,,,,,,,,,"CELL PHONE",50,,"SCH. BAG",30,,"DAILY CONSUMPTION",20,,,,,,,5,,10,,2,"23807603",106238076
3,37,92,"092",31,"031",1,"01",10,10,8,,,,,,,,,,"EDUCATION",100,0,,,,,,,8,0,16,0,2,20,0,35,0,2,"09203101",103092031
10,166,334,"334",3,"003",2,"02",10,10,8,,,,,,,,,,"BUY CLOTH FOR SALE",50,,"BUY FOOD STUFF",50,,,,,,,,,,,,,,,"33400302",110334003
2,9,54,"054",61,"061",2,"02",10,10,10,,,,,,,,,,"OIL PRODUCTION",100,0,,,,,,,6,0,6,0,2,4,0,6,0,2,"05406102",102054061
5,70,138,"138",1,"001",2,"02",,,8,,,,,,,,,,"AGRIC BUSINESS",100,,,,,,,,2,,3,,2,4,,6,,2,"13800102",105138001
6,10,215,"215",64,"064",1,"01",10,10,10,,,,,,,,,,"SUPPORT BUSINESS",100,,,,,,,,1,,2,,1,3,,5,,1,"21506401",106215064
6,89,187,"187",108,"108",1,"01",,10,10,,,,,,,,,,"CHEMICALS",40,,"PETROL",15,,"HOUSEHOLD",45,,1,,3,,2,3,,5,,2,"18710801",106187108
3,43,98,"098",55,"055",3,"03",10,10,10,,,,,,,,,,"BUY BOOKS",20,,"SAVE",80,,,,,,,,,,5,,15,,2,"09805503",103098055
5,67,150,"150",55,"055",2,"02",10,10,6,,,,,,,,,,"TRADING",100,,,,,,,,3,,3,50,1,5,,7,,1,"15005502",105150055
4,62,118,"118",34,"034",2,"02",9,9,6,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,5,,8,,2,7,,15,,2,"11803402",104118034
4,6,114,"114",6,"006",2,"02",10,10,10,,,,,,,,,,"BUSINESS(COSMETICS)",100,,,,,,,,50,,80,,2,80,,10,,2,"11400602",104114006
1,13,10,"010",150,"150",1,"01",10,10,10,,,,,,,,,,"BUY BANANA FOR SALE",40,,"BUY PEAR FOR SALE",30,,"BUY MANGO FOR SALE",30,,,,,,,2,50,5,,2,"01015001",101010150
3,1,86,"086",37,"037",1,"01",10,10,,,,,,,,,,,"SOAPS",30,,"BUSINESS",30,,"UPKEEP OF THE HOUSEH",40,,,,,,,3,,5,,2,"08603701",103086037
8,10,303,"303",30,"030",1,"01",10,10,10,,,,,,,,,,"SHEEP",60,,"SMOKE",40,,,,,2,,3,,1,2,,4,,1,"30303001",108303030
4,49,120,"120",1,"001",1,"01",,10,9,,,,,,,,,,"INVEST INTO FARMING",100,,,,,,,,,,,,,5,,10,,1,"12000101",104120001
4,62,118,"118",31,"031",2,"02",8,8,8,,,,,,,,,,"XMASS CLOTHES",50,,"SAVINGS A/C",50,,,,,4,,8,,1,5,,10,,1,"11803102",104118031
5,82,140,"140",28,"028",2,"02",10,10,5,,,,,,,,,,"TRADING",100,,,,,,,,1,50,2,,1,2,50,3,,1,"14002802",105140028
8,9,295,"295",8,"008",1,"01",5,5,5,,,,,,,,,,"CLOTHES",50,0,"VAEL",14,0,"SANDAL",30,0,3,0,5,0,2,5,0,10,0,2,"29500801",108295008
3,1,86,"086",89,"089",1,"01",10,10,10,,,,,,,,,,"BUY LINEN",30,,"RENT A SHOP TO START",40,,"BUY MATERIALS",30,,,,,,,2,,5,,2,"08608901",103086089
3,1,64,"064",3,"003",2,"02",10,10,9,,,,,,,,,,,,,"FOOD FOR HOUSEHOLD",100,,,,,3,,3,,2,3,,4,,2,"06400302",103064003
8,151,308,"308",3,"003",2,"02",10,10,5,,,,,,,,,,"ADD TO BUSINESS",100,,,,,,,,,,,,,,,,,,"30800302",108308003
