"id1","id2","id3","id4","s10c_0","hhno"
1,1,3,4,1,101003004
1,1,3,5,1,101003005
1,1,3,9,1,101003009
1,1,3,11,1,101003011
1,1,3,12,1,101003012
1,1,3,13,1,101003013
1,1,3,15,1,101003015
1,1,3,20,1,101003020
1,1,3,26,1,101003026
1,1,3,32,1,101003032
1,1,3,37,1,101003037
1,1,3,40,1,101003040
1,1,3,43,1,101003043
1,1,3,46,1,101003046
1,1,3,50,1,101003050
1,1,8,4,1,101008004
1,1,8,14,1,101008014
1,1,8,17,1,101008017
1,1,8,19,1,101008019
1,1,8,21,1,101008021
1,1,8,22,1,101008022
1,1,8,29,1,101008029
1,1,8,35,1,101008035
1,1,8,44,1,101008044
1,1,8,47,1,101008047
1,1,8,53,1,101008053
1,1,8,60,1,101008060
1,1,8,67,1,101008067
1,1,8,74,1,101008074
1,1,8,78,1,101008078
1,1,31,1,1,101031001
1,1,31,5,1,101031005
1,1,31,15,1,101031015
1,1,31,17,,101031017
1,1,31,21,1,101031021
1,1,31,24,1,101031024
1,1,31,30,1,101031030
1,1,31,38,1,101031038
1,1,31,47,1,101031047
1,1,31,69,1,101031069
1,1,31,70,70,101031070
1,1,31,73,1,101031073
1,1,31,74,1,101031074
1,1,31,75,1,101031075
1,1,31,84,84,101031084
1,2,5,1,1,101005001
1,2,5,3,1,101005003
1,2,5,4,1,101005004
1,2,5,13,1,101005013
1,2,5,19,1,101005019
1,2,5,22,1,101005022
1,2,5,23,1,101005023
1,2,5,24,1,101005024
1,2,5,25,1,101005025
1,2,5,33,1,101005033
1,2,5,36,1,101005036
1,2,5,40,1,101005040
1,2,5,41,1,101005041
1,2,5,51,1,101005051
1,2,5,52,1,101005052
1,2,6,1,1,101006001
1,2,6,2,1,101006002
1,2,6,9,1,101006009
1,2,6,11,1,101006011
1,2,6,15,1,101006015
1,2,6,23,1,101006023
1,2,6,29,1,101006029
1,2,6,36,1,101006036
1,2,6,42,1,101006042
1,2,6,52,1,101006052
1,2,6,55,1,101006055
1,2,6,56,1,101006056
1,2,6,59,1,101006059
1,2,6,60,1,101006060
1,2,6,64,1,101006064
1,2,7,1,1,101007001
1,2,7,4,1,101007004
1,2,7,7,1,101007007
1,2,7,10,2,101007010
1,2,7,11,1,101007011
1,2,7,14,1,101007014
1,2,7,19,1,101007019
1,2,7,25,1,101007025
1,2,7,26,1,101007026
1,2,7,28,1,101007028
1,2,7,33,1,101007033
1,2,7,36,1,101007036
1,2,7,40,1,101007040
1,2,7,68,2,101007068
1,2,7,82,1,101007082
1,2,25,2,1,101025002
1,2,25,3,1,101025003
1,2,25,6,1,101025006
1,2,25,12,1,101025012
1,2,25,13,1,101025013
1,2,25,33,1,101025033
1,2,25,37,1,101025037
1,2,25,43,1,101025043
1,2,25,44,1,101025044
1,2,25,50,1,101025050
1,2,25,51,1,101025051
1,2,25,54,1,101025054
1,2,25,97,1,101025097
1,2,25,100,1,101025100
1,2,25,101,1,101025101
1,2,26,4,1,101026004
1,2,26,6,1,101026006
1,2,26,8,1,101026008
1,2,26,10,1,101026010
1,2,26,17,1,101026017
1,2,26,19,1,101026019
1,2,26,23,1,101026023
1,2,26,24,1,101026024
1,2,26,26,1,101026026
1,2,26,29,1,101026029
1,2,26,30,1,101026030
1,2,26,39,1,101026039
1,2,26,40,1,101026040
1,2,26,42,1,101026042
1,2,26,43,1,101026043
1,2,28,8,1,101028008
1,2,28,9,1,101028009
1,2,28,10,1,101028010
1,2,28,15,1,101028015
1,2,28,18,1,101028018
1,2,28,21,1,101028021
1,2,28,26,1,101028026
1,2,28,28,1,101028028
1,2,28,31,1,101028031
1,2,28,32,1,101028032
1,2,28,34,1,101028034
1,2,28,35,1,101028035
1,2,28,41,1,101028041
1,2,28,43,1,101028043
1,2,28,44,1,101028044
1,5,4,1,1,101004001
1,5,4,2,1,101004002
1,5,4,5,1,101004005
1,5,4,6,1,101004006
1,5,4,10,1,101004010
1,5,4,12,1,101004012
1,5,4,14,1,101004014
1,5,4,16,1,101004016
1,5,4,17,1,101004017
1,5,4,20,1,101004020
1,5,4,22,1,101004022
1,5,4,24,1,101004024
1,5,4,27,1,101004027
1,5,4,31,1,101004031
1,5,4,32,1,101004032
1,6,1,2,1,101001002
1,6,1,3,1,101001003
1,6,1,4,1,101001004
1,6,1,9,1,101001009
1,6,1,10,1,101001010
1,6,1,12,1,101001012
1,6,1,13,1,101001013
1,6,1,15,1,101001015
1,6,1,22,1,101001022
1,6,1,23,1,101001023
1,6,1,24,1,101001024
1,6,1,26,1,101001026
1,6,1,29,1,101001029
1,6,1,34,1,101001034
1,6,1,35,1,101001035
1,6,2,2,1,101002002
1,6,2,4,1,101002004
1,6,2,16,2,101002016
1,6,2,19,1,101002019
1,6,2,21,1,101002021
1,6,2,23,1,101002023
1,6,2,24,1,101002024
1,6,2,25,2,101002025
1,6,2,28,1,101002028
1,6,2,29,1,101002029
1,6,2,37,1,101002037
1,6,2,41,2,101002041
1,6,2,43,1,101002043
1,6,2,50,1,101002050
1,6,2,52,1,101002052
1,8,13,6,1,101013006
1,8,13,8,1,101013008
1,8,13,15,1,101013015
1,8,13,19,1,101013019
1,8,13,20,1,101013020
1,8,13,28,1,101013028
1,8,13,30,1,101013030
1,8,13,32,1,101013032
1,8,13,36,1,101013036
1,8,13,48,1,101013048
1,8,13,66,1,101013066
1,8,13,67,1,101013067
1,8,13,87,1,101013087
1,8,13,95,1,101013095
1,8,13,103,1,101013103
1,8,14,11,1,101014011
1,8,14,15,1,101014015
1,8,14,22,1,101014022
1,8,14,33,1,101014033
1,8,14,36,1,101014036
1,8,14,41,1,101014041
1,8,14,46,1,101014046
1,8,14,57,1,101014057
1,8,14,61,1,101014061
1,8,14,65,1,101014065
1,8,14,69,1,101014069
1,8,14,82,1,101014082
1,8,14,113,1,101014113
1,8,14,118,1,101014118
1,8,14,129,1,101014129
1,8,15,6,1,101015006
1,8,15,9,1,101015009
1,8,15,34,1,101015034
1,8,15,49,1,101015049
1,8,15,55,1,101015055
1,8,15,64,1,101015064
1,8,15,65,1,101015065
1,8,15,90,1,101015090
1,8,15,119,1,101015119
1,8,15,120,1,101015120
1,8,15,149,1,101015149
1,8,15,151,1,101015151
1,8,15,188,1,101015188
1,8,15,191,1,101015191
1,8,15,194,1,101015194
1,8,16,1,1,101016001
1,8,16,23,1,101016023
1,8,16,41,1,101016041
1,8,16,51,1,101016051
1,8,16,53,1,101016053
1,8,16,107,1,101016107
1,8,16,111,1,101016111
1,8,16,137,1,101016137
