"id1","id2","id3","id4","hhmid","s1d_1","s1d_2","sid_3i","s1d_3ii","s1d_3iii","s1d_4i","s1d_4ii","s1d_5","s1d_6","s1d_7","s1d_8","s1d_9","s1d_10ai","s1d_10aii","s1d_10bi","s1d_10bii","s1d_11","s1d_12i","s1d_12ii","s1d_13","s1d_14","s1d_15","s1d_16","s1d_17i","s1d_17ii","s1d_18","s1d_19","s1d_20i","s1d_20ii","s1d_21","s1d_22","s1d_23","s1d_24","s1d_25","s1d_26","s1d_27","s1d_28","s1d_29","s1d_30","s1d_31","s1d_32","s1d_33","hhno"
1,6,1,2,1,1,1,5,12,1980,28,,2,1,1,2,20,300,,15,,,450,,1,1,1,7,3,,3,6,2,,3,5,1,,1,,0,,,,,,,101001002
1,6,1,2,2,2,2,,,1987,22,,2,1,1,1,16,5,,50,,,150,,1,1,1,7,3,,1,6,3,,3,6,1,,1,,0,,,,,,,101001002
1,6,1,2,3,2,5,,,1944,65,,2,5,,,22,,,,,,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001002
1,6,1,2,4,2,3,27,3,2007,3,0,1,,,,,,,,,,,,1,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001002
1,6,1,2,5,1,3,29,4,2009,1,0,1,,,,,,,,,,,,1,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001002
1,6,1,3,1,1,1,4,4,1985,24,,2,1,2,,22,50,,0,,2007,70,,1,1,1,16,3,,3,6,3,,3,6,1,,1,,0,,,,,,,101001003
1,6,1,4,1,1,1,25,5,1984,25,,2,6,,,,,,,,,,,2,1,1,7,3,,3,2,3,,3,6,1,,1,,0,,,,,,,101001004
1,6,1,9,1,1,1,4,5,1985,24,,2,2,1,2,23,,,,,,,,7,1,1,7,3,,1,6,3,,1,6,1,,1,,0,,,,,,,101001009
1,6,1,9,2,2,2,10,4,1990,19,,2,2,1,1,18,,,,,,,,7,1,1,7,3,,12,14,3,,1,6,1,,1,,0,,,,,,,101001009
1,6,1,10,1,1,1,24,12,1924,70,,2,1,1,2,,50,,0,,1962,450,,1,1,1,7,2,,1,6,2,,12,14,1,,3,1,0,,,,,,,101001010
1,6,1,10,2,2,2,,,1944,65,,2,1,1,1,,0,0,60,0,1962,0,,1,1,1,7,2,,3,5,2,,1,6,1,,1,,0,,,,,,,101001010
1,6,1,12,1,2,1,,,1974,35,,2,4,,,20,,,,,,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001012
1,6,1,12,2,1,3,24,3,1988,21,,2,6,,,,,,,,,,,1,1,1,7,3,,3,6,1,1,,,1,,1,,0,,,,,,,101001012
1,6,1,12,3,1,3,17,4,2001,8,,1,,,,,,,,,,,,1,1,1,7,3,,1,6,1,1,,,1,,1,,0,,,,,,,101001012
1,6,1,13,1,1,1,,,1927,82,,2,2,1,2,20,,,,,,,,1,1,1,7,2,,1,6,2,,1,6,1,,5,1,0,,,,,,,101001013
1,6,1,13,2,2,2,,,1959,50,,2,2,1,1,21,,,,,,,,1,1,1,7,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101001013
1,6,1,15,1,2,1,24,8,1959,50,,2,4,,,18,100,,200,,1978,0,,5,1,1,16,2,,3,5,1,2,,,1,,1,,0,,,,,,,101001015
1,6,1,15,2,2,5,,,1929,80,,2,5,,,20,,,,,,0,,1,1,1,16,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001015
1,6,1,15,3,2,3,8,8,1995,14,,2,6,,,,,,,,,,,5,1,1,16,3,,1,6,1,1,,,1,,1,,0,,,,,,,101001015
1,6,1,15,4,1,4,17,1,2001,8,,1,,,,,,,,,,,,5,1,1,16,3,,1,8,3,,3,5,1,,1,,0,,,,,,,101001015
1,6,1,15,5,2,3,12,8,2003,6,,1,,,,,,,,,,,,5,1,1,16,3,,1,6,1,1,,,1,,1,,0,,,,,,,101001015
1,6,1,15,6,1,4,7,4,2004,5,0,1,,,,,,,,,,,,5,1,1,16,2,,3,5,3,,3,5,1,,1,,0,,,,,,,101001015
1,6,1,22,1,1,1,18,12,1985,24,,2,4,2,,22,20,,0,,2007,30,,1,1,1,7,3,,1,6,1,2,,,1,,1,,0,,,,,,,101001022
1,6,1,22,2,2,5,24,12,1954,55,,2,4,2,,19,10,,,,,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001022
1,6,1,22,3,1,3,4,1,2009,0,11,1,,,,,,,,,,,,1,1,1,7,1,1,,,3,,1,5,1,,1,,0,,,,,,,101001022
1,6,1,23,1,2,1,27,9,1955,54,,2,5,,,22,,,,,,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001023
1,6,1,23,2,1,3,7,10,1993,16,,2,6,,,,,,,,,,,1,1,1,7,2,,6,6,1,1,,6,1,,1,,0,,,,,,,101001023
