"id1","id2","hhno","hhmid","s1gii_14","s1gii_15","s1gii_16i","s1gii_16_11","s1gii_16_112","s1gii_16ii","s1gii_16_211","s1gii_16_212","s1gii_16iii","s1gii_16_311","s1gii_16_312","s1gii_16iv","s1gii_16_411","s1gii_16_412","s1gii_17i","s1gii_17ii","s1gii_17iii","s1gii_17iv","s1gii_18i","s1gii_18ii","s1gii_18iii","s1gii_18iv","s1gii_19i","s1gii_19ii","s1gii_19iii","s1gii_19iv","s1gii_20i","s1gii_20ii","s1gii_20iii","s1gii_20iv","s1gii_21i","s1gii_21ii","s1gii_21iii","s1gii_21iv","s1gii_22i","s1gii_22ii","s1gii_22iiii","s1gii_22iv","s1gii_23i","s1gii_23ii","s1gii_23iii","s1gii_23iv","s1gii_24i","s1gii_2ii","s1gii_24iii","s1gii_24iv","s1gii_25i","s1gii_25ii","s1gii_25iii","s1gii_25iv","s1gii_26i","s1gii_26ii","s1gii_26iii","s1gii_26iv","s1gii_27i","s1gii_27ii","s1gii_27iii","s1gii_27iv","s1gii_28i","s1gii_28ii","s1gii_28iii","s1gii_28iv","s1gii_29i","s1gii_29ii","s1gii_29iii","s1gii_29iv"
1,1,101003004,1,1,1,,,,,,,,,,,,,,,,,7,,,,25,,,,41,,,,2,,,,4,,,,1,,,,2,,,,2,,,,8,,,,2,,,,921,,,,1543,,,
1,1,101003005,1,1,1,,,,,,,,,,,,,,,,,7,,,,40,,,,41,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101003012,1,1,1,,,,,,,,,,,,,,,,,7,,,,6,,,,15,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101003012,2,2,1,,,,,,,,,,,,,,,,,7,,,,8,,,,18,,,,5,,,,4,,,,1,,,,2,,,,2,,,,36,,,,1,,,,523,,,,5252,,,
1,1,101003015,1,1,1,,,,,,,,,,,,,,,,,7,,,,20,,,,23,,,,2,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101003020,1,1,1,,,,,,,,,,,,,,,,,7,,,,50,,,,53,,,,7,,,,2,,,,1,,,,4,,,,2,,,,3,,,,2,,,,522,,,,5252,,,
1,1,101003046,1,1,1,12,,"OHIAMADWENE",,,,,,,,,,1,,,,,,,,38,,,,39,,,,2,,,,4,,,,1,,,,2,,,,2,,,,2,,,,2,,,,621,,,,130,,,
1,1,101008044,1,1,3,11,"DUNKWA OFFIN",,11,"PRETEA",,11,"ASAMAN",,,,,1,1,1,,,,,,22,21,20,,23,22,21,,2,2,2,,6,6,6,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,2,2,2,,931,931,931,,1321,1321,1321,
1,1,101008044,2,2,3,5,,,3,,,9,,,,,,3,2,1,,,,,,18,16,15,,20,17,16,,7,7,7,,4,4,1,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101008074,1,1,1,11,"AHENASE",,9,,,,,,,,,1,1,,,,,,,31,27,,,34,29,,,3,7,,,6,4,,,1,2,,,4,,,,1,,,,1,,,,2,,,,523,,,,5220,,,
1,1,101008078,1,1,1,11,"DADWE",,,,,,,,,,,1,,,,,,,,30,,,,40,,,,3,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101006056,1,1,1,,,,,,,,,,,,,,,,,7,,,,5,,,,11,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101006060,1,1,1,,,,,,,,,,,,,,,,,7,,,,59,,,,60,,,,7,,,,4,,,,1,,,,2,,,,2,,,,1,,,,1,,,,911,,,,5232,,,
1,2,101007004,1,1,3,12,,"TAKINTA",11,"HALF ASSINI",,9,,,,,,1,1,1,,,,,,40,44,47,,43,45,51,,1,1,1,,5,5,5,,1,1,1,,1,1,1,,1,1,1,,,,,,2,2,2,,512,512,512,,5520,5520,5520,
1,2,101007004,2,2,3,9,,,11,"JIRAPA",,11,"BIBIANI",,,,,1,10,1,,,,,,30,35,40,,33,39,42,,7,7,7,,4,4,4,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007010,2,1,1,11,"SEFWI",,,,,,,,,,,1,,,,,,,,,,,,14,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007010,1,1,3,,,,11,"ASAMANKESE",,11,"AKYEM ODA",,,,,,5,5,,7,,,,34,36,38,,36,38,39,,2,2,2,,4,5,5,,1,2,2,2,4,,,,5,,,,6,,,,2,,,,911,,,,5211,,,
1,2,101007011,1,1,2,12,,"KIKAM",12,,"HALF ASSINI",,,,,,,1,1,,,,,,,27,29,,,29,37,,,7,2,,,4,5,,,1,1,,,2,3,,,6,6,,,1,0,,,1,2,,,831,831,,,6021,6021,,
1,2,101007014,1,1,1,12,,"KONGULI",,,,,,,,,,1,,,,,,,,48,,,,49,,,,2,,,,,,,,1,,,,4,,,,4,,,,1,,,,2,,,,921,,,,501,,,
1,2,101007025,1,1,1,11,"PRESTEA",,,,,,,,,,,1,,,,,,,,,,,,5,,,,5,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007026,1,1,1,12,,"ABOSO",,,,,,,,,,1,,,,,,,,20,,,,23,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007026,2,1,1,5,,,,,,,,,,,,3,,,,,,,,19,,,,21,,,,7,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007033,2,2,2,11,"OBUASI",,,,,,,,,,,6,,,,,,,,30,,,,32,,,,7,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007033,4,1,1,11,"OBUASI",,,,,,,,,,,6,,,,,,,,4,,,,6,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007033,3,1,1,11,"OBUASI",,,,,,,,,,,6,,,,,,,,6,,,,8,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007033,1,1,1,11,"OBUASI",,,,,,,,,,,6,,,,,,,,35,,,,37,,,,2,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101007040,1,1,3,4,,,11,"WINNEBA",,11,"BIBIANI",,,,,5,2,1,,,,,,21,26,45,,26,45,48,,1,2,6,,6,6,4,,1,1,1,,1,4,4,,1,2,2,,0,0,36,,2,2,2,,833,833,831,,113,130,1321,
1,2,101007068,2,2,1,11,"PRESTEA",,,,,,,,,,,1,,,,,,,,5,,,,19,,,,5,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
