"id1","id2","id3","id4","otrans_no","s3biii_26","s3biii_27ii","s3biii_28","s3biii_29","s3biii_31ii","s3biii_32","s3biii_33","s3biii_33_1","s3biii_33_2","s3biii_33_3","s3biii_33_4","s3biii_33_5","s3biii_34i","s3biii_34ii","s3biii_35i","s3biii_35ii","s3biii_36i","s3biii_36ii","s3biii_37","hhno"
1,6,1,2,1,1,,,7,,3,"5",5,,,,,100,0,50,0,0,0,4,101001002
1,6,1,2,2,1,,,5,,3,"5",5,,,,,100,0,35,0,0,0,4,101001002
1,6,1,3,1,1,,1,88,-8,1,"1,6",1,6,,,,540,0,50,0,0,0,3,101001003
1,6,1,4,1,1,,1,7,,3,"1,5",1,5,,,,200,0,50,0,0,0,1,101001004
1,6,1,12,1,1,1,1,1,-8,2,"1,5",1,5,,,,100,0,35,0,40,0,4,101001012
1,6,1,22,1,1,-8,1,88,-8,1,"1",1,,,,,350,0,30,0,10,0,3,101001022
1,6,1,23,1,1,,,2,,1,"1",1,,,,,30,0,20,0,0,0,3,101001023
1,6,1,35,1,1,-8,1,88,,3,"1,5",1,5,,,,400,0,0,0,0,0,3,101001035
1,6,2,16,1,1,-8,1,6,,5,"1,4,6",1,4,6,,,1000,0,0,0,0,0,3,101002016
1,6,2,29,1,1,,1,2,,2,"1,6,7",1,6,7,,,600,0,0,0,0,0,4,101002029
1,6,2,37,1,1,1,1,1,,2,"1,5,6",1,5,6,,,40,0,25,0,0,0,3,101002037
1,6,2,37,2,1,2,1,2,,2,"1,5,6",1,5,6,,,40,0,25,0,0,0,3,101002037
1,6,2,41,1,1,,1,8,,1,"1,5,6",1,5,6,,,300,0,100,0,0,0,3,101002041
1,1,3,9,1,1,,1,1,,3,"1",1,,,,,10,0,0,0,0,0,3,101003009
1,1,3,43,1,1,,1,2,,5,"3",3,,,,,12,0,0,0,0,0,3,101003043
1,1,3,46,1,1,,1,1,,3,"1",1,,,,,30,0,20,0,0,0,3,101003046
1,5,4,1,1,2,-8,1,88,,5,"1,5",1,5,,,,120,0,0,0,0,0,3,101004001
1,5,4,6,1,1,,1,5,-8,2,"1",1,,,,,300,0,480,0,60,0,3,101004006
1,5,4,10,1,1,-8,1,6,,2,"1,5",1,5,,,,96,0,180,0,0,0,3,101004010
1,5,4,14,1,1,-8,1,4,,2,"1",1,,,,,480,0,0,0,0,0,3,101004014
1,5,4,16,1,2,,1,88,-8,2,"1",1,,,,,120,0,0,0,0,0,3,101004016
1,5,4,24,1,1,,1,2,-8,5,"1",1,,,,,80,0,0,0,0,0,4,101004024
1,5,4,27,1,1,1,1,1,,,"1",1,,,,,300,0,0,0,0,0,3,101004027
1,5,4,27,2,1,1,1,2,,1,"1,5",1,5,,,,204,0,0,0,0,0,3,101004027
1,5,4,31,1,1,,1,88,-8,5,"1,6",1,6,,,,360,0,0,0,0,0,3,101004031
1,2,6,64,1,1,,1,3,,5,"6",6,,,,,60,0,15,0,0,0,4,101006064
1,2,7,7,1,1,,1,7,-8,5,"1",1,,,,,30,0,50,0,0,0,4,101007007
1,2,7,11,1,1,,1,88,,1,"1",1,,,,,240,0,35,0,25,0,3,101007011
1,2,7,28,1,1,,1,6,,5,"1,5",1,5,,,,12,0,0,0,0,0,8,101007028
1,2,7,36,1,1,3,,,,5,"1,5",1,5,,,,0,0,2,0,0,0,4,101007036
1,2,7,82,1,1,-8,1,7,,2,"1",1,,,,,300,0,0,0,0,0,3,101007082
1,1,8,14,1,1,,1,2,-8,2,"1,10",1,10,,,,600,0,100,0,120,0,3,101008014
1,1,8,19,1,1,,1,4,-8,2,"1,5",1,5,,,,720,0,960,0,0,0,4,101008019
1,1,8,22,1,1,,1,1,-8,3,"1,5",1,5,,,,150,0,70,0,50,0,3,101008022
1,1,8,29,1,1,-8,1,2,-8,2,"1,5,13",1,5,13,,,360,0,90,0,0,0,3,101008029
1,1,8,44,1,1,,1,1,,3,"1,5",1,5,,,,200,0,0,0,0,0,3,101008044
1,1,8,47,1,1,,1,3,-8,2,"1",1,,,,,120,0,0,0,10,0,3,101008047
1,1,8,60,1,1,-8,1,88,-8,2,"5",5,,,,,240,0,0,0,0,0,3,101008060
1,1,8,60,2,1,-8,1,88,-8,2,"1",1,,,,,240,0,60,0,0,0,3,101008060
1,1,8,67,1,1,,1,8,,2,"1,5",1,5,,,,360,0,50,0,45,0,3,101008067
1,1,8,74,2,1,,1,3,-8,1,"1",1,,,,,240,0,15,0,45,0,3,101008074
1,1,8,74,1,1,,1,2,-8,2,"1,3",1,3,,,,240,0,50,0,200,0,3,101008074
1,1,8,78,2,1,-8,1,2,-8,3,"1",1,,,,,0,0,70,0,0,0,4,101008078
1,1,8,78,1,1,-8,1,1,-8,3,"1",1,,,,,0,0,70,0,0,0,4,101008078
1,13,9,68,2,1,,1,3,,2,"1,5",1,5,,,,1500,0,0,0,0,0,1,101009068
1,13,9,68,1,1,,1,5,,2,"1,5",1,5,,,,800,0,0,0,0,0,1,101009068
1,13,9,136,1,1,2,1,2,,5,"1,4,6",1,4,6,,,180,0,0,0,30,0,4,101009136
1,13,9,180,1,1,,1,2,,5,"1,4,6",1,4,6,,,400,0,50,0,0,0,4,101009180
1,13,9,180,2,2,,1,6,,3,"1,4,6",1,4,6,,,60,0,0,0,30,0,4,101009180
1,13,9,191,1,1,,1,1,,5,"1,6,8",1,6,8,,,200,0,0,0,0,0,4,101009191
1,13,9,195,1,1,,1,1,,5,"1,6,8",1,6,8,,,240,0,0,0,0,0,4,101009195
1,13,9,206,1,1,,1,1,,1,"1,5,6",1,5,6,,,900,0,40,0,0,0,3,101009206
1,13,9,227,1,1,,1,6,,3,"1,5,6",1,5,6,,,1000,0,0,0,0,0,3,101009227
1,13,9,235,1,1,,1,2,,2,"1,4,6",1,4,6,,,1800,0,0,0,0,0,4,101009235
1,13,9,235,2,2,,1,9,,5,"1,2,3",1,2,3,,,100,0,0,0,0,0,4,101009235
1,13,9,258,1,1,1,1,2,,2,"1,4,6",1,4,6,,,600,0,0,0,0,0,4,101009258
1,13,9,258,2,2,1,1,9,,5,"1,4,6",1,4,6,,,200,0,0,0,0,0,4,101009258
1,13,10,40,1,1,-8,1,1,-8,5,"3",3,,,,,250,0,66,0,0,0,4,101010040
1,13,10,64,1,1,-8,1,1,-8,1,"1",1,,,,,2000,0,300,0,500,0,3,101010064
1,13,10,95,1,1,-8,2,,,2,"1,5",1,5,,,,180,0,80,0,100,0,3,101010095
1,13,10,113,1,1,,1,10,-8,1,"1,5",1,5,,,,300,0,100,0,150,0,3,101010113
1,13,10,113,2,1,,1,11,-8,1,"1,5",1,5,,,,300,0,100,0,150,0,3,101010113
1,13,10,132,1,1,-8,1,1,,5,"1",1,,,,,16,0,16,0,12,0,3,101010132
1,13,10,132,2,1,-8,1,2,,5,"1",1,,,,,300,0,16,0,0,0,3,101010132
1,13,10,150,1,1,,1,4,-8,1,"6",6,,,,,300,0,50,0,0,0,3,101010150
1,13,10,163,3,1,-8,1,6,-8,1,"1,5",1,5,,,,35,0,25,0,0,0,3,101010163
1,13,10,163,1,1,-8,1,4,-8,5,"1,5",1,5,,,,20,0,15,0,25,0,3,101010163
1,13,10,163,2,1,-8,1,5,-8,5,"1,5",1,5,,,,30,0,10,0,15,0,3,101010163
1,13,10,164,2,1,-8,1,6,-8,5,"1",1,,,,,60,0,0,0,0,0,3,101010164
1,13,10,164,1,1,-8,1,5,-8,5,"1",1,,,,,100,0,0,0,0,0,3,101010164
1,13,10,175,1,1,-8,1,5,-8,1,"1",1,,,,,300,0,80,0,60,0,3,101010175
1,13,11,48,1,1,,1,1,,5,"1,3",1,3,,,,250,0,0,0,0,0,4,101011048
1,13,11,48,2,1,,1,2,,2,"1,3",1,3,,,,500,0,0,0,0,0,1,101011048
1,13,11,50,2,1,-8,1,2,,3,"5",5,,,,,1350,0,0,0,0,0,4,101011050
1,13,11,50,1,1,-8,1,1,,2,"1,5",1,5,,,,1800,0,0,0,0,0,4,101011050
1,13,11,58,1,1,-8,1,7,,2,"1,5",1,5,,,,1200,0,0,0,0,0,1,101011058
1,13,11,85,1,1,,1,5,,5,"1",1,,,,,100,0,200,0,0,0,3,101011085
1,13,11,146,1,1,-8,1,3,,5,"1,6",1,6,,,,300,0,0,0,0,0,3,101011146
1,13,12,7,1,1,,1,1,,3,"1,5",1,5,,,,600,0,400,0,200,0,1,101012007
1,13,12,7,2,2,,1,2,,3,"1,5,6",1,5,6,,,600,0,400,0,150,0,1,101012007
1,13,12,14,1,1,,1,2,,3,"1,4,6",1,4,6,,,500,0,0,0,0,0,4,101012014
1,13,12,17,1,1,,1,2,,2,"1,2,5",1,2,5,,,2500,0,500,0,500,0,1,101012017
1,13,12,36,1,1,,1,4,,5,"1,3,4",1,3,4,,,200,0,0,0,0,0,3,101012036
1,13,12,39,1,1,,1,1,,3,"1,5,6",1,5,6,,,400,0,140,0,120,0,4,101012039
1,13,12,50,1,1,,1,88,,3,"1,5",1,5,,,,200,0,0,0,0,0,4,101012050
1,13,12,51,1,1,,1,5,,3,"1,5",1,5,,,,0,0,0,0,1200,0,3,101012051
1,13,12,55,1,1,,1,3,,2,"1,5,6",1,5,6,,,3000,0,0,0,50,0,1,101012055
1,13,12,85,1,1,,1,2,,2,"1,6,8",1,6,8,,,1200,0,0,0,100,0,2,101012085
1,13,12,85,2,2,,1,6,,2,"1,3,6",1,3,6,,,600,0,80,0,100,0,3,101012085
1,13,12,94,1,1,,1,88,,2,"1,5,6",1,5,6,,,100,0,100,0,200,0,3,101012094
