"id1","id2","id3","id4","s4avi1_plotno","s4avi_a161i","s4avi_a162","s4avi_a163","s4avi_a164i","s4avi_a164ii","s4avi_a165i","s4avi_a165ii","s4avi_a166","s4avi_a167i","s4avi_a167ii","s4avi_a168i","s4avi_a168ii","s4avi_a169i","s4avi_a169ii","s4avi_a169iii","s4avi_a169iv","s4avi_a170i","s4avi_a170","s4avi_a171","s4avi_a172i","s4avi_a172ii","s4avi_a173i","s4avi_a173ii","s4avi_a174","s4avi_a175i","s4avi_a175ii","s4avi_a176i","s4avi_a176ii","s4avi_a177i","s4avi_a177ii","s4avi_a177iii","s4avi_a177iv","s4avi_a178i","s4avi_a178","s4avi_a179","s4avi_a180i","s4avi_a180ii","s4avi_a181i","s4avi_a181ii","s4avi_a182","s4avi_a183i","s4avi_a183ii","s4avi_a184i","s4avi_a184ii","s4avi_a185i","s4avi_a185ii","s4avi_a185iii","s4avi_a185iv","s4avi_a186i","s4avi_a186","s4avi_a187","s4avi_a188i","s4avi_a188ii","s4avi_a189i","s4avi_a189ii","s4avi_a190","s4avi_a191i","s4avi_a191ii","s4avi_a192i","s4avi_a192ii","s4avi_a193i","s4avi_a193ii","s4avi_a193iii","s4avi_a193iv","s4avi_a194i","s4avi_a194","s4avi_a195","s4avi_a196i","s4avi_a196ii","s4avi_a197i","s4avi_a197ii","s4avi_a198","s4avi_a199i","s4avi_a199ii","s4avi_a200i","s4avi_a200ii","s4avi_a201i","s4avi_a201ii","s4avi_a201iii","s4avi_a201iv","hhno"
1,2,5,13,2,3,1,3,5,29,9,50,3,,,,,6,5,,,15,1,2,5,29,9,50,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,1,3,1,3,5,29,9,50,3,,,,,6,5,,,15,1,2,5,29,9,50,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005013
1,2,5,33,2,10,1,3,1,29,50,,3,,,,,19,37,,,15,1,2,4,29,50,,3,,,,,19,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,33,1,10,1,3,1,29,50,,3,,,,,5,27,37,,15,1,2,4,29,50,,3,,,,,5,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,33,3,10,1,3,1,29,50,,3,,,,,5,,,,15,1,2,4,29,50,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,36,2,6,1,3,1,15,6,,3,,,,,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,3,6,1,3,1,15,6,,3,,,,,19,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,1,6,1,3,1,15,6,,3,,,,,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,6,15,1,18,1,4,3,15,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006015
1,2,6,23,1,18,1,4,3,15,54,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006023
1,2,7,11,1,16,1,2,6,41,66,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007011
1,2,25,2,1,78,1,2,10,19,100,,3,,,,,6,,,,1,1,4,6,15,90,,3,,,,,6,,,,51,1,5,40,37,28,,3,,,,,6,,,,18,1,,12,15,180,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,2,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,3,1,18,1,4,1,19,20,,1,1,19,20,,6,,,,1,1,4,2,15,30,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025003
1,2,25,6,2,1,1,4,1,15,15,,3,,,,,6,,,,15,1,2,1,19,15,,3,,,,,6,,,,16,1,3,10,37,10,,3,,,,,6,29,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,6,1,1,1,4,3,15,45,,3,,,,,6,,,,15,1,2,2,19,30,,3,,,,,6,,,,,2,,,,,,,,,,,,,,,55,1,3,10,37,10,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025006
