"id1","id2","id3","id4","crop_no","plotno","s4bi_b63i","s4bi_b63ii","s4bi_b64","s4bi_b65i","s4bi_b65ii","s4bi_b66i","s4bi_b661i","s4bi_b661ii","s4bi_b67i","s4bi_b67ii","s4bi_b68","s4bi_b69i","s4bi_b69ii","s4bi_b70","s4bi_b71i","s4bi_b71ii","s4bi_b72i","s4bi_b72ii","hhno"
1,1,3,5,8,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,4,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,2,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,6,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,10,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,15,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,7,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,11,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,13,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,5,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,3,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,1,1,7,7,3,0.5,,2,,,,,2,,,2,180,,,,101003005
1,1,3,5,12,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,14,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,5,9,1,,,,,,,,,,,,,,,,,,,101003005
1,1,3,40,13,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,5,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,10,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,4,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,7,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,3,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,2,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,15,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,12,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,11,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,6,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,9,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,8,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,40,1,1,7,7,3,2,44,2,,,,,2,,,2,244,,,,101003040
1,1,3,40,14,1,,,,,,,,,,,,,,,,,,,101003040
1,1,3,43,8,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,11,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,7,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,14,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,10,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,6,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,9,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,13,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,4,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,15,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,1,1,5,6,3,0.5,,2,,,,,2,,,2,120,,,,101003043
1,1,3,43,3,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,5,1,,,,,,,,,,,,,,,,,,,101003043
1,1,3,43,2,1,29,7,3,0.5,,2,,,,,2,,,2,30,,,,101003043
1,1,3,43,12,1,,,,,,,,,,,,,,,,,,,101003043
1,1,8,4,15,1,,,,,,,,,,,,,,,,,,,101008004
1,1,8,4,14,1,,,,,,,,,,,,,,,,,,,101008004
