"id1","id2","id3","id4","cropno","s4bii_b74i","s4bii_b74ii","s4bii_b75i","s4bii_b75ii","s4bii_b76i","s4bii_b76ii","s4bii_b77","s4bii_b78","s4bii_b79","s4bii_b80","s4bii_b81","s4bii_b82","hhno"
1,1,8,22,6,,,,,,,,,,,,,101008022
1,1,8,22,8,,,,,,,,,,,,,101008022
1,1,8,22,1,19,"MAIZE",2,2,8,2,2,1,"DDT",2,,,101008022
1,1,8,22,9,,,,,,,,,,,,,101008022
1,1,8,22,11,,,,,,,,,,,,,101008022
1,1,8,22,4,,,,,,,,,,,,,101008022
1,1,8,22,5,,,,,,,,,,,,,101008022
1,1,8,22,13,,,,,,,,,,,,,101008022
1,1,8,22,10,,,,,,,,,,,,,101008022
1,1,8,22,7,,,,,,,,,,,,,101008022
1,1,8,22,14,,,,,,,,,,,,,101008022
1,1,8,22,3,,,,,,,,,,,,,101008022
1,1,8,22,12,,,,,,,,,,,,,101008022
1,1,8,22,15,,,,,,,,,,,,,101008022
1,1,8,22,2,,,,,,,,,,,,,101008022
1,1,8,44,3,,,,,,,,,,,,,101008044
1,1,8,44,9,,,,,,,,,,,,,101008044
1,1,8,44,8,,,,,,,,,,,,,101008044
1,1,8,44,15,,,,,,,,,,,,,101008044
1,1,8,44,6,,,,,,,,,,,,,101008044
1,1,8,44,10,,,,,,,,,,,,,101008044
1,1,8,44,7,,,,,,,,,,,,,101008044
1,1,8,44,1,19,"MAIZE",2,18,2,6,2,2,,2,,,101008044
1,1,8,44,11,,,,,,,,,,,,,101008044
1,1,8,44,5,,,,,,,,,,,,,101008044
1,1,8,44,4,,,,,,,,,,,,,101008044
1,1,8,44,14,,,,,,,,,,,,,101008044
1,1,8,44,12,,,,,,,,,,,,,101008044
1,1,8,44,2,,,,,,,,,,,,,101008044
1,1,8,44,13,,,,,,,,,,,,,101008044
1,1,8,47,2,,,,,,,,,,,,,101008047
1,1,8,47,7,,,,,,,,,,,,,101008047
1,1,8,47,14,,,,,,,,,,,,,101008047
1,1,8,47,10,,,,,,,,,,,,,101008047
1,1,8,47,13,,,,,,,,,,,,,101008047
1,1,8,47,12,,,,,,,,,,,,,101008047
1,1,8,47,15,,,,,,,,,,,,,101008047
1,1,8,47,1,37,"TOMATOES",1,17,1,17,6,2,,2,,,101008047
1,1,8,47,6,,,,,,,,,,,,,101008047
1,1,8,47,11,,,,,,,,,,,,,101008047
1,1,8,47,8,,,,,,,,,,,,,101008047
1,1,8,47,3,,,,,,,,,,,,,101008047
1,1,8,47,9,,,,,,,,,,,,,101008047
1,1,8,47,5,,,,,,,,,,,,,101008047
1,1,8,47,4,,,,,,,,,,,,,101008047
1,1,8,67,13,,,,,,,,,,,,,101008067
1,1,8,67,14,,,,,,,,,,,,,101008067
1,1,8,67,4,,,,,,,,,,,,,101008067
1,1,8,67,8,,,,,,,,,,,,,101008067
1,1,8,67,10,,,,,,,,,,,,,101008067
1,1,8,67,12,,,,,,,,,,,,,101008067
1,1,8,67,5,,,,,,,,,,,,,101008067
1,1,8,67,6,,,,,,,,,,,,,101008067
1,1,8,67,15,,,,,,,,,,,,,101008067
1,1,8,67,3,,,,,,,,,,,,,101008067
1,1,8,67,9,,,,,,,,,,,,,101008067
1,1,8,67,2,,,,,,,,,,,,,101008067
1,1,8,67,7,,,,,,,,,,,,,101008067
1,1,8,67,11,,,,,,,,,,,,,101008067
1,1,8,67,1,19,"MAIZE",2,18,3,6,2,1,"AKATI MASTER",1,5,"5",101008067
1,2,5,13,9,,,,,,,,,,,,,101005013
1,2,5,13,13,,,,,,,,,,,,,101005013
1,2,5,13,15,,,,,,,,,,,,,101005013
1,2,5,13,1,6,"COCOA",67,19,30,19,2,2,,2,,,101005013
1,2,5,13,4,,,,,,,,,,,,,101005013
1,2,5,13,10,,,,,,,,,,,,,101005013
1,2,5,13,2,5,"CASSAVA",30,19,5,19,1,2,,2,,,101005013
1,2,5,13,11,,,,,,,,,,,,,101005013
1,2,5,13,3,28,"PEPPER",25,19,10,19,2,2,,1,10,"2",101005013
1,2,5,13,6,,,,,,,,,,,,,101005013
1,2,5,13,8,,,,,,,,,,,,,101005013
1,2,5,13,7,,,,,,,,,,,,,101005013
1,2,5,13,12,,,,,,,,,,,,,101005013
1,2,5,13,14,,,,,,,,,,,,,101005013
1,2,5,13,5,,,,,,,,,,,,,101005013
1,2,5,33,6,,,,,,,,,,,,,101005033
1,2,5,33,2,19,"PEPPER",2,18,3,6,2,2,,2,,,101005033
1,2,5,33,14,,,,,,,,,,,,,101005033
1,2,5,33,11,,,,,,,,,,,,,101005033
1,2,5,33,5,,,,,,,,,,,,,101005033
1,2,5,33,3,,,,,,,,,,,,,101005033
1,2,5,33,4,,,,,,,,,,,,,101005033
1,2,5,33,7,,,,,,,,,,,,,101005033
1,2,5,33,13,,,,,,,,,,,,,101005033
1,2,5,33,10,,,,,,,,,,,,,101005033
1,2,5,33,12,,,,,,,,,,,,,101005033
1,2,5,33,8,,,,,,,,,,,,,101005033
1,2,5,33,1,5,"CASSAVA",7,18,4,18,1,2,,2,,,101005033
1,2,5,33,15,,,,,,,,,,,,,101005033
1,2,5,33,9,,,,,,,,,,,,,101005033
