"id1","id2","id3","id4","entno","s5c_1a","s5c_1b","s5c_1ci","s5c_1cii","s5c_2a","s5c_2b","s5c_2ci","s5c_2cii","s5c_3a","s5c_3b","s5c_3ci","s5c_3cii","s5c_4a","s5c_4b","s5c_4ci","s5c_4cii","s5c_5a","s5c_5b","s5c_5ci","s5c_5cii","s5c_6a","s5c_6b","s5c_6ci","s5c_6cii","s5c_7a","s5c_7b","s5c_7ci","s5c_7cii","s5c_8a","s5c_8b","s5c_8ci","s5c_8cii","s5c_9a","s5c_9b","s5c_9ci","s5c_9cii","s5c_10a","s5c_10b","s5c_10ci","s5c_10cii","s5c_11a","s5c_11b","s5c_11ci","s5c_11cii","s5c_12a","s5c_12b","s5c_12ci","s5c_12cii","s5c_13a","s5c_13b","s5c_13ci","s5c_13cii","s5c_14a","s5c_14b","s5c_14ci","s5c_14cii","s5c_15a","s5c_15b","s5c_15ci","s5c_15cii","s5c_16a","s5c_16b","s5c_16ci","s5c_16cii","s5c_17a","s5c_17b","s5c_17ci","s5c_17cii","s5c_18","s5c_18a","s5c_18b","s5c_18ci","s5c_18cii","s5c_19","s5c_19a","s5c_19b","s5c_19ci","s5c_19cii","s5c_20","s5c_20a","s5c_20b","s5c_20ci","s5c_20cii","hhno"
1,6,1,10,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101001010
1,6,2,4,1,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002004
1,6,2,16,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002016
1,6,2,21,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002021
1,6,2,23,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002023
1,6,2,23,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002023
1,6,2,24,1,2,1,300,0,7,1,2,50,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0,70,8,0,0,0,8,0,0,0,8,0,0,0,2,1,5,0,8,0,0,0,2,1,10,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002024
1,6,2,37,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002037
1,6,2,41,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002041
1,6,2,52,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,101002052
