"id1","id2","id3","id4","hhmid","s9a_iii","s9a_01","s9a_02","s9a_03","s9a_a1","s9a_a2","s9a_a3","s9a_a4","s9a_a5","s9a_a6","s9a_a7","s9a_a8","s9a_a9","s9a_a10","s9a_a11","s9a_a12","s9a_a13","s9a_a14i","s9a_a14ii","hhno"
1,6,1,2,4,2,1,,,1,6,1,4,7,2,2,1,0,0,1,2,2,,,101001002
1,6,1,2,5,2,1,,,1,87,1,3,6,2,2,1,0,0,1,1,2,,,101001002
1,6,1,22,3,2,1,,,2,,4,4,5,2,2,3,0,0,1,5,2,,,101001022
1,6,1,26,3,2,1,,,2,24,6,8,10,2,2,1,0,0,1,5,1,15,,101001026
1,6,1,26,4,2,1,,,1,87,6,7,87,2,2,1,0,0,1,4,1,7,,101001026
1,6,1,29,3,2,1,,,1,24,1,3,8,2,2,1,0,0,2,,,,,101001029
1,6,1,29,4,2,1,,,1,87,1,3,87,2,2,1,0,0,1,4,2,,,101001029
1,6,1,35,7,2,1,,,2,12,1,2,6,2,2,1,0,0,2,,,,,101001035
1,6,1,35,8,2,1,,,1,87,1,2,87,2,2,1,0,0,1,4,1,2,80,101001035
1,6,2,16,3,2,1,,,1,18,1,3,3,2,2,1,0,0,2,,,,,101002016
1,6,2,16,4,2,1,,,1,87,1,3,3,2,2,1,0,0,1,6,1,7,,101002016
1,6,2,23,4,2,1,,,1,18,1,3,3,2,2,1,0,5,1,6,1,9,,101002023
1,6,2,23,5,2,1,,,1,87,1,3,3,2,2,1,0,0,1,8,1,,10,101002023
1,6,2,25,5,2,1,,,1,14,,,,2,2,4,0,0,2,,,,,101002025
1,6,2,25,6,2,1,,,1,16,,,,2,2,4,0,0,2,,,,,101002025
1,6,2,37,3,1,1,,,1,15,1,3,3,2,2,1,0,0,2,,,,,101002037
1,6,2,41,5,2,1,,,1,12,6,12,18,2,2,3,0,0,2,,,,,101002041
1,1,3,9,4,2,1,,,1,15,6,6,6,2,2,1,0,0,1,3,1,8,,101003009
1,1,3,11,6,2,1,,,1,14,4,4,4,2,,1,0,0,1,6,2,,,101003011
1,1,3,11,7,2,1,,,1,87,3,3,3,2,,1,0,0,1,2,2,,,101003011
1,1,3,12,4,2,1,,,1,87,3,3,87,2,,1,0,0,1,4,2,,,101003012
1,1,3,43,5,2,1,,,1,18,6,6,6,,,,,,,,,,,101003043
1,1,3,46,7,2,1,,,1,24,6,6,12,2,2,1,0,0,1,4,2,,,101003046
1,5,4,10,9,8,1,,,1,19,1,1,1,2,2,1,0,3,2,,,,,101004010
1,5,4,14,5,1,1,,,1,87,3,87,87,2,2,1,0,0,1,4,2,,,101004014
1,5,4,16,6,2,1,,,1,87,1,6,6,2,2,1,0,0,1,4,2,,,101004016
1,5,4,17,2,1,1,,,1,13,6,7,7,2,2,1,0,0,1,3,1,10,,101004017
1,5,4,17,3,1,1,,,1,87,6,7,7,2,2,1,0,0,1,3,2,,,101004017
1,5,4,24,3,2,1,,,1,15,1,5,5,2,2,1,0,0,2,,,,,101004024
1,5,4,31,4,1,1,,,1,24,6,6,11,2,2,1,5,5,2,,,,,101004031
1,2,5,3,4,2,1,,,1,12,12,12,12,2,2,1,0,0,2,,,,,101005003
1,2,5,3,5,2,1,,,1,12,12,12,12,2,2,1,0,0,2,,,,,101005003
1,2,5,3,6,3,1,,,1,12,12,12,12,2,2,7,0,0,2,,,,,101005003
1,2,5,13,7,1,1,,,1,18,6,6,6,2,2,1,0,0,1,2,2,,,101005013
1,2,5,23,4,1,1,,,1,12,7,8,8,2,2,2,3,0,1,5,2,,,101005023
1,2,5,24,3,2,1,,,1,87,87,87,87,2,2,1,0,0,2,,,,,101005024
1,2,5,33,5,1,1,,,2,12,12,12,12,2,2,3,2,0,2,,,,,101005033
1,2,5,36,7,3,1,,,2,,24,24,24,2,2,1,0,0,1,4,2,,,101005036
1,2,6,11,3,1,2,2,,1,3,6,6,6,2,2,1,,,2,,,,,101006011
1,2,6,11,4,1,2,,6,1,87,87,,87,2,2,1,,,2,,,,,101006011
1,2,6,55,3,2,2,4,,1,9,1,3,3,1,,1,0,0,2,,,,,101006055
1,2,6,59,3,2,2,1,4,1,87,1,3,3,2,2,1,0,0,1,3,2,,,101006059
1,2,7,10,3,2,1,,,1,19,2,3,3,2,2,1,0,0,2,,,,,101007010
1,2,7,19,6,2,1,,,1,18,3,5,6,2,2,1,0,0,1,1,2,,,101007019
1,2,7,19,7,2,1,,,1,16,3,5,6,2,2,1,0,0,1,2,2,,,101007019
1,2,7,25,3,1,1,,,1,24,1,3,3,2,2,1,2,0,2,,,,,101007025
1,2,7,25,5,1,1,,,1,87,2,3,3,2,2,1,0,0,1,4,,,,101007025
1,2,7,68,5,2,1,,,1,24,4,6,6,2,2,1,0,0,1,12,1,20,,101007068
1,1,8,4,2,1,1,,,2,21,1,6,10,2,2,3,0,0,1,4,2,,,101008004
1,1,8,17,7,2,1,,,2,24,3,8,12,2,2,3,5,0,2,,,,,101008017
1,1,8,17,8,2,1,,,2,24,3,8,9,2,2,3,5,0,2,,,,,101008017
1,1,8,17,9,2,1,,,1,87,3,8,9,2,2,1,2,0,1,3,2,,,101008017
1,1,8,21,2,1,1,,,1,18,1,3,4,2,,1,0,0,2,,,,,101008021
1,1,8,22,5,2,1,,,1,87,3,4,6,2,2,1,0,0,1,4,2,,,101008022
1,1,8,44,4,2,1,,,1,14,1,6,6,2,2,1,1,0,2,,,,,101008044
1,1,8,44,5,2,1,,,1,24,3,6,8,2,2,1,2,0,2,,,,,101008044
1,1,8,44,6,2,1,,,1,87,3,6,87,2,2,1,0,0,1,7,2,,,101008044
1,1,8,67,9,2,1,,,2,8,5,3,7,2,2,3,0,0,1,12,1,2,,101008067
1,13,9,180,5,2,1,,,1,16,6,6,6,2,2,1,,,1,4,2,,,101009180
1,13,9,222,6,1,1,,,1,10,6,6,6,2,2,1,,,1,3,2,,,101009222
