"id1","id2","id3","id4","s9d_id","s9d_i","s9d_ii","s9d_1","s9d_2","s9d_3","s9d_4","s9d_5","s9d_6","s9d_7","s9d_8","s9d_iii","s9d_iv","hhno"
1,1,3,5,4,16,15,"D","C","B","B","D","D","D","D",16,31,101003005
1,1,3,5,3,16,1,"D","C","B","C","D","B","C","C",16,14,101003005
1,1,3,11,3,11,20,"C","C","B","C","D","B","B","A",11,25,101003011
1,1,3,11,4,11,27,"C","C","B","C","D","B","A","C",11,42,101003011
1,1,3,13,2,10,15,"D","C","B","C","C","B","B","C",10,22,101003013
1,1,3,46,4,17,59,"D","C","B","C","D","D","B","A",18,10,101003046
1,1,3,46,5,18,11,"D","C","B","C","D","B","B","C",18,20,101003046
1,1,3,46,3,17,45,"D","C","B","C","D","B","B","C",17,58,101003046
1,1,8,14,3,3,44,"D","C","C","A","D","C","D","C",3,49,101008014
1,1,8,17,4,9,46,"A","C","A","A","B","D","B","A",9,52,101008017
1,1,8,17,3,11,41,"B","A","B","B","B","C","A","A",11,49,101008017
1,1,8,17,5,6,40,"D","D","A","D","A","D","B","B",6,43,101008017
1,1,8,19,2,5,39,"D","C","B","C","D","D","B","A",5,40,101008019
1,1,8,19,3,6,9,"D","C","D","A","C","B","B","A",6,10,101008019
1,1,8,19,4,2,31,"D","C","B","B","C","D","A","C",2,34,101008019
1,1,8,19,5,1,29,"D","C","B","B","D","D","B","C",1,33,101008019
1,1,8,21,1,2,24,"D","C","B","C","D","B","B","C",2,30,101008021
1,1,8,22,3,5,7,"D","C","A","A","C","C","B","C",5,9,101008022
1,1,8,29,2,1,30,"D","C","D","C","B","D","B","B",1,31,101008029
1,1,8,29,1,7,48,"D","C","B","B","D","C","B","D",7,50,101008029
1,1,8,44,3,1,26,"D","C","D","B","D","D","B","B",1,30,101008044
1,1,8,47,2,4,10,"D","C","B","B","D","C","C","C",4,12,101008047
1,1,8,53,2,6,19,"B","B","B","C","B","C","C","B",6,20,101008053
1,1,8,53,3,5,53,"D","C","B","D","B","B","C","A",5,57,101008053
1,1,8,60,1,9,55,"D","C","B","C","D","B","B","D",9,56,101008060
1,1,8,67,6,12,4,"D","A","B","C","A","B","C","A",12,7,101008067
1,1,8,67,3,10,49,"D","C","B","B","D","B","A","D",10,52,101008067
1,1,8,67,4,11,13,"D","B","A","C","D","B","C","D",11,16,101008067
1,1,8,67,5,11,45,"B","B","B","A","B","A","A","B",11,47,101008067
1,1,8,74,4,5,39,"D","D","A","D","A","B","A","B",5,41,101008074
1,1,8,74,3,5,14,"D","C","B","B","D","B","B","A",5,16,101008074
1,1,8,74,2,4,42,"D","C","B","B","D","B","B","D",4,43,101008074
1,1,8,78,4,10,13,"D","C","B","A","C","A","C","B",10,16,101008078
1,1,8,78,2,9,29,"D","C","B","C","D","B","B","C",9,30,101008078
1,1,8,78,3,10,48,"D","A","B","A","D","C","C","B",10,49,101008078
1,1,31,1,5,13,15,"D","C","B","C","D","C","B","C",13,23,101031001
1,1,31,1,2,12,48,"D","C","B","C","D","B","B","A",12,56,101031001
1,1,31,1,3,12,57,"D","C","B","C","D","B","C","C",13,9,101031001
1,1,31,1,4,13,12,"D","C","B","C","D","B","C","C",13,15,101031001
1,1,31,15,2,14,30,"D","C","B","B","D","B","C","D",14,40,101031015
1,1,31,17,4,18,22,"C","B","C","A","C","D","C","D",18,29,101031017
1,1,31,17,2,18,6,"D","C","B","C","D","B","B","C",18,12,101031017
1,1,31,17,3,18,15,"B","D","C","B","B","C","C","D",18,20,101031017
1,1,31,24,4,16,44,"B","B","C","B","B","C","A","B",16,50,101031024
1,1,31,30,5,10,45,"D","C","B","C","D","B","B","A",10,50,101031030
1,1,31,38,2,5,15,"D","C","B","C","D","B","B","C",5,17,101031038
1,1,31,38,3,5,18,"D","C","B","C","D","B","B","C",5,20,101031038
1,1,31,47,3,2,17,"D","C","B","B","D","B","C","C",2,30,101031047
1,1,31,69,2,8,27,"D","C","B","A","D","B","B","B",8,28,101031069
1,1,31,70,4,1,20,"D","C","B","D","D","B","B","B",1,33,101031070
1,1,31,70,3,1,40,"D","C","B","C","D","B","B","C",,,101031070
1,1,31,73,6,12,15,"D","C","B","B","D","D","C","D",12,17,101031073
1,1,31,73,5,12,40,"D","C","B","C","B","D","B","C",12,45,101031073
1,1,31,73,4,1,0,"D","C","B","C","B","D","B","C",1,5,101031073
1,1,31,73,3,1,30,"D","C","B","C","B","D","B","C",1,31,101031073
1,1,31,75,4,6,0,"D","C","B","C","D","B","B","C",6,1,101031075
1,1,31,75,5,5,29,"D","C","B","C","D","B","C","C",5,40,101031075
