"id1","id2","id3","id4","s9d_ie","s9e_i","s9e_ii","s9e_9","s9e_10","s9e_11","s9e_12","s9e_13","s9e_14","s9e_15","s9e_16","s9e_iii","s9e_iv","hhno"
1,1,3,5,4,16,44,"B","C","B","B","B","A","A","D",16,58,101003005
1,1,3,5,3,16,33,"B","A","B","B","C","C","A","C",16,42,101003005
1,1,3,11,4,11,57,"B","A","D","B","D","B","B","A",12,10,101003011
1,1,3,11,3,11,43,"B","A","D","C","C","B","D","B",11,55,101003011
1,1,3,13,2,10,23,"B","A","D","C","C","B","D","A",10,28,101003013
1,1,3,46,5,18,31,"B","A","B","C","C","A","D",,18,45,101003046
1,1,3,46,4,18,20,"B","A","D","C","C","B","D",,18,30,101003046
1,1,3,46,3,18,12,"B","A","D","C","C","B","D",,18,19,101003046
1,1,8,14,3,3,50,"B","B","C","C","C","B","B","C",3,54,101008014
1,1,8,17,5,6,43,"A","B","D","C","B","A","C","A",6,47,101008017
1,1,8,17,3,11,51,"B","B","D","A","C","D","A","A",11,58,101008017
1,1,8,17,4,9,55,"A","C","D","D","D","A","B","C",9,59,101008017
1,1,8,19,3,6,11,"B","A","A","A","D","B","A","B",6,14,101008019
1,1,8,19,5,1,34,"B","A","A","C","C","B","C","A",1,38,101008019
1,1,8,19,4,1,35,"B","B","B","D","C","B","A","A",1,38,101008019
1,1,8,19,2,5,40,"B","A","D","D","C","A","A","A",5,43,101008019
1,1,8,21,1,2,31,"B","A","D","C","C","B","D","A",2,36,101008021
1,1,8,22,3,5,10,"C","B","A","C","C","B","A","B",5,12,101008022
1,1,8,29,1,7,50,"B","A","D","C","C","B","D","A",7,56,101008029
1,1,8,29,2,1,32,"B","C","A","B","D","C","A","D",1,34,101008029
1,1,8,44,3,1,30,"B","A","D","C","C","B","D","A",1,35,101008044
1,1,8,47,2,4,13,"D","B","D","B","D","D","C","D",4,14,101008047
1,1,8,53,3,5,57,"A","C","D","C","B","D","A","B",6,2,101008053
1,1,8,53,2,6,24,"B","B","A","B","C","B","B","B",6,25,101008053
1,1,8,60,1,9,56,"A","A","D","C","C","B","D","B",9,58,101008060
1,1,8,67,3,10,53,"A","C","B","C","B","C","D","A",10,55,101008067
1,1,8,67,4,11,16,"C","A","A","D","C","C","B","A",11,19,101008067
1,1,8,67,5,11,47,"A","B","C","D","A","B","C","D",11,49,101008067
1,1,8,67,6,12,7,"A","B","C","B","C","D","C","A",12,8,101008067
1,1,8,74,3,5,17,"B","C","C","B","D","C","B","B",5,23,101008074
1,1,8,74,2,4,44,"A","C","A","D","C","B","D","A",4,48,101008074
1,1,8,74,4,5,42,"B","D","C","A","A","D","B","C",5,46,101008074
1,1,8,78,3,10,50,"C","B","D","D","C","B","A","B",10,52,101008078
