="Model 1 (Grade 5) Model 2 (Grade 5) Model 1 (Grade 4) Model 2 (Grade 4)"

="",="(1)",="(2)",="(3)",="(4)"
="",="classize",="classize",="classize",="classize"

="func1",="0.704***",="0.544***",="0.773***",="0.673***"
="",="(0.025)",="(0.037)",="(0.017)",="(0.033)"

="tipuach",="-0.076***",="-0.054***",="-0.054***",="-0.040***"
="",="(0.011)",="(0.010)",="(0.008)",="(0.009)"

="c_size",="",="0.043***",="",="0.026***"
="",="",="(0.006)",="",="(0.005)"

="_cons",="9.216***",="10.548***",="6.985***",="7.851***"
="",="(0.821)",="(0.850)",="(0.545)",="(0.751)"

="rmse",="4.551",="4.380",="4.193",="4.128"
="r2",="0.517",="0.553",="0.564",="0.578"
="N",="2024.000",="2024.000",="2053.000",="2053.000"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
