="Regression Results for Grade 5 and Grade 4"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="avgverb",="avgverb",="avgverb",="avgmath",="avgmath",="avgmath",="avgverb",="avgverb",="avgverb",="avgmath",="avgmath",="avgmath"

="classize",="0.221***",="-0.031",="-0.025",="0.322***",="0.076*",="0.019",="0.141***",="-0.053",="-0.040",="0.221***",="0.055",="0.009"
="",="(0.034)",="(0.026)",="(0.033)",="(0.040)",="(0.036)",="(0.042)",="(0.035)",="(0.028)",="(0.032)",="(0.039)",="(0.036)",="(0.040)"

="tipuach",="",="-0.350***",="-0.351***",="",="-0.340***",="-0.332***",="",="-0.339***",="-0.341***",="",="-0.289***",="-0.281***"
="",="",="(0.014)",="(0.015)",="",="(0.018)",="(0.019)",="",="(0.015)",="(0.016)",="",="(0.017)",="(0.017)"

="c_size",="",="",="-0.002",="",="",="0.017*",="",="",="-0.004",="",="",="0.014*"
="",="",="",="(0.006)",="",="",="(0.008)",="",="",="(0.006)",="",="",="(0.007)"

="_cons",="67.770***",="80.260***",="80.231***",="57.660***",="69.812***",="70.085***",="68.206***",="78.781***",="78.738***",="62.186***",="71.197***",="71.353***"
="",="(1.068)",="(0.859)",="(0.866)",="(1.247)",="(1.174)",="(1.169)",="(1.111)",="(0.925)",="(0.922)",="(1.223)",="(1.177)",="(1.170)"

="rmse",="7.548",="6.116",="6.118",="9.367",="8.327",="8.313",="7.943",="6.645",="6.646",="8.658",="7.825",="7.815"
="r2",="0.035",="0.367",="0.367",="0.048",="0.248",="0.251",="0.013",="0.309",="0.309",="0.025",="0.204",="0.207"
="N",="2019.000",="2019.000",="2019.000",="2018.000",="2018.000",="2018.000",="2049.000",="2049.000",="2049.000",="2049.000",="2049.000",="2049.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
