="Regression Results for Grade 5 and Grade 4"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avgverb",="avgverb",="avgmath",="avgmath",="avgverb",="avgverb",="avgmath",="avgmath"

="func1",="-0.111***",="-0.150***",="-0.009",="-0.125*",="-0.085**",="-0.089*",="0.038",="-0.033"
="",="(0.029)",="(0.039)",="(0.041)",="(0.051)",="(0.031)",="(0.040)",="(0.040)",="(0.050)"

="tipuach",="-0.359***",="-0.354***",="-0.354***",="-0.337***",="-0.340***",="-0.340***",="-0.292***",="-0.282***"
="",="(0.014)",="(0.015)",="(0.018)",="(0.019)",="(0.015)",="(0.016)",="(0.017)",="(0.017)"

="c_size",="",="0.010",="",="0.031***",="",="0.001",="",="0.019*"
="",="",="(0.006)",="",="(0.008)",="",="(0.007)",="",="(0.008)"

="_cons",="82.906***",="83.221***",="72.566***",="73.511***",="79.835***",="79.871***",="71.736***",="72.349***"
="",="(0.946)",="(0.985)",="(1.322)",="(1.345)",="(1.025)",="(1.050)",="(1.335)",="(1.358)"

="rmse",="6.085",="6.079",="8.340",="8.294",="6.635",="6.637",="7.829",="7.813"
="r2",="0.374",="0.375",="0.246",="0.254",="0.311",="0.311",="0.203",="0.207"
="N",="2019.000",="2019.000",="2018.000",="2018.000",="2049.000",="2049.000",="2049.000",="2049.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
