="Regression Results for Grade 5"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="avgverb",="avgverb",="avgverb",="avgmath",="avgmath",="avgmath"

="classize",="-0.158***",="-0.277***",="-0.263**",="-0.013",="-0.231*",="-0.264*"
="",="(0.042)",="(0.076)",="(0.094)",="(0.058)",="(0.098)",="(0.123)"

="tipuach",="-0.371***",="-0.369***",="-0.369***",="-0.355***",="-0.350***",="-0.350***"
="",="(0.016)",="(0.016)",="(0.016)",="(0.020)",="(0.020)",="(0.020)"

="c_size",="",="0.022*",="0.013",="",="0.041***",="0.063"
="",="",="(0.009)",="(0.026)",="",="(0.012)",="(0.036)"

="c_size2",="",="",="0.004",="",="",="-0.010"
="",="",="",="(0.010)",="",="",="(0.014)"

="_cons",="84.369***",="86.146***",="86.129***",="72.687***",="75.956***",="75.993***"
="",="(1.344)",="(1.785)",="(1.797)",="(1.843)",="(2.352)",="(2.378)"

="rmse",="6.161",="6.242",="6.228",="8.339",="8.400",="8.425"
="r2",="0.357",="0.340",="0.343",="0.245",="0.234",="0.229"
="N",="2019.000",="2019.000",="2019.000",="2018.000",="2018.000",="2018.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
