wage	educ	exper	nonwhite	gender	married
3.1	11	2	0	Female	0
3.2	12	22	0	Female	1
3	11	2	0	Male	0
6	8	44	0	Male	1
5.3	12	7	0	Male	1
8.8	16	9	0	Male	1
11	18	15	0	Male	0
5	12	5	0	Female	0
3.6	12	26	0	Female	0
18	17	22	0	Male	1
6.3	16	8	0	Female	0
8.1	13	3	0	Female	0
8.8	12	15	0	Male	1
5.5	12	18	0	Male	0
22	12	31	0	Male	1
17	16	14	0	Male	1
7.5	12	10	0	Female	1
11	13	16	0	Female	0
3.6	12	13	0	Female	1
4.5	12	36	0	Female	1
6.9	12	11	0	Female	0
8.5	12	29	0	Male	1
6.3	16	9	0	Female	0
0.53	12	3	0	Female	0
6	11	37	1	Female	0
9.6	16	3	1	Male	1
7.8	16	11	0	Male	1
13	16	31	0	Male	1
13	15	30	0	Male	1
3.3	8	9	0	Female	1
13	14	23	0	Male	1
4.5	14	2	0	Female	0
9.7	13	16	0	Female	0
5	12	7	0	Female	0
4.7	12	3	0	Female	0
4.3	16	22	1	Female	1
6.2	12	15	1	Female	1
3.5	4	39	0	Male	1
3	14	3	0	Female	1
6.3	12	11	0	Female	0
7.8	12	3	0	Female	1
10	12	20	1	Female	1
4.5	14	16	0	Female	1
4	11	45	0	Female	1
6.4	13	11	0	Female	0
14	15	20	0	Male	1
1.7	10	1	0	Male	0
2.9	12	36	0	Female	1
3.7	14	9	0	Male	0
2.9	12	15	0	Female	1
1.6	12	18	0	Female	0
8.6	16	3	0	Female	0
5	12	15	0	Male	1
6	12	7	0	Male	1
2.5	12	2	0	Male	0
3.3	15	3	0	Male	0
3.4	16	1	0	Female	0
10	8	13	1	Male	0
22	18	8	0	Female	0
4.4	16	7	0	Male	0
12	13	40	0	Female	0
12	14	42	0	Male	0
6.3	10	36	0	Male	0
3.7	10	13	1	Female	0
7.8	14	9	0	Male	0
20	14	26	0	Male	1
6.3	16	7	1	Female	1
10	12	25	0	Male	1
5.7	16	10	0	Male	1
2	12	3	0	Female	0
5.7	16	3	0	Female	0
13	17	17	1	Male	1
4.9	12	17	0	Male	1
2.9	12	20	0	Female	1
3.8	12	7	0	Female	1
12	13	24	0	Male	1
4	12	28	0	Female	1
3.1	12	2	0	Female	0
8.4	12	19	0	Male	1
7.1	18	13	0	Male	1
4.5	9	22	0	Male	1
4.7	16	3	0	Male	0
2.9	10	4	0	Female	0
6.7	12	7	0	Male	0
3.5	12	6	1	Female	0
3.3	12	13	0	Female	1
3.3	12	14	0	Female	1
8	12	14	0	Female	0
9.9	8	40	1	Male	1
7.5	12	11	0	Male	1
5.9	12	14	0	Male	1
12	14	40	0	Male	1
3	12	1	0	Female	0
4.8	12	2	0	Female	0
6.5	12	4	0	Female	0
4	9	19	0	Female	1
3.5	13	1	0	Male	0
13	12	34	0	Male	1
4.3	14	5	0	Male	1
3.5	12	3	0	Male	0
5.1	15	6	0	Female	0
3.8	12	14	0	Female	1
4.5	12	35	0	Female	1
7.6	12	8	0	Female	0
15	14	7	1	Male	1
6.8	15	11	0	Female	1
13	12	14	0	Male	1
6.7	12	35	0	Male	0
2.5	12	46	0	Female	0
9.8	17	7	0	Male	1
3.4	11	45	0	Male	1
25	18	29	0	Male	1
5.4	12	6	0	Male	1
6.1	14	15	0	Male	1
4.2	14	33	0	Female	1
3.8	10	15	0	Male	0
3.5	14	5	0	Female	1
3.6	12	7	0	Male	0
3.8	15	6	0	Male	1
3	8	33	0	Female	1
5	16	2	0	Female	1
4.6	14	4	0	Female	1
3	15	1	0	Male	0
3.2	12	29	0	Female	0
3.9	18	17	0	Male	1
6.4	16	17	0	Female	1
5.5	10	36	0	Female	1
1.5	8	31	0	Male	0
2.9	10	23	0	Female	0
5	11	13	0	Male	1
8.9	18	3	0	Male	1
5	15	15	0	Male	0
