observation_date,RealGDPPerCap
1/1/1947,15248
1/4/1947,15139
1/7/1947,15039
1/10/1947,15204
1/1/1948,15371
1/4/1948,15563
1/7/1948,15585
1/10/1948,15530
1/1/1949,15250
1/4/1949,15137
1/7/1949,15228
1/10/1949,15032
1/1/1950,15559
1/4/1950,15977
1/7/1950,16524
1/10/1950,16764
1/1/1951,16922
1/4/1951,17147
1/7/1951,17420
1/10/1951,17375
1/1/1952,17490
1/4/1952,17459
1/7/1952,17509
1/10/1952,18001
1/1/1953,18268
1/4/1953,18341
1/7/1953,18155
1/10/1953,17797
1/1/1954,17636
1/4/1954,17584
1/7/1954,17701
1/10/1954,17960
1/1/1955,18396
1/4/1955,18621
1/7/1955,18787
1/10/1955,18808
1/1/1956,18658
1/4/1956,18736
1/7/1956,18632
1/10/1956,18845
1/1/1957,18881
1/4/1957,18763
1/7/1957,18862
1/10/1957,18582
1/1/1958,18032
1/4/1958,18081
1/7/1958,18419
1/10/1958,18764
1/1/1959,19041
1/4/1959,19395
1/7/1959,19326
1/10/1959,19296
1/1/1960,19614
1/4/1960,19392
1/7/1960,19390
1/10/1960,19065
1/1/1961,19130
1/4/1961,19380
1/7/1961,19670
1/10/1961,19970
1/1/1962,20254
1/4/1962,20366
1/7/1962,20536
1/10/1962,20521
1/1/1963,20677
1/4/1963,20842
1/7/1963,21219
1/10/1963,21276
1/1/1964,21657
1/4/1964,21824
1/7/1964,22085
1/10/1964,22075
1/1/1965,22547
1/4/1965,22770
1/7/1965,23198
1/10/1965,23656
1/1/1966,24172
1/4/1966,24191
1/7/1966,24321
1/10/1966,24446
1/1/1967,24602
1/4/1967,24556
1/7/1967,24719
1/10/1967,24836
1/1/1968,25288
1/4/1968,25652
1/7/1968,25781
1/10/1968,25813
1/1/1969,26162
1/4/1969,26181
1/7/1969,26281
1/10/1969,26076
1/1/1970,25973
1/4/1970,25929
1/7/1970,26079
1/10/1970,25710
1/1/1971,26328
1/4/1971,26394
1/7/1971,26529
1/10/1971,26510
1/1/1972,26932
1/4/1972,27478
1/7/1972,27666
1/10/1972,28055
1/1/1973,28687
1/4/1973,28935
1/7/1973,28711
1/10/1973,28913
1/1/1974,28606
1/4/1974,28613
1/7/1974,28270
1/10/1974,28088
1/1/1975,27690
1/4/1975,27821
1/7/1975,28214
1/10/1975,28520
1/1/1976,29099
1/4/1976,29250
1/7/1976,29335
1/10/1976,29469
1/1/1977,29749
1/4/1977,30254
1/7/1977,30713
1/10/1977,30626
1/1/1978,30653
1/4/1978,31757
1/7/1978,31982
1/10/1978,32318
1/1/1979,32294
1/4/1979,32244
1/7/1979,32386
1/10/1979,32366
1/1/1980,32377
1/4/1980,31621
1/7/1980,31489
1/10/1980,31990
1/1/1981,32550
