Time,CommodityPriceIndex
1982.5,20.83333333
1982.75,21.53333333
1983,22.23333333
1983.25,23.6
1983.5,23.26666667
1983.75,22.03333333
1984,21.53333333
1984.25,21.53333333
1984.5,21.93333333
1984.75,21.63333333
1985,23.46666667
1985.25,25.73333333
1985.5,24.33333333
1985.75,24.96666667
1986,24.2
1986.25,23.3
1986.5,25.16666667
1986.75,25.03333333
1987,25.33333333
1987.25,25
1987.5,25.5
1987.75,27.03333333
1988,28.4
1988.25,28.83333333
1988.5,28.1
1988.75,27
1989,27.03333333
1989.25,29.06666667
1989.5,29.33333333
1989.75,29.23333333
1990,29.33333333
1990.25,28.93333333
1990.5,27.56666667
1990.75,28
1991,26.26666667
1991.25,26.1
1991.5,25.66666667
1991.75,25.8
1992,27.06666667
1992.25,26.46666667
1992.5,27.3
1992.75,27.53333333
1993,27.63333333
1993.25,26.76666667
1993.5,27.7
1993.75,27.6
1994,27.16666667
1994.25,26.4
1994.5,26.56666667
1994.75,26.93333333
1995,27.76666667
1995.25,28.7
1995.5,28.43333333
1995.75,27.9
1996,27.73333333
1996.25,26.73333333
1996.5,26.43333333
1996.75,26.06666667
1997,26.7
1997.25,26.9
1997.5,27.33333333
1997.75,28.3
1998,27.86666667
1998.25,28.43333333
1998.5,28.33333333
1998.75,26.8
1999,26
1999.25,24.76666667
1999.5,25.6
1999.75,26.5
2000,27.73333333
2000.25,29.9
2000.5,31.46666667
2000.75,33.56666667
2001,33.63333333
2001.25,35.4
2001.5,35.3
2001.75,34.06666667
2002,34.2
2002.25,32.8
2002.5,33.8
2002.75,34.53333333
2003,33.46666667
2003.25,30.06666667
2003.5,30.06666667
2003.75,29.5
2004,29.73333333
2004.25,33.46666667
2004.5,35.16666667
2004.75,34.43333333
2005,34.9
2005.25,39.8
2005.5,42.83333333
2005.75,45.1
2006,48.13333333
2006.25,51.16666667
2006.5,51.5
2006.75,50.56666667
2007,50.26666667
2007.25,50.13333333
2007.5,49.53333333
2007.75,50.6
2008,54.1
2008.25,62.6
2008.5,73.8
2008.75,84.8
2009,74.4
2009.25,55.96666667
2009.5,52.06666667
2009.75,51.23333333
2010,55.03333333
2010.25,67.16666667
2010.5,70.73333333
2010.75,67.16666667
2011,73.53333333
2011.25,77.46666667
2011.5,78.53333333
2011.75,73.63333333
2012,68.26666667
2012.25,68.83333333
2012.5,62.66666667
2012.75,58.73333333
2013,63.13333333
2013.25,62.73333333
2013.5,65.06666667
2013.75,64.56666667
2014,65.03333333
2014.25,57.56666667
2014.5,54
2014.75,53.3
2015,53
2015.25,48.5
2015.5,49.33333333
2015.75,46
2016,44.4
2016.25,45.73333333
2016.5,47.6
2016.75,57.13333333
2017,61.76666667
2017.25,57.26666667
2017.5,55.73333333
2017.75,57.46666667
2018,62.26666667
2018.25,63
2018.5,66.4
2018.75,69.43333333
2019,72.8
2019.25,74.66666667
2019.5,75.7
2019.75,70.06666667
2020,72.56666667
2020.25,70.06666667
2020.5,65.86666667
2020.75,71.43333333
2021,80.76666667
2021.25,91.2
2021.5,95.53333333
2021.75,94.7
2022,111.3333333
2022.25,126.7
2022.5,122.7
2022.75,122.8333333
2023,117.9
2023.25,103.7333333
2023.5,99.23333333
2023.75,103.1333333
2024,102.5666667
2024.25,95.06666667
2024.5,90.6
2024.75,93.76666667
