Date,MXWO,,
2/04/2014,1687.46,,
1/04/2014,1683.7,,
31/03/2014,1673.87,,
28/03/2014,1661.84,,
27/03/2014,1653.12,,
26/03/2014,1654.34,,
25/03/2014,1655.69,,
24/03/2014,1645.97,,
21/03/2014,1653.38,,
20/03/2014,1654.32,,
19/03/2014,1658.05,,
18/03/2014,1665.49,,
17/03/2014,1653.94,,
14/03/2014,1641.13,,
13/03/2014,1651.68,,
12/03/2014,1665.55,,
11/03/2014,1672.19,,
10/03/2014,1676.53,,
7/03/2014,1681.17,,
6/03/2014,1686.11,,
5/03/2014,1679.06,,
4/03/2014,1677.85,,
3/03/2014,1655.42,,
28/02/2014,1675.4,,
27/02/2014,1668.4,,
26/02/2014,1664.85,,
25/02/2014,1669.41,,
24/02/2014,1668.31,,
21/02/2014,1659.85,,
20/02/2014,1656.01,,
19/02/2014,1655.04,,
18/02/2014,1660.54,,
17/02/2014,1653.55,,
14/02/2014,1650.12,,
13/02/2014,1643.19,,
12/02/2014,1637.71,,
11/02/2014,1634.47,,
10/02/2014,1616.78,,
7/02/2014,1611.78,,
6/02/2014,1592.69,,
5/02/2014,1572.37,,
4/02/2014,1569.93,,
3/02/2014,1571.92,,
31/01/2014,1598.46,,
30/01/2014,1607.46,,
29/01/2014,1603.67,,
28/01/2014,1611.35,,
27/01/2014,1604.92,,
24/01/2014,1618.36,,
23/01/2014,1650.45,,
22/01/2014,1661.74,,
21/01/2014,1659.49,,
20/01/2014,1657.11,,
17/01/2014,1657.32,,
16/01/2014,1659.34,,
15/01/2014,1660,,
14/01/2014,1651.73,,
13/01/2014,1645.41,,
10/01/2014,1655.11,,
9/01/2014,1646.37,,
8/01/2014,1650.17,,
7/01/2014,1647.65,,
6/01/2014,1641.16,,
3/01/2014,1646.05,,
2/01/2014,1645.22,,
1/01/2014,1661.09,,
31/12/2013,1661.07,,
30/12/2013,1656.15,,
27/12/2013,1654.16,,
26/12/2013,1646.28,,
25/12/2013,1639.73,,
24/12/2013,1639.65,,
23/12/2013,1637.28,,
20/12/2013,1626.66,,
19/12/2013,1618.38,,
18/12/2013,1613.75,,
17/12/2013,1592.79,,
16/12/2013,1598.21,,
13/12/2013,1587.69,,
12/12/2013,1588.71,,
11/12/2013,1600.12,,
10/12/2013,1614.23,,
9/12/2013,1617.6,,
6/12/2013,1612.61,,
5/12/2013,1598.88,,
4/12/2013,1604.74,,
3/12/2013,1613.31,,
2/12/2013,1621.34,,
29/11/2013,1628.42,,
28/11/2013,1628.88,,
27/11/2013,1624.82,,
26/11/2013,1621.91,,
25/11/2013,1623.7,,
22/11/2013,1623.15,,
21/11/2013,1616.34,,
20/11/2013,1611.34,,
19/11/2013,1616.44,,
18/11/2013,1622.82,,
