Date,NASDAQ
2/04/2014,4276.46
1/04/2014,4268.04
31/03/2014,4198.99
28/03/2014,4155.76
27/03/2014,4151.23
26/03/2014,4173.58
25/03/2014,4234.27
24/03/2014,4226.39
21/03/2014,4276.79
20/03/2014,4319.29
19/03/2014,4307.6
18/03/2014,4333.31
17/03/2014,4279.95
14/03/2014,4245.4
13/03/2014,4260.42
12/03/2014,4323.33
11/03/2014,4307.19
10/03/2014,4334.45
7/03/2014,4336.22
6/03/2014,4352.13
5/03/2014,4357.97
4/03/2014,4351.97
3/03/2014,4277.3
28/02/2014,4308.12
27/02/2014,4318.93
26/02/2014,4292.06
25/02/2014,4287.59
24/02/2014,4292.97
21/02/2014,4263.41
20/02/2014,4267.55
19/02/2014,4237.95
18/02/2014,4272.78
14/02/2014,4244.02
13/02/2014,4240.67
12/02/2014,4201.29
11/02/2014,4191.05
10/02/2014,4148.17
7/02/2014,4125.86
6/02/2014,4057.12
5/02/2014,4011.55
4/02/2014,4031.52
3/02/2014,3996.96
31/01/2014,4103.88
30/01/2014,4123.13
29/01/2014,4051.43
28/01/2014,4097.96
27/01/2014,4083.61
24/01/2014,4128.17
23/01/2014,4218.88
22/01/2014,4243
21/01/2014,4225.76
17/01/2014,4197.58
16/01/2014,4218.69
15/01/2014,4214.88
14/01/2014,4183.02
13/01/2014,4113.31
10/01/2014,4174.67
9/01/2014,4156.19
8/01/2014,4165.61
7/01/2014,4153.18
6/01/2014,4113.68
3/01/2014,4131.91
2/01/2014,4143.07
31/12/2013,4176.59
30/12/2013,4154.2
27/12/2013,4156.59
26/12/2013,4167.18
24/12/2013,4155.42
23/12/2013,4148.9
20/12/2013,4104.74
19/12/2013,4058.14
18/12/2013,4070.06
17/12/2013,4023.68
16/12/2013,4029.52
13/12/2013,4000.98
12/12/2013,3998.4
11/12/2013,4003.81
10/12/2013,4060.49
9/12/2013,4068.75
6/12/2013,4062.52
5/12/2013,4033.17
4/12/2013,4038
3/12/2013,4037.2
2/12/2013,4045.26
29/11/2013,4059.89
27/11/2013,4044.75
26/11/2013,4017.75
25/11/2013,3994.57
22/11/2013,3991.65
21/11/2013,3969.16
20/11/2013,3921.27
19/11/2013,3931.55
18/11/2013,3949.07
15/11/2013,3985.97
14/11/2013,3972.74
13/11/2013,3965.58
12/11/2013,3919.92
11/11/2013,3919.79
8/11/2013,3919.23
7/11/2013,3857.33
6/11/2013,3931.95
5/11/2013,3939.86
4/11/2013,3936.59
1/11/2013,3922.04
31/10/2013,3919.71
30/10/2013,3930.62
29/10/2013,3952.34
28/10/2013,3940.13
25/10/2013,3943.36
24/10/2013,3928.96
23/10/2013,3907.07
22/10/2013,3929.57
21/10/2013,3920.05
18/10/2013,3914.28
17/10/2013,3863.15
16/10/2013,3839.43
15/10/2013,3794.01
14/10/2013,3815.28
11/10/2013,3791.87
10/10/2013,3760.75
9/10/2013,3677.78
8/10/2013,3694.83
7/10/2013,3770.38
4/10/2013,3807.75
3/10/2013,3774.34
2/10/2013,3815.02
