Date,SHCOMP
2/04/2014,2058.988
1/04/2014,2047.46
31/03/2014,2033.306
28/03/2014,2041.712
27/03/2014,2046.588
26/03/2014,2063.67
25/03/2014,2067.311
24/03/2014,2066.279
21/03/2014,2047.619
20/03/2014,1993.479
19/03/2014,2021.734
18/03/2014,2025.196
17/03/2014,2023.673
14/03/2014,2004.339
13/03/2014,2019.111
12/03/2014,1997.692
11/03/2014,2001.157
10/03/2014,1999.065
7/03/2014,2057.908
6/03/2014,2059.578
5/03/2014,2053.084
4/03/2014,2071.473
3/03/2014,2075.235
28/02/2014,2056.302
27/02/2014,2047.354
26/02/2014,2041.254
25/02/2014,2034.219
24/02/2014,2076.686
21/02/2014,2113.693
20/02/2014,2138.782
19/02/2014,2142.554
18/02/2014,2119.065
17/02/2014,2135.415
14/02/2014,2115.848
13/02/2014,2098.401
12/02/2014,2109.955
11/02/2014,2103.671
10/02/2014,2086.067
7/02/2014,2044.497
30/01/2014,2033.083
29/01/2014,2049.914
28/01/2014,2038.513
27/01/2014,2033.3
24/01/2014,2054.392
23/01/2014,2042.18
22/01/2014,2051.749
21/01/2014,2008.314
20/01/2014,1991.253
17/01/2014,2004.949
16/01/2014,2023.701
15/01/2014,2023.348
14/01/2014,2026.842
13/01/2014,2009.564
10/01/2014,2013.298
9/01/2014,2027.622
8/01/2014,2044.34
7/01/2014,2047.317
6/01/2014,2045.709
3/01/2014,2083.135
2/01/2014,2109.387
31/12/2013,2115.978
30/12/2013,2097.529
27/12/2013,2101.251
26/12/2013,2073.099
25/12/2013,2106.354
24/12/2013,2092.905
23/12/2013,2089.707
20/12/2013,2084.794
19/12/2013,2127.792
18/12/2013,2148.285
17/12/2013,2151.079
16/12/2013,2160.861
13/12/2013,2196.075
12/12/2013,2202.796
11/12/2013,2204.166
10/12/2013,2237.492
9/12/2013,2238.2
6/12/2013,2237.108
5/12/2013,2247.063
4/12/2013,2251.762
3/12/2013,2222.67
2/12/2013,2207.371
29/11/2013,2220.504
28/11/2013,2219.372
27/11/2013,2201.07
26/11/2013,2183.073
25/11/2013,2186.115
22/11/2013,2196.378
21/11/2013,2205.766
20/11/2013,2206.613
19/11/2013,2193.125
18/11/2013,2197.219
15/11/2013,2135.827
14/11/2013,2100.506
13/11/2013,2087.941
12/11/2013,2126.772
11/11/2013,2109.471
8/11/2013,2106.127
7/11/2013,2129.4
6/11/2013,2139.607
5/11/2013,2157.24
4/11/2013,2149.635
1/11/2013,2149.562
31/10/2013,2141.614
30/10/2013,2160.463
29/10/2013,2128.864
28/10/2013,2133.869
25/10/2013,2132.955
24/10/2013,2164.322
23/10/2013,2183.107
22/10/2013,2210.652
21/10/2013,2229.238
18/10/2013,2193.781
17/10/2013,2188.542
16/10/2013,2193.074
15/10/2013,2233.413
14/10/2013,2237.773
11/10/2013,2228.146
10/10/2013,2190.929
9/10/2013,2211.769
8/10/2013,2198.199
30/09/2013,2174.665
27/09/2013,2160.027
26/09/2013,2155.809
25/09/2013,2198.515
24/09/2013,2207.531
23/09/2013,2221.044
18/09/2013,2191.851
17/09/2013,2185.56
16/09/2013,2231.401
13/09/2013,2236.218
12/09/2013,2255.605
11/09/2013,2241.268
10/09/2013,2237.984
9/09/2013,2212.516
6/09/2013,2139.993
5/09/2013,2122.43
4/09/2013,2127.618
3/09/2013,2123.112
2/09/2013,2098.448
30/08/2013,2098.382
29/08/2013,2097.227
28/08/2013,2101.301
27/08/2013,2103.567
26/08/2013,2096.474
23/08/2013,2057.458
22/08/2013,2067.124
21/08/2013,2072.961
20/08/2013,2072.595
19/08/2013,2085.602
16/08/2013,2068.452
15/08/2013,2081.88
14/08/2013,2100.137
13/08/2013,2106.156
12/08/2013,2101.283
9/08/2013,2052.235
8/08/2013,2044.895
7/08/2013,2046.778
6/08/2013,2060.5
5/08/2013,2050.481
2/08/2013,2029.418
1/08/2013,2029.067
31/07/2013,1993.799
30/07/2013,1990.064
29/07/2013,1976.306
26/07/2013,2010.85
25/07/2013,2021.174
24/07/2013,2033.329
23/07/2013,2043.876
22/07/2013,2004.762
19/07/2013,1992.648
18/07/2013,2023.396
17/07/2013,2044.922
16/07/2013,2065.72
15/07/2013,2059.39
12/07/2013,2039.486
11/07/2013,2072.991
10/07/2013,2008.126
9/07/2013,1965.454
8/07/2013,1958.273
5/07/2013,2007.199
4/07/2013,2006.098
3/07/2013,1994.268
2/07/2013,2006.56
1/07/2013,1995.242
28/06/2013,1979.206
27/06/2013,1950.012
26/06/2013,1951.495
25/06/2013,1959.508
24/06/2013,1963.235
21/06/2013,2073.095
20/06/2013,2084.021
19/06/2013,2143.454
18/06/2013,2159.291
17/06/2013,2156.215
14/06/2013,2162.041
13/06/2013,2148.355
7/06/2013,2210.898
6/06/2013,2242.109
5/06/2013,2270.931
4/06/2013,2272.416
3/06/2013,2299.252
31/05/2013,2300.595
30/05/2013,2317.749
29/05/2013,2324.017
28/05/2013,2321.318
27/05/2013,2293.077
24/05/2013,2288.533
23/05/2013,2275.667
22/05/2013,2302.403
21/05/2013,2305.114
20/05/2013,2299.986
17/05/2013,2282.87
16/05/2013,2251.805
15/05/2013,2224.798
14/05/2013,2217.01
13/05/2013,2241.92
10/05/2013,2246.831
9/05/2013,2232.971
8/05/2013,2246.3
7/05/2013,2235.574
6/05/2013,2231.166
3/05/2013,2205.497
2/05/2013,2174.123
26/04/2013,2177.912
25/04/2013,2199.307
24/04/2013,2218.318
23/04/2013,2184.538
22/04/2013,2242.169
19/04/2013,2244.643
18/04/2013,2197.602
17/04/2013,2193.795
16/04/2013,2194.845
15/04/2013,2181.941
12/04/2013,2206.78
11/04/2013,2219.553
10/04/2013,2226.126
9/04/2013,2225.775
8/04/2013,2211.592
3/04/2013,2225.295
2/04/2013,2227.74
1/04/2013,2234.395
29/03/2013,2236.621
28/03/2013,2236.302
27/03/2013,2301.259
26/03/2013,2297.669
25/03/2013,2326.715
22/03/2013,2328.278
21/03/2013,2324.242
20/03/2013,2317.375
19/03/2013,2257.434
18/03/2013,2240.016
15/03/2013,2278.401
14/03/2013,2270.277
13/03/2013,2263.968
12/03/2013,2286.605
11/03/2013,2310.593
8/03/2013,2318.611
7/03/2013,2324.293
6/03/2013,2347.179
5/03/2013,2326.306
4/03/2013,2273.404
1/03/2013,2359.506
28/02/2013,2365.593
27/02/2013,2313.22
26/02/2013,2293.341
25/02/2013,2325.819
22/02/2013,2314.164
21/02/2013,2325.951
20/02/2013,2397.178
19/02/2013,2382.914
18/02/2013,2421.558
8/02/2013,2432.402
7/02/2013,2418.53
6/02/2013,2434.477
5/02/2013,2433.13
4/02/2013,2428.154
1/02/2013,2419.02
31/01/2013,2385.422
30/01/2013,2382.475
29/01/2013,2358.977
28/01/2013,2346.505
25/01/2013,2291.304
24/01/2013,2302.598
23/01/2013,2320.911
22/01/2013,2315.139
21/01/2013,2328.221
18/01/2013,2317.07
17/01/2013,2284.909
16/01/2013,2309.499
15/01/2013,2325.682
14/01/2013,2311.74
11/01/2013,2242.997
10/01/2013,2283.658
9/01/2013,2275.34
8/01/2013,2276.07
7/01/2013,2285.364
4/01/2013,2276.992
31/12/2012,2269.128
28/12/2012,2233.252
27/12/2012,2205.897
26/12/2012,2219.132
25/12/2012,2213.611
24/12/2012,2159.053
21/12/2012,2153.31
20/12/2012,2168.353
19/12/2012,2162.239
18/12/2012,2162.464
17/12/2012,2160.342
14/12/2012,2150.625
13/12/2012,2061.476
12/12/2012,2082.726
11/12/2012,2074.704
10/12/2012,2083.77
7/12/2012,2061.786
6/12/2012,2029.237
5/12/2012,2031.907
4/12/2012,1975.143
3/12/2012,1959.767
30/11/2012,1980.117
29/11/2012,1963.488
28/11/2012,1973.523
27/11/2012,1991.165
26/11/2012,2017.464
23/11/2012,2027.384
22/11/2012,2015.611
21/11/2012,2030.319
20/11/2012,2008.923
19/11/2012,2016.982
16/11/2012,2014.725
15/11/2012,2030.29
14/11/2012,2055.419
13/11/2012,2047.889
12/11/2012,2079.273
9/11/2012,2069.067
8/11/2012,2071.509
7/11/2012,2105.73
6/11/2012,2105.999
5/11/2012,2114.027
2/11/2012,2117.046
1/11/2012,2104.428
31/10/2012,2068.88
30/10/2012,2062.347
29/10/2012,2058.943
26/10/2012,2066.209
25/10/2012,2101.58
24/10/2012,2115.99
23/10/2012,2114.447
22/10/2012,2132.758
19/10/2012,2128.302
18/10/2012,2131.688
17/10/2012,2105.618
16/10/2012,2098.808
15/10/2012,2098.703
12/10/2012,2104.932
11/10/2012,2102.868
10/10/2012,2119.942
9/10/2012,2115.23
8/10/2012,2074.419
28/09/2012,2086.169
27/09/2012,2056.323
26/09/2012,2004.172
25/09/2012,2029.293
24/09/2012,2033.192
21/09/2012,2026.69
20/09/2012,2024.837
19/09/2012,2067.831
18/09/2012,2059.543
17/09/2012,2078.5
14/09/2012,2123.847
13/09/2012,2110.379
12/09/2012,2126.554
11/09/2012,2120.554
10/09/2012,2134.893
7/09/2012,2127.762
6/09/2012,2051.918
5/09/2012,2037.681
4/09/2012,2043.649
3/09/2012,2059.147
31/08/2012,2047.522
30/08/2012,2052.585
29/08/2012,2053.235
28/08/2012,2073.154
27/08/2012,2055.709
24/08/2012,2092.104
23/08/2012,2113.072
22/08/2012,2107.711
21/08/2012,2118.268
20/08/2012,2106.957
17/08/2012,2114.891
16/08/2012,2112.197
15/08/2012,2118.945
14/08/2012,2142.524
13/08/2012,2136.078
10/08/2012,2168.814
