Date,DAX,DJI,FTSE,HSI,NKI,SP500
1/04/1999,5252.36,9184.26,5879.4,9809.17,13415.89,1228.1
1/05/1999,5253.91,9311.19,5958.2,9891.06,13232.74,1244.78
1/06/1999,5443.62,9544.97,6148.8,10233.8,13468.46,1272.34
1/07/1999,5323.21,9537.76,6101.2,10693.57,13536.56,1269.73
1/08/1999,5392.84,9643.32,6147.2,10722.7,13391.81,1275.09
1/11/1999,5270.6,9619.89,6085,10634.27,13368.48,1263.88
1/12/1999,5200.1,9474.68,6033.6,10711.56,13360.97,1239.51
1/13/1999,4931.8,9349.56,5850.1,10273.77,13403.6,1234.4
1/14/1999,4912.75,9120.93,5820.2,10183.13,13738.86,1212.19
1/15/1999,4960.22,9340.55,5941,10147.4,13738.86,1243.26
1/18/1999,5050.4,9340.55,6123.9,10402.54,13805.06,1243.26
1/19/1999,5073.15,9355.22,6027.6,10290.11,13770.44,1252
1/20/1999,5143.06,9335.92,6105.6,10314.91,14028.05,1256.62
1/21/1999,5156.67,9264.07,6022.3,10048.57,14245.42,1235.16
1/22/1999,5019.28,9120.67,5861.2,9738.52,14154.4,1225.19
1/25/1999,4982.45,9203.31,5880.9,9499.5,14208.81,1233.98
1/26/1999,4986.8,9324.58,5885.7,9509.83,14382.01,1252.31
1/27/1999,5061.18,9200.23,5876.4,9719.66,14450.06,1243.17
1/28/1999,5096.41,9281.33,5872.5,9360.96,14342.32,1265.37
1/29/1999,5159.96,9358.82,5896,9506.9,14499.25,1279.64
2/01/1999,5190.82,9345.69,6012.4,9599.55,14465.18,1273
2/02/1999,5166.87,9274.12,6013,9502.72,14349.83,1261.99
2/03/1999,5085.66,9366.82,5940.3,9419.85,14161.31,1272.07
2/04/1999,5077.85,9304.5,5939.9,9438.65,14086.85,1248.49
2/05/1999,5080.77,9304.24,5855.3,9190.2,13898.08,1239.4
2/08/1999,5027.22,9291.11,5834.9,9139.6,13992.49,1243.77
2/09/1999,4904.35,9133.03,5779.9,9244.49,13902.66,1216.14
2/10/1999,4796.82,9177.31,5770.2,9076.33,13952.4,1223.55
2/11/1999,4839.33,9363.45,5888.5,9146.8,13952.4,1254.04
2/12/1999,4888.74,9274.89,5950.7,9425.42,13973.69,1230.13
2/15/1999,4879.55,9274.89,6023.2,9402.39,14054.72,1230.13
2/16/1999,4904.68,9297.03,6108.6,9402.39,14232.64,1241.87
2/17/1999,4810.09,9195.47,6078.4,9402.39,14158.67,1224.03
2/18/1999,4845.08,9298.63,6074.9,9402.39,14146.79,1237.28
2/19/1999,4802.38,9339.95,6031.2,9254.12,14098.04,1239.22
2/22/1999,4845.18,9552.67,6069.9,9229.34,14256.67,1272.14
2/23/1999,4987.56,9544.41,6155.2,9433.99,14500.65,1271.18
2/24/1999,5062.31,9399.66,6307.6,9677.57,14355.45,1253.41
2/25/1999,4958.58,9366.34,6206.5,9658.07,14470.45,1245.02
2/26/1999,4911.81,9306.57,6175.1,9858.49,14367.54,1238.33
3/01/1999,4784.31,9324.78,6060.9,10020.46,14221.75,1236.16
3/02/1999,4804.02,9297.61,6061.3,9913.58,13921.06,1225.5
3/03/1999,4697.67,9275.88,6048.3,9922.4,14170.36,1227.7
3/04/1999,4678.72,9467.4,6101.4,9912.76,14183.45,1246.64
3/05/1999,4839.09,9736.07,6205.5,10241.12,14894,1275.47
3/08/1999,4788.69,9727.61,6208.8,10263.99,14779.05,1282.73
3/09/1999,4758.46,9693.75,6237.7,10532.95,15096.7,1279.84
3/10/1999,4721.41,9772.84,6241.5,10749.01,15480,1286.84
3/11/1999,4754.41,9897.44,6335.7,10662.81,15502.14,1297.68
3/12/1999,5008.16,9876.35,6282.2,10801.76,15488.86,1294.59
3/15/1999,5029.24,9958.77,6206.8,10836.86,15779.6,1307.26
3/16/1999,5094.63,9930.47,6201.9,10911.25,16072.82,1306.38
3/17/1999,5077.43,9879.4,6140.6,10940.07,16268.11,1297.82
3/18/1999,5013.62,9997.62,6114.3,10659.32,15717.92,1316.55
3/19/1999,5099.48,9903.55,6163.2,11082.92,16378.78,1299.29
3/22/1999,5027.06,9890.5,6152.8,11107.24,16378.78,1297.01
